fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
15,50,52,48,112,111,112,112,65,58.04,100.0,100.9,86,138,0,0,0,553.23,9.03,542.45,6.532345473531078
5,60,52,48,122,121,122,122,74,60.66,100.0,100.83,99,145,0,0,0,523.33,11.65,509.39,6.233296909589588
12,30,52,48,116,115,116,116,70,60.34,100.0,100.87,87,145,0,0,0,517.32,10.23,505.08,6.173208384959898
10,30,52,48,116,115,116,116,72,62.07,100.0,100.87,85,147,0,0,0,520.74,13.15,505.0,6.2074121967908145
15,60,52,48,111,110,111,111,71,63.96,100.0,100.91,81,141,0,0,0,509.99,10.49,497.45,6.099941547316308
5,30,52,48,119,118,119,119,64,53.78,100.0,100.85,94,144,0,0,0,504.55,13.47,488.42,6.045498301303952
15,30,52,48,117,116,117,117,68,58.12,100.0,100.86,92,142,0,0,0,499.28,11.36,485.68,5.992761526082629
12,50,52,48,110,109,110,110,67,60.91,100.0,100.92,78,142,0,0,0,494.32,9.1,483.45,5.943179379707988
5,50,52,48,123,122,123,123,64,52.03,100.0,100.82,92,154,0,0,0,498.26,14.33,481.1,5.98257984169878
12,40,52,48,113,112,113,113,65,57.52,100.0,100.89,89,137,0,0,0,494.86,13.6,478.58,5.948579067097483
15,20,52,48,114,113,114,114,67,58.77,100.0,100.88,87,141,0,0,0,491.67,13.27,475.79,5.916661773172483
8,40,52,48,115,114,115,115,63,54.78,100.0,100.88,79,151,0,0,0,489.35,14.62,471.85,5.893479936805612
8,50,52,48,116,115,116,116,65,56.03,100.0,100.87,90,142,0,0,0,484.18,11.41,470.52,5.841766055776558
10,60,52,48,113,112,113,113,68,60.18,100.0,100.89,89,137,0,0,0,481.52,9.86,469.74,5.8152493147029425
10,20,52,48,115,114,115,115,66,57.39,100.0,100.88,97,133,0,0,0,469.13,12.49,454.18,5.691286428242464
8,20,52,48,117,116,117,117,67,57.26,100.0,100.86,91,143,0,0,0,469.58,13.09,453.92,5.695804446293307
5,20,52,48,127,126,127,127,67,52.76,100.0,100.79,103,151,0,0,0,469.47,13.27,453.58,5.694685336645432
5,40,52,48,123,122,123,123,61,49.59,100.0,100.82,88,158,0,0,0,466.37,12.99,450.83,5.663709773592501
12,20,52,48,113,112,113,113,68,60.18,100.0,100.89,90,136,0,0,0,456.72,12.49,441.77,5.567172833115209
8,30,52,48,118,117,118,118,62,52.54,100.0,100.85,88,148,0,0,0,449.81,13.37,433.81,5.498079517277889
12,60,52,48,112,111,112,112,66,58.93,100.0,100.9,84,140,0,0,0,442.72,11.67,428.75,5.427168329389
10,40,52,48,114,113,114,114,64,56.14,100.0,100.88,86,142,0,0,0,446.48,15.17,428.33,5.464809303398776
15,40,52,48,110,109,110,110,65,59.09,100.0,100.92,86,134,0,0,0,434.12,12.58,419.08,5.341219680477433
8,60,52,48,116,115,116,116,69,59.48,100.0,100.87,89,143,0,0,0,430.45,9.61,418.95,5.304477712988801
12,30,55,48,101,101,101,101,57,56.44,100.0,100.0,82,120,0,0,0,424.34,12.25,409.64,5.243381462640792
10,30,55,48,101,101,101,101,57,56.44,100.0,100.0,75,127,0,0,0,423.91,14.42,406.61,5.239088463072658
10,50,52,48,112,111,112,112,64,57.14,100.0,100.9,77,147,0,0,0,412.63,9.1,401.76,5.126329963033637
10,20,58,48,83,83,83,83,46,55.42,100.0,100.0,62,104,0,0,0,407.54,10.1,395.42,5.075383875390677
8,20,55,48,100,100,100,100,51,51.0,100.0,100.0,76,124,0,0,0,410.94,13.09,395.23,5.109422982343871
5,20,55,48,104,104,104,104,55,52.88,100.0,100.0,73,135,0,0,0,408.11,12.48,393.13,5.081080702009835
