fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,55,48,101,101,101,101,67,66.34,100.0,100.0,74,128,0,0,0,604.87,7.95,595.33,7.048707169679184
5,20,52,48,116,115,116,116,71,61.21,100.0,100.87,93,139,0,0,0,569.74,7.95,560.24,6.697448884461551
8,20,55,48,100,100,100,100,62,62.0,100.0,100.0,78,122,0,0,0,513.68,7.12,505.13,6.136802327400209
10,20,52,48,108,107,108,108,64,59.26,100.0,100.93,80,136,0,0,0,497.42,9.98,485.5,5.974217597400551
5,50,52,48,108,107,108,108,64,59.26,100.0,100.93,86,130,0,0,0,492.44,7.62,483.34,5.924373142293175
5,20,58,48,87,87,87,87,57,65.52,100.0,100.0,54,120,0,0,0,479.48,6.78,471.34,5.794828984426391
8,20,52,48,110,109,110,110,68,61.82,100.0,100.92,85,135,0,0,0,478.68,8.94,468.0,5.786840876598706
8,50,52,48,99,98,99,99,59,59.6,100.0,101.02,85,113,0,0,0,475.94,8.56,465.72,5.75936711133157
5,60,52,48,101,100,101,101,58,57.43,100.0,101.0,69,133,0,0,0,474.42,9.69,462.84,5.744195146713016
12,20,52,48,108,107,108,108,61,56.48,100.0,100.93,89,127,0,0,0,453.53,8.72,443.12,5.535342165903114
10,20,55,48,99,99,99,99,60,60.61,100.0,100.0,67,131,0,0,0,445.02,7.33,436.22,5.450193943432019
5,40,52,48,110,109,110,110,59,53.64,100.0,100.92,82,138,0,0,0,428.74,12.09,414.29,5.287442854941181
5,30,55,48,101,100,101,101,62,61.39,100.0,101.0,77,125,0,0,0,418.49,8.85,407.93,5.184940103792391
5,40,55,48,102,101,102,102,56,54.9,100.0,100.99,81,123,0,0,0,419.36,11.13,406.06,5.193617019127908
15,50,52,48,93,92,93,93,57,61.29,100.0,101.09,71,115,0,0,0,415.72,10.06,403.7,5.157175190263842
12,30,52,48,102,101,102,102,56,54.9,100.0,100.99,75,129,0,0,0,411.37,8.43,401.31,5.113725964850473
8,60,52,48,95,94,95,95,55,57.89,100.0,101.06,67,123,0,0,0,408.51,9.08,397.66,5.085076062430983
5,30,52,48,110,109,110,110,67,60.91,100.0,100.92,83,137,0,0,0,407.63,9.24,396.59,5.076257975702587
15,40,52,48,94,93,94,94,54,57.45,100.0,101.08,70,118,0,0,0,406.3,8.96,395.59,5.062952125061255
8,30,55,48,101,100,101,101,56,55.45,100.0,101.0,80,122,0,0,0,405.87,8.78,395.38,5.058669787864443
5,60,55,48,93,92,93,93,52,55.91,100.0,101.09,67,119,0,0,0,412.72,14.52,395.36,5.127243557443041
8,30,52,48,107,106,107,107,61,57.01,100.0,100.94,81,133,0,0,0,400.04,9.98,388.11,5.0003872633842965
8,20,58,48,87,87,87,87,55,63.22,100.0,100.0,58,116,0,0,0,395.1,8.77,384.57,4.951018845615613
10,50,52,48,94,93,94,94,57,60.64,100.0,101.08,69,119,0,0,0,396.13,10.36,383.75,4.961340588472308
12,40,52,48,97,96,97,97,58,59.79,100.0,101.04,69,125,0,0,0,387.12,10.08,375.07,4.8711740632171985
8,40,52,48,104,103,104,104,60,57.69,100.0,100.97,78,130,0,0,0,386.95,9.97,375.03,4.869505745936295
12,60,52,48,93,92,93,93,59,63.44,100.0,101.09,70,116,0,0,0,383.91,9.86,372.13,4.839067275829775
12,50,52,48,94,93,94,94,54,57.45,100.0,101.08,72,116,0,0,0,386.2,12.4,371.37,4.862000582836331
15,20,52,48,105,104,105,105,57,54.29,100.0,100.96,77,133,0,0,0,377.87,9.98,365.94,4.778684170803292
15,20,55,48,96,95,96,96,50,52.08,100.0,101.05,70,122,0,0,0,377.3,9.75,365.65,4.773022266855745
10,20,58,48,85,85,85,85,53,62.35,100.0,100.0,58,112,0,0,0,376.1,9.07,365.22,4.761008071193765
10,40,52,48,100,99,100,100,58,58.0,100.0,101.01,72,128,0,0,0,378.57,14.14,361.65,4.7856784547033175
5,30,58,48,87,86,87,87,54,62.07,100.0,101.16,62,112,0,0,0,371.77,8.92,361.12,4.717661387799229
5,50,55,48,97,96,97,97,52,53.61,100.0,101.04,72,122,0,0,0,374.86,11.74,360.82,4.74860078927422
12,20,55,48,98,98,98,98,54,55.1,100.0,100.0,69,127,0,0,0,365.96,7.76,356.64,4.659576872244718
15,40,55,48,88,87,88,88,45,51.14,100.0,101.15,66,110,0,0,0,368.87,10.6,356.2,4.688689158846382
10,60,52,48,95,94,95,95,56,58.95,100.0,101.06,69,121,0,0,0,366.63,9.75,354.98,4.666258882153985
15,60,52,48,88,87,88,88,57,64.77,100.0,101.15,59,117,0,0,0,366.57,9.93,354.71,4.665665415966921
8,60,55,48,87,86,87,87,49,56.32,100.0,101.16,63,111,0,0,0,363.07,12.21,348.48,4.630695148465304
10,50,55,48,88,87,88,88,48,54.55,100.0,101.15,67,109,0,0,0,359.87,11.85,345.71,4.598741440803896
10,30,52,48,104,103,104,104,53,50.96,100.0,100.97,72,136,0,0,0,352.49,9.93,340.62,4.524948425503486
12,20,58,48,83,83,83,83,48,57.83,100.0,100.0,57,109,0,0,0,348.64,11.33,335.04,4.486431439050972
5,40,58,48,85,84,85,85,48,56.47,100.0,101.19,64,106,0,0,0,344.04,9.99,332.11,4.440430009656589
8,30,58,48,84,83,84,84,47,55.95,100.0,101.2,64,104,0,0,0,342.47,11.38,328.87,4.42473325627422
12,30,55,48,94,93,94,94,46,48.94,100.0,101.08,71,117,0,0,0,339.88,11.52,326.11,4.398797683628733
10,60,55,48,85,84,85,85,47,55.29,100.0,101.19,62,108,0,0,0,340.63,14.15,323.71,4.406253714332988
5,60,58,48,82,81,82,82,43,52.44,100.0,101.23,56,108,0,0,0,338.0,13.68,321.65,4.380038863715083
15,50,55,48,83,82,83,83,46,55.42,100.0,101.22,58,108,0,0,0,337.5,13.68,321.15,4.375046528224453
5,50,58,48,82,81,82,82,45,54.88,100.0,101.23,60,104,0,0,0,327.74,8.8,317.24,4.277368089559995
15,30,52,48,100,99,100,100,52,52.0,100.0,101.01,67,133,0,0,0,328.41,9.9,316.58,4.28413901866498
8,50,55,48,91,90,91,91,46,50.55,100.0,101.11,66,116,0,0,0,333.82,14.6,316.35,4.338166083028192
15,20,58,48,80,79,80,80,44,55.0,100.0,101.27,55,105,0,0,0,328.49,11.61,314.62,4.2848900422540925
10,30,55,48,97,96,97,97,47,48.45,100.0,101.04,74,120,0,0,0,322.59,10.02,310.62,4.225941401823962
8,40,55,48,96,95,96,96,48,50.0,100.0,101.05,71,121,0,0,0,328.64,15.5,310.1,4.286439307191734
12,50,55,48,86,85,86,86,45,52.33,100.0,101.18,63,109,0,0,0,325.05,13.1,309.38,4.250479728397368
15,60,55,48,80,79,80,80,46,57.5,100.0,101.27,57,103,0,0,0,319.35,11.86,305.18,4.19346182082995
12,40,55,48,89,88,89,89,46,51.69,100.0,101.14,63,115,0,0,0,320.71,14.46,303.42,4.207121337894794
10,40,55,48,92,91,92,92,44,47.83,100.0,101.1,64,120,0,0,0,321.53,15.8,302.62,4.215273243054564
12,60,55,48,85,84,85,85,47,55.29,100.0,101.19,65,105,0,0,0,315.82,12.68,300.66,4.158153008993865
15,30,55,48,93,92,93,93,44,47.31,100.0,101.09,69,117,0,0,0,309.38,14.66,291.84,4.093826609110183
15,30,58,48,77,76,77,77,42,54.55,100.0,101.32,57,97,0,0,0,300.36,12.17,285.82,4.003572569373331
10,60,58,48,75,74,75,75,44,58.67,100.0,101.35,56,94,0,0,0,297.31,12.32,282.59,3.9730671932922097
10,20,55,45,85,85,85,85,49,57.65,100.0,100.0,63,107,0,0,0,292.49,9.33,281.29,3.9248764131280462
15,50,58,48,71,70,71,71,42,59.15,100.0,101.43,50,92,0,0,0,293.12,11.8,279.03,3.931171457729185
8,40,58,48,81,80,81,81,41,50.62,100.0,101.25,57,105,0,0,0,291.66,11.37,278.08,3.91661308286236
5,20,55,45,95,95,95,95,55,57.89,100.0,100.0,69,121,0,0,0,289.05,9.72,277.39,3.890549743483322
10,30,58,48,81,80,81,81,43,53.09,100.0,101.25,57,105,0,0,0,286.5,10.24,274.27,3.864992826738162
10,40,58,48,80,79,80,80,42,52.5,100.0,101.27,56,104,0,0,0,289.07,13.34,273.13,3.8907079891606684
15,60,58,48,70,69,70,70,42,60.0,100.0,101.45,47,93,0,0,0,286.86,11.61,273.0,3.8686097340475056
8,60,58,48,79,78,79,79,43,54.43,100.0,101.28,61,97,0,0,0,285.73,13.38,269.74,3.8573106527271532
10,20,52,45,91,90,91,91,50,54.95,100.0,101.11,69,113,0,0,0,280.49,9.68,268.93,3.804945344986247
8,50,58,48,79,78,79,79,43,54.43,100.0,101.28,56,102,0,0,0,283.81,13.6,267.56,3.838119077648321
5,60,52,45,86,85,86,86,49,56.98,100.0,101.18,66,106,0,0,0,284.54,14.48,267.22,3.8453817694077403
15,60,52,45,71,70,71,71,45,63.38,100.0,101.43,54,88,0,0,0,275.7,11.72,261.71,3.7569983024973133
12,30,58,48,78,77,78,78,41,52.56,100.0,101.3,55,101,0,0,0,274.06,11.37,260.48,3.7405511235379163
15,40,58,48,75,74,75,75,40,53.33,100.0,101.35,56,94,0,0,0,274.88,14.02,258.12,3.7487759173469133
8,60,52,45,78,77,78,78,47,60.26,100.0,101.3,60,96,0,0,0,273.74,13.51,257.59,3.7374182894290997
8,20,52,45,96,95,96,96,53,55.21,100.0,101.05,73,119,0,0,0,268.56,9.41,257.32,3.68563222477309
12,40,58,48,77,76,77,77,45,58.44,100.0,101.32,53,101,0,0,0,271.19,12.48,256.28,3.7118980419185617
8,20,55,45,89,89,89,89,49,55.06,100.0,100.0,67,111,0,0,0,264.5,8.86,253.87,3.6449663778745856
10,20,58,45,73,73,73,73,42,57.53,100.0,100.0,47,99,0,0,0,265.91,10.26,253.6,3.6590771138374114
12,50,58,48,75,74,75,75,44,58.67,100.0,101.35,50,100,0,0,0,261.98,10.76,249.13,3.6197661606358995
5,20,52,45,109,108,109,109,52,47.71,100.0,100.93,85,133,0,0,0,260.71,11.07,247.47,3.6070926548523596
10,50,58,48,77,76,77,77,43,55.84,100.0,101.32,55,99,0,0,0,260.09,12.23,245.48,3.600886355310334
5,20,58,45,83,83,83,83,46,55.42,100.0,100.0,49,117,0,0,0,256.17,10.47,243.6,3.561671969564793
10,50,52,45,78,77,78,78,47,60.26,100.0,101.3,63,93,0,0,0,254.76,11.72,240.76,3.547631678532575
5,60,55,45,80,79,80,80,39,48.75,100.0,101.27,57,103,0,0,0,255.06,13.9,238.45,3.55060856728701
10,60,55,45,70,69,70,70,40,57.14,100.0,101.45,54,86,0,0,0,255.62,15.24,237.41,3.5562452061674343
8,50,52,45,83,82,83,83,49,59.04,100.0,101.22,72,94,0,0,0,254.62,14.46,237.33,3.5462142693650205
8,50,55,45,77,76,77,77,41,53.25,100.0,101.32,60,94,0,0,0,254.45,14.78,236.77,3.544464160329339
12,60,58,48,73,72,73,73,44,60.27,100.0,101.39,51,95,0,0,0,244.78,15.18,226.63,3.4477555851563806
10,50,55,45,74,73,74,74,41,55.41,100.0,101.37,59,89,0,0,0,240.73,14.55,223.35,3.4073295421888927
8,40,52,45,88,87,88,88,48,54.55,100.0,101.15,75,101,0,0,0,243.42,16.91,223.18,3.434182550037674
15,40,52,45,78,77,78,78,45,57.69,100.0,101.3,62,94,0,0,0,237.15,12.52,222.2,3.371545200910144
15,60,55,45,65,64,65,65,38,58.46,100.0,101.56,46,84,0,0,0,236.09,12.83,220.77,3.3608703557580357
10,60,52,45,78,77,78,78,45,57.69,100.0,101.3,60,96,0,0,0,233.46,12.66,218.33,3.334562944666052
8,20,58,45,78,78,78,78,43,55.13,100.0,100.0,48,108,0,0,0,227.45,9.13,216.49,3.274512096858341
12,60,52,45,76,75,76,76,46,60.53,100.0,101.33,61,91,0,0,0,230.92,12.77,215.67,3.309232901407915
15,50,58,45,59,58,59,59,34,57.63,100.0,101.72,42,76,0,0,0,230.06,12.84,214.74,3.3006296732577245
12,50,55,45,72,71,72,72,40,55.56,100.0,101.41,57,87,0,0,0,226.01,13.84,209.48,3.2601272463833677
15,50,52,45,75,74,75,75,43,57.33,100.0,101.35,53,97,0,0,0,225.31,13.33,209.38,3.2531065196016185
5,60,58,45,71,70,71,71,35,49.3,100.0,101.43,51,91,0,0,0,226.32,14.39,209.12,3.2631501891233516
10,60,58,45,62,61,62,62,35,56.45,100.0,101.64,47,77,0,0,0,224.92,15.18,206.78,3.2491541366157803
8,60,58,45,66,65,66,66,36,54.55,100.0,101.54,51,81,0,0,0,221.44,14.18,204.5,3.214373278422292
8,60,55,45,72,71,72,72,41,56.94,100.0,101.41,53,91,0,0,0,221.69,14.83,203.96,3.2168688084551853
12,50,58,45,63,62,63,63,36,57.14,100.0,101.61,48,78,0,0,0,217.98,13.78,201.53,3.1797559486671103
5,50,58,45,71,70,71,71,38,53.52,100.0,101.43,54,88,0,0,0,216.86,13.26,201.02,3.168623212283114
12,20,55,45,86,86,86,86,40,46.51,100.0,100.0,62,110,0,0,0,214.97,12.65,199.79,3.149725325529199
5,40,58,45,73,72,73,73,37,50.68,100.0,101.39,53,93,0,0,0,214.65,12.48,199.75,3.1464947379351025
12,40,52,45,82,81,82,82,43,52.44,100.0,101.23,62,102,0,0,0,215.82,13.51,199.68,3.158235722481241
5,50,55,45,84,83,84,84,44,52.38,100.0,101.2,65,103,0,0,0,217.25,16.06,198.04,3.1724985100317347
15,40,58,45,63,62,63,63,35,55.56,100.0,101.61,47,79,0,0,0,213.32,13.61,197.06,3.1331813236582193
8,50,58,45,67,66,67,67,35,52.24,100.0,101.52,48,86,0,0,0,213.01,14.62,195.54,3.1300907927029566
10,30,58,45,69,68,69,69,36,52.17,100.0,101.47,51,87,0,0,0,211.46,14.99,193.54,3.11456359860854
15,30,58,45,64,63,64,64,34,53.12,100.0,101.59,47,81,0,0,0,210.41,14.69,192.86,3.104119840500999
5,50,52,45,93,92,93,93,49,52.69,100.0,101.09,74,112,0,0,0,211.91,18.26,190.05,3.1190643951466095
15,40,55,45,73,72,73,73,38,52.05,100.0,101.39,54,92,0,0,0,206.78,14.41,189.56,3.0678362998021047
15,50,55,45,68,67,68,68,39,57.35,100.0,101.49,49,87,0,0,0,211.32,19.69,187.77,3.1132078899769113
15,60,58,45,57,56,57,57,33,57.89,100.0,101.79,40,74,0,0,0,202.47,12.54,187.51,3.024706169128229
12,40,55,45,75,74,75,75,38,50.67,100.0,101.35,56,94,0,0,0,207.27,16.61,187.41,3.0727487439531864
12,60,58,45,60,59,60,60,34,56.67,100.0,101.69,46,74,0,0,0,201.58,12.65,186.49,3.0158240781056076
15,30,55,45,77,76,77,77,37,48.05,100.0,101.32,60,94,0,0,0,205.64,16.7,185.67,3.056389723181261
12,50,52,45,77,76,77,77,46,59.74,100.0,101.32,59,95,0,0,0,199.88,13.88,183.28,2.998782593648778
5,40,55,45,88,87,88,88,44,50.0,100.0,101.15,70,106,0,0,0,205.4,19.36,182.22,3.053951790776576
8,30,55,45,87,86,87,87,45,51.72,100.0,101.16,65,109,0,0,0,201.02,16.24,181.59,3.0102167476720734
15,20,52,45,91,90,91,91,39,42.86,100.0,101.11,68,114,0,0,0,200.75,16.54,180.95,3.007474187613856
10,40,52,45,85,84,85,85,46,54.12,100.0,101.19,66,104,0,0,0,203.41,18.84,180.86,3.0340886022436018
12,30,55,45,80,79,80,80,37,46.25,100.0,101.27,58,102,0,0,0,202.32,18.01,180.77,3.02318700833517
15,30,52,45,83,82,83,83,43,51.81,100.0,101.22,59,107,0,0,0,203.26,18.87,180.67,3.0326122210715565
15,20,55,45,84,83,84,84,37,44.05,100.0,101.2,62,106,0,0,0,200.23,16.55,180.42,3.0022533921965695
12,20,58,45,72,72,72,72,38,52.78,100.0,100.0,49,95,0,0,0,196.12,13.19,180.29,2.9611809847886192
12,20,52,45,93,92,93,93,45,48.39,100.0,101.09,69,117,0,0,0,196.45,13.74,180.01,2.9645167793444127
12,30,58,45,66,65,66,66,33,50.0,100.0,101.54,47,85,0,0,0,195.67,14.26,178.64,2.9567188314771267
5,30,58,45,77,76,77,77,40,51.95,100.0,101.32,50,104,0,0,0,191.15,13.31,175.25,2.91150829356323
5,40,52,45,95,94,95,95,47,49.47,100.0,101.06,74,116,0,0,0,199.01,19.97,175.1,2.9901269367124
12,30,52,45,87,86,87,87,44,50.57,100.0,101.16,65,109,0,0,0,200.59,21.38,175.0,3.0059320008351658
10,30,52,45,89,88,89,89,44,49.44,100.0,101.14,66,112,0,0,0,199.56,21.14,174.25,2.9955828240722533
8,40,58,45,69,68,69,69,35,50.72,100.0,101.47,48,90,0,0,0,188.87,14.74,171.26,2.888738719950918
5,30,55,45,91,90,91,91,46,50.55,100.0,101.11,68,114,0,0,0,191.22,17.1,170.76,2.912178628982522
15,20,58,45,68,67,68,68,34,50.0,100.0,101.49,46,90,0,0,0,188.76,15.24,170.55,2.8876197053204344
10,50,58,45,65,64,65,65,34,52.31,100.0,101.56,45,85,0,0,0,186.63,13.97,169.95,2.8662607103580626
12,60,55,45,70,69,70,70,38,54.29,100.0,101.45,53,87,0,0,0,189.17,16.47,169.48,2.8917086515528516
10,30,55,45,83,82,83,83,40,48.19,100.0,101.22,66,100,0,0,0,188.06,19.16,165.13,2.880612168980308
12,40,58,45,65,64,65,65,34,52.31,100.0,101.56,47,83,0,0,0,182.34,15.12,164.28,2.8233606360821057
10,40,55,45,78,77,78,78,38,48.72,100.0,101.3,53,103,0,0,0,183.7,17.29,163.02,2.8370132355306454
8,30,52,45,92,91,92,92,46,50.0,100.0,101.1,69,115,0,0,0,181.24,17.89,159.82,2.8123621459151864
10,40,58,45,68,67,68,68,34,50.0,100.0,101.49,47,89,0,0,0,175.49,14.74,157.88,2.754932322443023
8,40,55,45,82,81,82,82,38,46.34,100.0,101.23,59,105,0,0,0,172.3,18.3,150.4,2.7229885963419522
5,30,52,45,98,97,98,98,46,46.94,100.0,101.03,72,124,0,0,0,172.15,21.18,146.79,2.721497389369659
8,30,58,45,72,71,72,72,37,51.39,100.0,101.41,48,96,0,0,0,157.36,13.22,141.57,2.5735990813847733
15,50,58,42,52,51,52,52,28,53.85,100.0,101.96,39,65,0,0,0,153.07,14.51,135.76,2.530738426999984
15,60,55,42,54,53,54,54,30,55.56,100.0,101.89,40,68,0,0,0,149.38,14.53,132.04,2.4937865889417044
5,60,52,42,73,72,73,73,35,47.95,100.0,101.39,62,84,0,0,0,152.07,19.46,128.8,2.5207455949362436
15,60,52,42,57,56,57,57,31,54.39,100.0,101.79,41,73,0,0,0,145.55,14.53,128.21,2.4555420553108167
15,60,58,42,50,49,50,50,28,56.0,100.0,102.04,38,62,0,0,0,144.46,14.53,127.13,2.4446067684497055
15,50,55,42,57,56,57,57,32,56.14,100.0,101.79,49,65,0,0,0,149.41,21.27,123.97,2.494069311495997
10,60,58,42,55,54,55,55,30,54.55,100.0,101.85,46,64,0,0,0,145.51,20.07,121.52,2.4550598359457934
8,60,52,42,65,64,65,65,33,50.77,100.0,101.56,55,75,0,0,0,141.09,19.13,118.21,2.4108591393997294
10,20,55,42,79,79,79,79,38,48.1,100.0,100.0,61,97,0,0,0,132.4,14.28,115.26,2.323960166983797
12,50,58,42,56,55,56,56,30,53.57,100.0,101.82,47,65,0,0,0,133.35,19.11,110.5,2.333472833440588
5,60,58,42,64,63,64,64,29,45.31,100.0,101.59,49,79,0,0,0,130.7,17.83,109.38,2.3069944077099023
12,60,58,42,53,52,53,53,28,52.83,100.0,101.92,41,65,0,0,0,126.54,14.57,109.15,2.2654071103602007
15,40,55,42,61,60,61,61,32,52.46,100.0,101.67,50,72,0,0,0,130.94,20.6,106.3,2.3093588331971087
8,20,58,42,75,75,75,75,39,52.0,100.0,100.0,52,98,0,0,0,121.32,14.08,104.43,2.2131819958197396
