fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,52,48,124,124,124,124,73,58.87,100.0,100.0,99,149,0,0,0,1205.91,16.05,1186.65,13.059081088550284
5,20,55,48,103,103,103,103,64,62.14,100.0,100.0,79,127,0,0,0,1126.97,13.53,1110.73,12.269698993974238
12,50,52,48,87,87,87,87,58,66.67,100.0,100.0,71,103,0,0,0,1083.8,10.71,1070.94,11.837962618725664
8,20,52,48,116,116,116,116,67,57.76,100.0,100.0,95,137,0,0,0,1075.04,14.89,1057.17,11.75036419627324
15,50,52,48,86,86,86,86,58,67.44,100.0,100.0,70,102,0,0,0,1048.72,10.39,1036.25,11.48716891441581
8,60,52,48,88,88,88,88,55,62.5,100.0,100.0,73,103,0,0,0,998.94,11.03,985.7,10.989417133761387
15,60,52,48,80,80,80,80,55,68.75,100.0,100.0,66,94,0,0,0,954.97,10.55,942.31,10.549662565290925
8,50,52,48,97,97,97,97,58,59.79,100.0,100.0,83,111,0,0,0,953.67,13.35,937.65,10.536717307696382
15,40,52,48,92,92,92,92,57,61.96,100.0,100.0,77,107,0,0,0,891.32,11.46,877.57,9.913198883960552
12,20,52,48,109,109,109,109,62,56.88,100.0,100.0,88,130,0,0,0,892.57,13.14,876.8,9.925715567902838
5,20,58,48,90,90,90,90,55,61.11,100.0,100.0,69,111,0,0,0,896.18,18.91,873.49,9.961770637135091
5,60,52,48,102,102,102,102,57,55.88,100.0,100.0,80,124,0,0,0,881.12,10.57,868.44,9.81123977607261
10,50,52,48,91,91,91,91,54,59.34,100.0,100.0,68,114,0,0,0,871.98,11.87,857.74,9.719833005392616
10,60,52,48,86,86,86,86,55,63.95,100.0,100.0,63,109,0,0,0,860.27,10.88,847.21,9.602652593244425
10,20,52,48,114,114,114,114,66,57.89,100.0,100.0,88,140,0,0,0,854.13,14.92,836.23,9.54127414984471
15,20,55,48,90,90,90,90,51,56.67,100.0,100.0,67,113,0,0,0,846.97,9.66,835.38,9.469712189293414
15,30,55,48,84,84,84,84,48,57.14,100.0,100.0,69,99,0,0,0,845.22,14.68,827.6,9.45222944829726
15,40,55,48,77,77,77,77,45,58.44,100.0,100.0,63,91,0,0,0,839.36,10.31,826.98,9.393579632177453
5,30,52,48,120,120,120,120,62,51.67,100.0,100.0,92,148,0,0,0,846.36,16.5,826.56,9.463633770664696
15,20,52,48,103,103,103,103,62,60.19,100.0,100.0,78,128,0,0,0,843.64,17.07,823.16,9.436379015767054
12,40,52,48,95,95,95,95,55,57.89,100.0,100.0,75,115,0,0,0,837.47,14.89,819.6,9.37474331379591
10,40,55,48,83,83,83,83,46,55.42,100.0,100.0,65,101,0,0,0,832.38,10.65,819.59,9.323753081054335
12,60,52,48,83,83,83,83,55,66.27,100.0,100.0,60,106,0,0,0,827.97,11.52,814.15,9.279665696924498
10,30,55,48,91,91,91,91,48,52.75,100.0,100.0,67,115,0,0,0,824.98,10.52,812.36,9.249830342705373
12,50,55,48,76,76,76,76,44,57.89,100.0,100.0,57,95,0,0,0,820.89,11.15,807.5,9.208853302486515
8,30,52,48,110,110,110,110,58,52.73,100.0,100.0,85,135,0,0,0,823.33,16.04,804.09,9.233328793512987
5,50,52,48,110,110,110,110,59,53.64,100.0,100.0,91,129,0,0,0,815.09,15.41,796.59,9.15089288273124
8,40,52,48,104,104,104,104,61,58.65,100.0,100.0,79,129,0,0,0,796.57,11.33,782.98,8.965723241225751
12,20,55,48,93,93,93,93,52,55.91,100.0,100.0,68,118,0,0,0,802.5,16.39,782.84,9.025025727277933
15,50,55,48,73,73,73,73,45,61.64,100.0,100.0,60,86,0,0,0,795.28,11.11,781.95,8.952787127482788
12,60,55,48,70,70,70,70,43,61.43,100.0,100.0,53,87,0,0,0,788.74,11.77,774.62,8.887407757515954
15,50,58,48,61,61,61,61,37,60.66,100.0,100.0,48,74,0,0,0,779.97,10.66,767.19,8.799737764610255
10,40,58,48,71,71,71,71,41,57.75,100.0,100.0,54,88,0,0,0,776.24,12.11,761.71,8.762403193839479
10,50,55,48,77,77,77,77,44,57.14,100.0,100.0,63,91,0,0,0,775.63,11.77,761.51,8.75632294636045
12,30,52,48,98,98,98,98,56,57.14,100.0,100.0,69,127,0,0,0,771.72,11.08,758.43,8.717191506888966
8,20,58,48,86,86,86,86,49,56.98,100.0,100.0,64,108,0,0,0,774.17,18.91,751.48,8.741667231754251
5,60,55,48,86,86,86,86,46,53.49,100.0,100.0,69,103,0,0,0,755.04,10.75,742.14,8.550393373543617
15,40,58,48,65,65,65,65,40,61.54,100.0,100.0,52,78,0,0,0,748.81,10.04,736.76,8.488087657090048
10,20,55,48,97,97,97,97,53,54.64,100.0,100.0,72,122,0,0,0,756.2,20.27,731.87,8.561979627507732
15,30,52,48,100,100,100,100,56,56.0,100.0,100.0,80,120,0,0,0,744.27,10.42,731.77,8.442684521687257
10,50,58,48,65,65,65,65,37,56.92,100.0,100.0,48,82,0,0,0,744.69,11.85,730.48,8.446933305733582
8,40,58,48,76,76,76,76,44,57.89,100.0,100.0,58,94,0,0,0,736.62,10.54,723.97,8.36622036399514
5,60,58,48,72,72,72,72,41,56.94,100.0,100.0,54,90,0,0,0,736.66,10.75,723.76,8.366601646699781
12,30,55,48,86,86,86,86,49,56.98,100.0,100.0,65,107,0,0,0,738.17,14.12,721.23,8.381723592551719
5,40,52,48,115,115,115,115,60,52.17,100.0,100.0,94,136,0,0,0,735.44,13.78,718.91,8.354358541120623
10,60,58,48,61,61,61,61,40,65.57,100.0,100.0,46,76,0,0,0,729.33,8.96,718.57,8.293274437290247
12,50,58,48,64,64,64,64,41,64.06,100.0,100.0,52,76,0,0,0,730.34,10.3,717.98,8.30335919673411
8,20,55,48,97,97,97,97,55,56.7,100.0,100.0,69,125,0,0,0,739.9,18.55,717.64,8.399027761036916
8,40,55,48,91,91,91,91,49,53.85,100.0,100.0,70,112,0,0,0,731.56,12.75,716.26,8.315583317845764
10,40,52,48,97,97,97,97,54,55.67,100.0,100.0,74,120,0,0,0,730.76,15.56,712.09,8.307623638801427
10,30,52,48,105,105,105,105,55,52.38,100.0,100.0,75,135,0,0,0,723.36,12.92,707.86,8.233587314773679
15,30,58,48,72,72,72,72,40,55.56,100.0,100.0,55,89,0,0,0,712.31,11.42,698.61,8.123148668496514
10,30,58,48,76,76,76,76,43,56.58,100.0,100.0,59,93,0,0,0,710.61,13.96,693.85,8.106078569919656
10,60,55,48,72,72,72,72,41,56.94,100.0,100.0,55,89,0,0,0,703.89,11.23,690.42,8.038918121162283
5,50,55,48,93,93,93,93,47,50.54,100.0,100.0,77,109,0,0,0,710.04,17.38,689.18,8.100407323262976
8,60,55,48,77,77,77,77,43,55.84,100.0,100.0,62,92,0,0,0,696.68,10.95,683.54,7.966843361990059
8,30,55,48,94,94,94,94,49,52.13,100.0,100.0,65,123,0,0,0,703.23,16.79,683.08,8.032270445036932
15,60,55,48,70,70,70,70,45,64.29,100.0,100.0,53,87,0,0,0,692.74,10.55,680.09,7.927444828429736
10,20,58,48,86,86,86,86,48,55.81,100.0,100.0,63,109,0,0,0,690.14,16.94,669.81,7.901430211308514
5,50,58,48,76,76,76,76,41,53.95,100.0,100.0,58,94,0,0,0,671.44,9.21,660.39,7.7144307438351145
