fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,55,48,112,112,112,112,67,59.82,100.0,100.0,95,129,0,0,0,1641.51,23.76,1612.99,17.415052917374215
12,20,52,48,116,116,116,116,69,59.48,100.0,100.0,100,132,0,0,0,1637.61,22.44,1610.68,17.37605126633287
10,20,52,48,117,117,117,117,68,58.12,100.0,100.0,98,136,0,0,0,1472.3,19.49,1448.91,15.723023030378624
5,20,52,48,130,130,130,130,72,55.38,100.0,100.0,108,152,0,0,0,1348.73,24.96,1318.78,14.48727030681538
12,20,55,48,101,101,101,101,57,56.44,100.0,100.0,81,121,0,0,0,1279.55,19.09,1256.65,13.795526265900088
5,50,52,48,109,109,109,109,66,60.55,100.0,100.0,81,137,0,0,0,1278.79,30.27,1242.47,13.787918010306766
10,20,55,48,103,103,103,103,55,53.4,100.0,100.0,82,124,0,0,0,1261.53,17.4,1240.65,13.615348653360403
15,60,52,48,94,94,94,94,63,67.02,100.0,100.0,73,115,0,0,0,1219.56,16.9,1199.28,13.19559206104108
12,30,52,48,109,109,109,109,66,60.55,100.0,100.0,89,129,0,0,0,1202.24,27.56,1169.17,13.02240860865692
12,40,52,48,100,100,100,100,64,64.0,100.0,100.0,80,120,0,0,0,1167.53,25.94,1136.39,12.67525412450856
5,30,55,48,106,106,106,106,61,57.55,100.0,100.0,83,129,0,0,0,1146.84,30.07,1110.76,12.468442237900991
12,60,52,48,95,95,95,95,64,67.37,100.0,100.0,72,118,0,0,0,1132.19,19.95,1108.25,12.321919503730447
8,20,52,48,121,121,121,121,65,53.72,100.0,100.0,104,138,0,0,0,1111.34,22.79,1083.99,12.113417870148771
15,50,52,48,98,98,98,98,69,70.41,100.0,100.0,74,122,0,0,0,1107.24,30.28,1070.9,12.072370624645778
15,30,52,48,103,103,103,103,66,64.08,100.0,100.0,77,129,0,0,0,1071.01,26.26,1039.5,11.710079934307707
8,20,55,48,105,105,105,105,57,54.29,100.0,100.0,84,126,0,0,0,1060.33,23.76,1031.82,11.603301984186173
5,30,52,48,125,125,125,125,71,56.8,100.0,100.0,105,145,0,0,0,1063.91,29.14,1028.94,11.639119105902683
5,20,58,48,93,93,93,93,54,58.06,100.0,100.0,74,112,0,0,0,1057.61,24.88,1027.76,11.576063418260404
5,60,52,48,108,108,108,108,69,63.89,100.0,100.0,85,131,0,0,0,1047.8,27.78,1014.47,11.47798647471886
5,40,55,48,94,94,94,94,55,58.51,100.0,100.0,76,112,0,0,0,1044.85,29.76,1009.14,11.448502479993795
5,50,55,48,92,92,92,92,54,58.7,100.0,100.0,73,111,0,0,0,1037.14,27.63,1003.98,11.371364546407923
8,20,58,48,88,88,88,88,49,55.68,100.0,100.0,65,111,0,0,0,1029.77,21.66,1003.78,11.29765002737149
10,20,58,48,87,87,87,87,51,58.62,100.0,100.0,67,107,0,0,0,1024.2,21.66,998.21,11.241994327189882
8,50,52,48,103,103,103,103,68,66.02,100.0,100.0,79,127,0,0,0,1027.89,26.41,996.19,11.278861689905575
5,40,52,48,115,115,115,115,67,58.26,100.0,100.0,88,142,0,0,0,1033.65,35.67,990.85,11.336521011218098
15,60,55,48,77,77,77,77,48,62.34,100.0,100.0,62,92,0,0,0,1000.19,20.42,975.69,11.00188525230111
12,20,58,48,85,85,85,85,49,57.65,100.0,100.0,65,105,0,0,0,992.59,21.66,966.6,10.925916583114018
8,30,52,48,116,116,116,116,72,62.07,100.0,100.0,90,142,0,0,0,989.62,30.01,953.61,10.896205620546853
10,40,55,48,89,89,89,89,53,59.55,100.0,100.0,72,106,0,0,0,977.17,30.17,940.96,10.771670630492048
12,40,55,48,86,86,86,86,53,61.63,100.0,100.0,67,105,0,0,0,951.0,28.69,916.57,10.509965188913082
15,30,55,48,89,89,89,89,53,59.55,100.0,100.0,72,106,0,0,0,946.47,28.62,912.12,10.464664167024521
12,30,55,48,95,95,95,95,53,55.79,100.0,100.0,80,110,0,0,0,933.95,32.63,894.8,10.339521986153704
8,40,52,48,108,108,108,108,65,60.19,100.0,100.0,82,134,0,0,0,893.74,24.67,864.14,9.937374226708874
