fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,52,48,113,112,113,113,63,55.75,100.0,100.89,96,130,0,0,0,1640.0,30.91,1602.95,17.400025688771933
12,50,52,48,78,77,78,78,46,58.97,100.0,101.3,68,88,0,0,0,1349.91,31.38,1312.32,14.499144484412883
8,30,52,48,97,96,97,97,50,51.55,100.0,101.04,81,113,0,0,0,1335.51,26.45,1303.82,14.355091068504189
15,40,52,48,83,82,83,83,51,61.45,100.0,101.22,71,95,0,0,0,1329.55,28.76,1295.09,14.29550161873749
10,20,55,48,90,89,90,90,45,50.0,100.0,101.12,75,105,0,0,0,1306.48,30.91,1269.44,14.064831330760441
5,20,55,48,101,100,101,101,55,54.46,100.0,101.0,87,115,0,0,0,1285.14,27.58,1252.1,13.85135496122988
10,20,52,48,102,101,102,102,50,49.02,100.0,100.99,88,116,0,0,0,1250.72,26.06,1219.5,13.507190649593745
12,20,52,48,98,97,98,98,49,50.0,100.0,101.03,84,112,0,0,0,1246.07,26.06,1214.85,13.460712482454296
5,50,52,48,92,91,92,92,49,53.26,100.0,101.1,81,103,0,0,0,1250.01,32.55,1211.01,13.500111617517884
5,20,58,48,79,78,79,79,44,55.7,100.0,101.28,64,94,0,0,0,1203.76,30.91,1166.73,13.037586004494015
8,20,58,48,74,73,74,74,39,52.7,100.0,101.37,62,86,0,0,0,1195.86,30.91,1158.83,12.958555873903572
15,20,52,48,92,91,92,92,50,54.35,100.0,101.1,75,109,0,0,0,1183.15,30.71,1146.36,12.831504116039278
8,20,52,48,105,104,105,105,54,51.43,100.0,100.96,85,125,0,0,0,1132.72,30.91,1095.67,12.327198726416471
12,60,52,48,69,68,69,69,42,60.87,100.0,101.47,57,81,0,0,0,1099.52,25.8,1068.63,11.995224867410547
5,30,58,48,75,74,75,75,42,56.0,100.0,101.35,63,87,0,0,0,1070.61,30.91,1033.58,11.706050010454963
15,30,52,48,86,85,86,86,49,56.98,100.0,101.18,74,98,0,0,0,1037.72,37.88,992.32,11.3771857789479
5,60,52,48,83,82,83,83,45,54.22,100.0,101.22,72,94,0,0,0,1005.04,36.33,961.49,11.050352354214608
10,20,58,48,74,73,74,74,40,54.05,100.0,101.37,61,87,0,0,0,993.82,30.91,956.8,10.938238266064952
5,30,52,48,106,105,106,106,52,49.06,100.0,100.95,89,123,0,0,0,986.2,27.29,953.5,10.861983757324177
10,30,52,48,93,92,93,93,49,52.69,100.0,101.09,79,107,0,0,0,990.79,33.29,950.9,10.907919151191797
5,40,52,48,97,96,97,97,48,49.48,100.0,101.04,81,113,0,0,0,982.65,31.49,944.91,10.826522679139572
12,20,58,48,73,72,73,73,38,52.05,100.0,101.39,63,83,0,0,0,976.78,30.91,939.75,10.767758266492828
10,50,52,48,82,81,82,82,44,53.66,100.0,101.23,69,95,0,0,0,976.67,36.96,932.38,10.766692458516795
15,50,52,48,69,68,69,69,47,68.12,100.0,101.47,55,83,0,0,0,948.89,25.75,918.06,10.488924871244068
8,60,52,48,81,80,81,81,47,58.02,100.0,101.25,72,90,0,0,0,965.57,39.74,917.94,10.655672168602308
12,40,52,48,84,83,84,84,47,55.95,100.0,101.2,71,97,0,0,0,957.08,37.83,911.74,10.570751510913835
12,50,55,48,64,63,64,64,37,57.81,100.0,101.59,56,72,0,0,0,937.86,30.95,900.79,10.378567919511017
12,60,55,48,59,58,59,59,35,59.32,100.0,101.72,51,67,0,0,0,902.03,25.61,871.38,10.020266532081056
8,20,55,48,92,91,92,92,45,48.91,100.0,101.1,76,108,0,0,0,900.23,30.91,863.19,10.00225819303752
12,20,55,48,86,85,86,86,42,48.84,100.0,101.18,73,99,0,0,0,894.05,30.91,857.01,9.940477975443436
15,20,58,48,72,71,72,72,36,50.0,100.0,101.41,61,83,0,0,0,889.4,30.91,852.38,9.894036288089826
8,50,52,48,86,85,86,86,45,52.33,100.0,101.18,74,98,0,0,0,893.26,36.96,848.96,9.9325937639338
5,30,55,48,92,91,92,92,46,50.0,100.0,101.1,77,107,0,0,0,861.65,30.91,824.61,9.616534769860861
10,50,55,48,68,67,68,68,36,52.94,100.0,101.49,53,83,0,0,0,853.03,38.03,807.47,9.53031958957875
10,60,52,48,74,73,74,74,44,59.46,100.0,101.37,61,87,0,0,0,840.73,30.61,804.07,9.407294486180357
5,40,55,48,86,85,86,86,43,50.0,100.0,101.18,76,96,0,0,0,840.21,30.91,803.17,9.402051679139099
5,50,55,48,79,78,79,79,42,53.16,100.0,101.28,68,90,0,0,0,842.7,33.43,802.65,9.427022714461252
5,40,58,48,71,70,71,71,37,52.11,100.0,101.43,59,83,0,0,0,831.13,32.09,792.7,9.311332861319675
8,30,55,48,88,87,88,88,42,47.73,100.0,101.15,76,100,0,0,0,815.46,30.91,778.42,9.154612948664495
5,50,58,48,66,65,66,66,37,56.06,100.0,101.54,60,72,0,0,0,807.84,33.43,767.8,9.078364664070005
8,30,58,48,74,73,74,74,39,52.7,100.0,101.37,66,82,0,0,0,782.29,30.91,745.26,8.822860844251613
5,60,58,48,64,63,64,64,36,56.25,100.0,101.59,56,72,0,0,0,776.99,36.17,733.67,8.769893227151627
8,40,52,48,92,91,92,92,45,48.91,100.0,101.1,76,108,0,0,0,768.03,38.75,721.59,8.680348797272728
12,30,52,48,92,91,92,92,43,46.74,100.0,101.1,77,107,0,0,0,755.64,36.27,712.16,8.556353053622269
5,60,55,48,72,71,72,72,36,50.0,100.0,101.41,58,86,0,0,0,752.36,36.17,709.03,8.523602107707475
8,50,55,48,74,73,74,74,35,47.3,100.0,101.37,67,81,0,0,0,745.43,37.79,700.16,8.454342598171383
10,50,58,48,59,58,59,59,32,54.24,100.0,101.72,48,70,0,0,0,720.44,27.84,687.11,8.20435860154598
15,30,58,48,63,62,63,63,36,57.14,100.0,101.61,56,70,0,0,0,721.55,30.93,684.52,8.215539816580817
8,50,58,48,64,63,64,64,34,53.12,100.0,101.59,56,72,0,0,0,712.97,31.75,674.95,8.129710178339947
10,30,58,48,69,68,69,69,33,47.83,100.0,101.47,63,75,0,0,0,711.54,30.91,674.52,8.115372488172698
15,40,55,48,70,69,70,70,37,52.86,100.0,101.45,56,84,0,0,0,703.88,26.97,671.59,8.038807634496516
10,30,55,48,83,82,83,83,41,49.4,100.0,101.22,73,93,0,0,0,708.9,34.16,667.97,8.089032346035998
10,40,52,48,88,87,88,88,46,52.27,100.0,101.15,70,106,0,0,0,713.28,42.16,662.74,8.132771906725221
15,30,55,48,74,73,74,74,39,52.7,100.0,101.37,62,86,0,0,0,701.48,38.13,655.8,8.014849446143428
12,30,58,48,66,65,66,66,35,53.03,100.0,101.54,60,72,0,0,0,676.94,30.91,639.92,7.769369828406262
12,50,58,48,57,56,57,57,30,52.63,100.0,101.79,50,64,0,0,0,667.55,26.44,635.92,7.67554499193432
10,40,55,48,77,76,77,77,40,51.95,100.0,101.32,64,90,0,0,0,669.73,34.75,628.09,7.69729875955959
15,50,58,48,54,53,54,54,35,64.81,100.0,101.89,49,59,0,0,0,651.98,26.44,620.34,7.519779423683099
12,60,58,48,52,51,52,52,32,61.54,100.0,101.96,46,58,0,0,0,641.96,25.61,611.32,7.419566585118233
8,60,55,48,69,68,69,69,34,49.28,100.0,101.47,56,82,0,0,0,657.05,40.53,608.49,7.570486220812999
10,60,58,48,53,52,53,53,31,58.49,100.0,101.92,43,63,0,0,0,606.09,25.85,575.17,7.06093637907674
12,40,58,48,63,62,63,63,35,55.56,100.0,101.61,53,73,0,0,0,602.26,30.93,565.22,7.022551322424927
10,60,55,48,63,62,63,63,35,55.56,100.0,101.61,49,77,0,0,0,594.77,30.17,558.65,6.9477213654166645
15,50,55,48,59,58,59,59,34,57.63,100.0,101.72,46,72,0,0,0,577.73,26.44,546.09,6.77730680185135
12,40,55,48,72,71,72,72,38,52.78,100.0,101.41,55,89,0,0,0,585.05,37.03,540.68,6.850506599705615
15,20,55,48,83,82,83,83,38,45.78,100.0,101.22,67,99,0,0,0,587.11,41.62,537.22,6.871074241633543
8,40,55,48,78,77,78,78,40,51.28,100.0,101.3,60,96,0,0,0,580.2,38.37,534.22,6.802015583832706
15,40,58,48,60,59,60,60,29,48.33,100.0,101.69,52,68,0,0,0,566.26,29.17,531.34,6.662590232883645
15,60,52,48,66,65,66,66,41,62.12,100.0,101.54,50,82,0,0,0,566.77,36.32,523.26,6.667709021097641
12,30,55,48,77,76,77,77,39,50.65,100.0,101.32,66,88,0,0,0,555.26,36.11,512.0,6.5525997368055595
8,60,58,48,57,56,57,57,31,54.39,100.0,101.79,47,67,0,0,0,518.6,32.63,479.54,6.186008507053848
10,40,58,48,66,65,66,66,35,53.03,100.0,101.54,55,77,0,0,0,511.67,30.93,474.63,6.116662234520236
15,60,55,48,58,57,58,58,33,56.9,100.0,101.75,48,68,0,0,0,503.39,37.15,458.89,6.0339024985389225
8,40,58,48,66,65,66,66,33,50.0,100.0,101.54,48,84,0,0,0,421.15,32.39,382.36,5.211536799884713
10,20,58,45,67,66,67,67,30,44.78,100.0,101.52,55,79,0,0,0,415.16,35.66,372.44,5.151598837735968
