fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,52,48,113,113,113,113,75,66.37,100.0,100.0,93,133,0,0,0,2134.15,24.5,2104.75,22.34153702228895
5,20,55,48,97,97,97,97,64,65.98,100.0,100.0,74,120,0,0,0,2025.9,23.07,1998.22,21.258970636195112
12,20,52,48,107,107,107,107,59,55.14,100.0,100.0,90,124,0,0,0,1778.31,22.97,1750.75,18.78313349806748
10,20,52,48,109,109,109,109,59,54.13,100.0,100.0,91,127,0,0,0,1729.51,31.98,1691.13,18.295107008645545
8,20,52,48,112,112,112,112,64,57.14,100.0,100.0,91,133,0,0,0,1662.93,29.35,1627.71,17.6292838651732
5,30,52,48,114,114,114,114,63,55.26,100.0,100.0,94,134,0,0,0,1619.31,30.11,1583.18,17.193061309149066
15,40,52,48,88,88,88,88,56,63.64,100.0,100.0,76,100,0,0,0,1528.65,21.22,1503.18,16.286454625992437
12,40,52,48,91,91,91,91,56,61.54,100.0,100.0,81,101,0,0,0,1514.28,19.54,1490.84,16.142806341795822
10,50,52,48,90,90,90,90,56,62.22,100.0,100.0,78,102,0,0,0,1488.12,19.74,1464.42,15.88115728683563
5,40,52,48,103,103,103,103,63,61.17,100.0,100.0,87,119,0,0,0,1470.41,22.15,1443.83,15.70407926950445
12,60,52,48,85,85,85,85,56,65.88,100.0,100.0,71,99,0,0,0,1465.86,19.54,1442.42,15.65863562294792
8,30,52,48,105,105,105,105,57,54.29,100.0,100.0,88,122,0,0,0,1448.13,23.75,1419.63,15.48127095489501
15,30,52,48,92,92,92,92,58,63.04,100.0,100.0,83,101,0,0,0,1447.61,27.1,1415.09,15.476131886599665
12,30,52,48,94,94,94,94,56,59.57,100.0,100.0,87,101,0,0,0,1431.58,25.06,1401.51,15.315834160372804
8,20,55,48,94,94,94,94,57,60.64,100.0,100.0,73,115,0,0,0,1411.35,26.97,1378.98,15.113480717368677
5,30,58,48,77,77,77,77,44,57.14,100.0,100.0,57,97,0,0,0,1401.67,29.94,1365.74,15.016678014264704
5,30,55,48,94,94,94,94,52,55.32,100.0,100.0,75,113,0,0,0,1369.23,24.44,1339.91,14.692342111393579
10,20,55,48,91,91,91,91,50,54.95,100.0,100.0,76,106,0,0,0,1320.32,27.74,1287.04,14.20324398874714
12,20,58,48,75,75,75,75,43,57.33,100.0,100.0,55,95,0,0,0,1303.91,20.94,1278.78,14.03906271939286
15,20,52,48,100,100,100,100,57,57.0,100.0,100.0,86,114,0,0,0,1285.14,23.41,1257.04,13.851368405110403
10,40,52,48,96,96,96,96,53,55.21,100.0,100.0,73,119,0,0,0,1281.28,26.44,1249.55,13.81278757568918
10,60,52,48,89,89,89,89,54,60.67,100.0,100.0,77,101,0,0,0,1272.03,19.54,1248.58,13.720275717448757
12,50,52,48,87,87,87,87,56,64.37,100.0,100.0,72,102,0,0,0,1267.76,24.57,1238.28,13.677640845910732
12,20,55,48,89,89,89,89,42,47.19,100.0,100.0,65,113,0,0,0,1228.6,21.97,1202.24,13.285977895859467
5,20,58,48,82,82,82,82,53,64.63,100.0,100.0,56,108,0,0,0,1227.19,23.65,1198.81,13.271948864734403
12,40,55,48,76,76,76,76,43,56.58,100.0,100.0,68,84,0,0,0,1222.22,19.54,1198.77,13.22217791222239
5,40,55,48,89,89,89,89,49,55.06,100.0,100.0,69,109,0,0,0,1171.37,23.09,1143.67,12.713735717265498
8,60,52,48,92,92,92,92,59,64.13,100.0,100.0,84,100,0,0,0,1151.44,21.99,1125.05,12.514373451331352
5,60,52,48,102,102,102,102,55,53.92,100.0,100.0,88,116,0,0,0,1151.09,22.78,1123.76,12.510865174386145
8,30,55,48,89,89,89,89,46,51.69,100.0,100.0,69,109,0,0,0,1151.19,23.86,1122.55,12.5118803309039
12,30,55,48,79,79,79,79,41,51.9,100.0,100.0,68,90,0,0,0,1152.38,25.06,1122.31,12.52378860413864
10,30,52,48,98,98,98,98,54,55.1,100.0,100.0,76,120,0,0,0,1139.23,25.58,1108.54,12.39231309745067
5,50,52,48,101,101,101,101,56,55.45,100.0,100.0,88,114,0,0,0,1132.24,21.09,1106.93,12.322350720968679
15,60,52,48,83,83,83,83,52,62.65,100.0,100.0,74,92,0,0,0,1109.74,19.54,1086.3,12.09744886415191
8,40,55,48,86,86,86,86,45,52.33,100.0,100.0,75,97,0,0,0,1099.65,23.49,1071.47,11.996543272216236
8,50,52,48,98,98,98,98,51,52.04,100.0,100.0,85,111,0,0,0,1062.69,23.02,1035.07,11.626909752509382
10,60,55,48,71,71,71,71,43,60.56,100.0,100.0,62,80,0,0,0,1058.26,21.83,1032.07,11.582626087792514
15,50,52,48,86,86,86,86,51,59.3,100.0,100.0,74,98,0,0,0,1052.84,24.01,1024.03,11.528352648555039
15,40,55,48,74,74,74,74,43,58.11,100.0,100.0,67,81,0,0,0,1044.64,21.1,1019.32,11.44637905200067
8,50,55,48,79,79,79,79,43,54.43,100.0,100.0,70,88,0,0,0,1037.33,23.46,1009.18,11.373286400433946
15,30,55,48,78,78,78,78,45,57.69,100.0,100.0,67,89,0,0,0,1029.24,27.83,995.85,11.292423278893894
5,50,55,48,85,85,85,85,45,52.94,100.0,100.0,67,103,0,0,0,1013.02,25.32,982.65,11.130248441794398
15,20,55,48,84,84,84,84,43,51.19,100.0,100.0,68,100,0,0,0,979.52,23.1,951.8,10.795193342936008
8,40,52,48,101,101,101,101,57,56.44,100.0,100.0,85,117,0,0,0,969.87,25.25,939.57,10.698738127599974
10,20,58,48,77,77,77,77,43,55.84,100.0,100.0,57,97,0,0,0,974.24,30.91,937.15,10.74238003061806
5,40,58,48,74,74,74,74,38,51.35,100.0,100.0,52,96,0,0,0,959.54,30.79,922.59,10.59540855744786
10,30,55,48,83,83,83,83,44,53.01,100.0,100.0,63,103,0,0,0,951.14,27.15,918.56,10.511398177856611
8,30,58,48,74,74,74,74,42,56.76,100.0,100.0,54,94,0,0,0,936.18,32.93,896.66,10.361758313441358
5,50,58,48,72,72,72,72,43,59.72,100.0,100.0,57,87,0,0,0,921.77,22.14,895.21,10.217703302119725
5,60,58,48,69,69,69,69,42,60.87,100.0,100.0,57,81,0,0,0,915.64,24.77,885.92,10.156420102593446
8,20,58,48,81,81,81,81,45,55.56,100.0,100.0,56,106,0,0,0,926.89,37.62,881.75,10.26889377044122
12,20,58,45,64,64,64,64,34,53.12,100.0,100.0,47,81,0,0,0,905.81,22.88,878.35,10.058059449921029
5,20,55,45,89,89,89,89,42,47.19,100.0,100.0,72,106,0,0,0,881.37,23.07,853.69,9.81370194203272
15,20,58,48,72,72,72,72,40,55.56,100.0,100.0,54,90,0,0,0,874.62,21.62,848.67,9.746150294436115
10,50,55,48,73,73,73,73,41,56.16,100.0,100.0,60,86,0,0,0,866.96,26.63,835.0,9.669620708725803
12,60,55,48,69,69,69,69,38,55.07,100.0,100.0,55,83,0,0,0,857.32,21.86,831.09,9.573199574667367
12,50,55,48,73,73,73,73,42,57.53,100.0,100.0,62,84,0,0,0,856.94,30.06,820.86,9.569391244311465
8,60,55,48,74,74,74,74,41,55.41,100.0,100.0,64,84,0,0,0,852.49,27.61,819.35,9.524851329822498
10,30,58,48,73,73,73,73,39,53.42,100.0,100.0,53,93,0,0,0,847.54,25.93,816.43,9.475361746651329
8,40,58,48,74,74,74,74,42,56.76,100.0,100.0,59,89,0,0,0,839.87,27.5,806.87,9.398714029066856
10,40,58,48,71,71,71,71,36,50.7,100.0,100.0,52,90,0,0,0,822.2,25.87,791.15,9.221957788459026
12,40,58,48,68,68,68,68,35,51.47,100.0,100.0,54,82,0,0,0,826.94,32.73,787.66,9.269418215459657
8,60,58,48,65,65,65,65,40,61.54,100.0,100.0,56,74,0,0,0,807.65,25.55,776.99,9.076516683950796
5,20,52,45,102,102,102,102,46,45.1,100.0,100.0,88,116,0,0,0,796.48,26.03,765.25,8.96476966354299
12,20,55,45,75,75,75,75,37,49.33,100.0,100.0,65,85,0,0,0,790.51,26.08,759.21,8.905141528538422
10,40,55,48,80,80,80,80,40,50.0,100.0,100.0,63,97,0,0,0,790.5,28.4,756.42,8.90495016342406
12,30,58,48,74,74,74,74,39,52.7,100.0,100.0,58,90,0,0,0,786.71,25.59,756.01,8.867106307201853
8,50,58,48,68,68,68,68,37,54.41,100.0,100.0,52,84,0,0,0,795.3,34.36,754.07,8.953015898437604
5,30,58,45,66,66,66,66,31,46.97,100.0,100.0,44,88,0,0,0,787.97,34.41,746.68,8.879713324007833
15,50,55,48,71,71,71,71,39,54.93,100.0,100.0,63,79,0,0,0,737.04,29.18,702.03,8.370442847904382
10,50,52,45,70,70,70,70,37,52.86,100.0,100.0,62,78,0,0,0,729.73,29.92,693.82,8.297325883699221
5,20,58,45,77,77,77,77,37,48.05,100.0,100.0,59,95,0,0,0,714.37,28.66,679.98,8.143699681778045
12,60,52,45,66,66,66,66,35,53.03,100.0,100.0,58,74,0,0,0,708.34,24.22,679.28,8.083419644778909
10,50,58,48,66,66,66,66,37,56.06,100.0,100.0,50,82,0,0,0,706.12,28.34,672.11,8.061190602543537
8,30,58,45,64,64,64,64,31,48.44,100.0,100.0,48,80,0,0,0,705.36,30.94,668.23,8.053568718511075
10,40,55,45,69,69,69,69,33,47.83,100.0,100.0,60,78,0,0,0,702.56,29.5,667.15,8.025585124674553
10,60,58,48,63,63,63,63,39,61.9,100.0,100.0,48,78,0,0,0,690.18,20.2,665.95,7.90182505402117
12,50,52,45,68,68,68,68,34,50.0,100.0,100.0,59,77,0,0,0,700.16,29.11,665.23,8.001560976191465
15,50,58,48,62,62,62,62,37,59.68,100.0,100.0,48,76,0,0,0,686.92,22.02,660.5,7.869177955757174
15,40,58,48,66,66,66,66,34,51.52,100.0,100.0,50,82,0,0,0,697.4,32.35,658.58,7.974013253991558
12,60,58,48,61,61,61,61,36,59.02,100.0,100.0,46,76,0,0,0,684.3,21.47,658.54,7.84301846605053
12,50,58,48,66,66,66,66,38,57.58,100.0,100.0,51,81,0,0,0,689.77,26.15,658.39,7.897713776754421
5,60,55,48,82,82,82,82,37,45.12,100.0,100.0,60,104,0,0,0,696.19,33.67,655.79,7.961937626147319
15,30,52,45,71,71,71,71,38,53.52,100.0,100.0,69,73,0,0,0,689.32,33.63,648.97,7.893192203549315
12,20,52,45,84,84,84,84,37,44.05,100.0,100.0,72,96,0,0,0,680.99,28.12,647.25,7.809906693928917
5,40,58,45,66,66,66,66,32,48.48,100.0,100.0,53,79,0,0,0,684.8,31.37,647.16,7.848012055437863
10,50,55,45,64,64,64,64,34,53.12,100.0,100.0,59,69,0,0,0,667.04,27.15,634.45,7.670366149514168
15,60,55,48,68,68,68,68,36,52.94,100.0,100.0,53,83,0,0,0,658.94,24.25,629.85,7.589418122707983
8,40,55,45,74,74,74,74,34,45.95,100.0,100.0,63,85,0,0,0,660.97,27.15,628.39,7.609743182850195
15,40,55,45,64,64,64,64,34,53.12,100.0,100.0,57,71,0,0,0,647.66,28.5,613.47,7.476633996866135
12,40,55,45,65,65,65,65,32,49.23,100.0,100.0,60,70,0,0,0,647.01,30.39,610.53,7.470073252377075
5,50,58,45,64,64,64,64,30,46.88,100.0,100.0,51,77,0,0,0,648.91,33.84,608.29,7.489070112410765
12,40,52,45,71,71,71,71,34,47.89,100.0,100.0,64,78,0,0,0,638.44,32.13,599.89,7.38441397790062
15,30,58,48,72,72,72,72,36,50.0,100.0,100.0,53,91,0,0,0,632.35,30.66,595.56,7.323530637991659
10,60,55,45,62,62,62,62,33,53.23,100.0,100.0,58,66,0,0,0,623.33,29.58,587.83,7.233342317761242
10,20,58,45,68,68,68,68,33,48.53,100.0,100.0,52,84,0,0,0,624.76,33.13,585.0,7.247551001672491
5,40,55,45,79,79,79,79,38,48.1,100.0,100.0,65,93,0,0,0,619.31,28.78,584.78,7.193134951913948
15,20,58,45,61,61,61,61,30,49.18,100.0,100.0,47,75,0,0,0,614.19,29.32,579.01,7.141932405339948
15,40,52,45,68,68,68,68,34,50.0,100.0,100.0,59,77,0,0,0,618.91,33.52,578.68,7.189100782173051
10,60,52,45,69,69,69,69,34,49.28,100.0,100.0,65,73,0,0,0,609.23,27.55,576.17,7.092323057633722
12,40,58,45,60,60,60,60,30,50.0,100.0,100.0,51,69,0,0,0,606.65,31.09,569.34,7.066484379697202
10,30,55,45,71,71,71,71,33,46.48,100.0,100.0,57,85,0,0,0,602.61,28.59,568.3,7.026111725761735
12,30,52,45,72,72,72,72,36,50.0,100.0,100.0,64,80,0,0,0,590.73,25.68,559.92,6.907303177026229
10,30,52,45,77,77,77,77,36,46.75,100.0,100.0,65,89,0,0,0,582.69,26.31,551.12,6.826936041435459
15,60,58,48,62,62,62,62,36,58.06,100.0,100.0,48,76,0,0,0,576.34,22.6,549.22,6.763418403930088
10,40,52,45,75,75,75,75,35,46.67,100.0,100.0,64,86,0,0,0,581.17,26.86,548.93,6.811652192688631
5,60,58,45,61,61,61,61,28,45.9,100.0,100.0,51,71,0,0,0,588.92,33.68,548.5,6.889236433312948
5,50,52,45,82,82,82,82,37,45.12,100.0,100.0,72,92,0,0,0,578.74,29.07,543.85,6.787364586709866
5,40,52,45,84,84,84,84,37,44.05,100.0,100.0,71,97,0,0,0,577.76,29.55,542.3,6.777563692427099
5,30,55,45,82,82,82,82,36,43.9,100.0,100.0,65,99,0,0,0,577.21,31.17,539.81,6.772079504103838
5,50,55,45,75,75,75,75,33,44.0,100.0,100.0,67,83,0,0,0,571.49,29.34,536.27,6.714851936318005
15,60,52,45,64,64,64,64,34,53.12,100.0,100.0,57,71,0,0,0,558.85,24.88,529.0,6.588504310471889
8,50,58,45,60,60,60,60,29,48.33,100.0,100.0,48,72,0,0,0,568.16,32.78,528.82,6.681571154849478
12,50,55,45,64,64,64,64,32,50.0,100.0,100.0,54,74,0,0,0,563.15,31.52,525.32,6.63146682500047
15,40,58,45,58,58,58,58,30,51.72,100.0,100.0,46,70,0,0,0,550.31,27.55,517.25,6.503074541503777
10,20,55,45,79,79,79,79,36,45.57,100.0,100.0,63,95,0,0,0,544.68,33.49,504.49,6.446793319511417
12,30,55,45,67,67,67,67,34,50.75,100.0,100.0,54,80,0,0,0,544.85,33.76,504.33,6.448488130341924
15,50,55,45,62,62,62,62,32,51.61,100.0,100.0,58,66,0,0,0,534.8,32.41,495.91,6.3480081477705825
8,50,55,45,69,69,69,69,33,47.83,100.0,100.0,61,77,0,0,0,528.8,33.0,489.2,6.287985255335005
10,40,58,45,62,62,62,62,29,46.77,100.0,100.0,51,73,0,0,0,523.99,31.09,486.68,6.239922038207755
12,60,55,45,60,60,60,60,29,48.33,100.0,100.0,51,69,0,0,0,518.72,27.46,485.76,6.187197956023733
10,20,52,45,89,89,89,89,38,42.7,100.0,100.0,72,106,0,0,0,525.38,34.36,484.15,6.253826555772412
8,40,58,45,65,65,65,65,29,44.62,100.0,100.0,51,79,0,0,0,520.8,30.68,483.99,6.208045160973762
8,30,55,45,77,77,77,77,33,42.86,100.0,100.0,63,91,0,0,0,518.29,34.9,476.41,6.182916683787003
5,60,55,45,72,72,72,72,32,44.44,100.0,100.0,61,83,0,0,0,512.31,32.46,473.35,6.123068818479087
8,20,58,45,73,73,73,73,35,47.95,100.0,100.0,52,94,0,0,0,508.55,33.92,467.85,6.085540322202299
15,50,58,45,54,54,54,54,26,48.15,100.0,100.0,45,63,0,0,0,496.57,24.58,467.07,5.9656838117405755
8,30,52,45,84,84,84,84,34,40.48,100.0,100.0,68,100,0,0,0,503.33,33.62,462.99,6.033339373962897
8,60,55,45,64,64,64,64,31,48.44,100.0,100.0,56,72,0,0,0,494.18,31.85,455.96,5.941811882565024
8,60,58,45,57,57,57,57,28,49.12,100.0,100.0,46,68,0,0,0,495.65,35.47,453.08,5.956521233246527
10,60,58,45,55,55,55,55,27,49.09,100.0,100.0,44,66,0,0,0,484.18,29.4,448.9,5.841765030131076
12,60,58,45,53,53,53,53,25,47.17,100.0,100.0,43,63,0,0,0,477.72,27.86,444.29,5.777248477650036
10,30,58,45,63,63,63,63,30,47.62,100.0,100.0,46,80,0,0,0,486.58,35.44,444.06,5.865824890446664
8,20,52,45,94,94,94,94,41,43.62,100.0,100.0,78,110,0,0,0,483.63,36.72,439.57,5.836299152085551
5,30,52,45,94,94,94,94,39,41.49,100.0,100.0,76,112,0,0,0,480.3,36.9,436.01,5.802969681926281
15,30,55,45,66,66,66,66,33,50.0,100.0,100.0,50,82,0,0,0,476.5,35.28,434.16,5.765002291935385
15,20,55,45,70,70,70,70,32,45.71,100.0,100.0,58,82,0,0,0,466.34,28.98,431.56,5.6633511881013
8,40,52,45,80,80,80,80,31,38.75,100.0,100.0,69,91,0,0,0,469.71,32.64,430.54,5.697057791304196
15,60,55,45,59,59,59,59,30,50.85,100.0,100.0,54,64,0,0,0,464.84,29.35,429.62,5.648381022141808
15,30,58,45,62,62,62,62,28,45.16,100.0,100.0,51,73,0,0,0,472.75,37.58,427.65,5.727459786462019
10,50,58,45,58,58,58,58,26,44.83,100.0,100.0,44,72,0,0,0,464.62,31.8,426.46,5.646216821552959
8,50,52,45,78,78,78,78,34,43.59,100.0,100.0,73,83,0,0,0,467.41,36.9,423.13,5.674134027302686
12,50,58,45,58,58,58,58,29,50.0,100.0,100.0,46,70,0,0,0,457.7,38.17,411.9,5.5770106329672515
8,60,52,45,72,72,72,72,34,47.22,100.0,100.0,66,78,0,0,0,450.94,34.74,409.26,5.509421249529312
15,20,52,45,77,77,77,77,35,45.45,100.0,100.0,67,87,0,0,0,440.78,30.49,404.19,5.407767040415649
5,20,58,42,77,77,77,77,30,38.96,100.0,100.0,57,97,0,0,0,443.58,36.5,399.79,5.435806364352228
12,20,58,42,60,60,60,60,26,43.33,100.0,100.0,46,74,0,0,0,438.42,33.8,397.87,5.384246291875233
