fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
10,30,55,45,464,180,14,14,7,50.0,3.02,7.78,14,14,616,450,166,551,338,91.28,14.83,54.33,1.912770391626462
8,20,55,48,572,127,11,11,7,63.64,1.92,8.66,11,11,677,561,116,655,236,88.36,14.3,51.93,1.8836394964972905
12,20,55,45,480,191,11,11,6,54.55,2.29,5.76,11,11,649,469,180,540,366,89.87,17.09,49.99,1.8987233546491329
10,20,55,45,490,198,11,11,6,54.55,2.24,5.56,11,11,666,479,187,567,380,89.79,17.09,49.89,1.8978524706972117
10,20,55,48,490,219,11,11,6,54.55,2.24,5.02,11,11,687,479,208,568,420,89.79,17.09,49.86,1.8978524706972117
8,30,55,45,476,183,14,14,7,50.0,2.94,7.65,14,14,631,462,169,545,344,85.37,16.95,45.85,1.8536567886237716
8,20,55,45,568,125,11,11,7,63.64,1.94,8.8,11,11,671,557,114,632,233,84.22,16.42,45.24,1.8421554025047306
8,20,52,45,698,117,12,12,7,58.33,1.72,10.26,12,12,791,686,105,833,214,80.82,15.88,42.54,1.8081988408165481
10,30,55,48,463,220,13,13,6,46.15,2.81,5.91,13,13,657,450,207,543,418,84.06,19.05,41.91,1.8405771721200874
8,40,55,45,471,185,14,14,7,50.0,2.97,7.57,14,14,628,457,171,528,347,82.05,18.4,40.79,1.8204543163258544
5,40,55,48,476,218,14,14,7,50.0,2.94,6.42,14,14,666,462,204,536,413,82.2,19.66,39.37,1.8219923543648169
5,40,55,45,483,194,13,13,6,46.15,2.69,6.7,13,13,651,470,181,544,366,81.55,19.11,39.36,1.8155400349948876
10,20,52,48,576,239,14,14,8,57.14,2.43,5.86,14,14,786,561,225,683,456,84.4,22.33,38.26,1.8440087845860833
5,20,55,45,562,156,14,14,9,64.29,2.49,8.97,14,14,690,548,142,638,292,77.03,16.42,38.15,1.7703321722865455
5,20,55,48,562,170,14,14,9,64.29,2.49,8.24,14,14,704,548,156,622,321,77.03,16.42,38.11,1.7703321722865455
8,30,52,48,590,233,12,12,6,50.0,2.03,5.15,12,12,798,577,221,660,446,79.67,20.92,35.13,1.7966557643987295
10,40,55,45,454,195,12,12,6,50.0,2.64,6.15,12,12,625,442,183,499,370,78.64,20.38,34.89,1.7863674489588313
8,20,55,42,563,131,11,11,6,54.55,1.95,8.4,11,11,672,552,120,658,242,71.64,14.98,34.38,1.7163659344221394
12,30,55,45,469,195,14,14,7,50.0,2.99,7.18,14,14,636,455,181,524,367,77.54,20.14,34.18,1.7753947004843664
8,60,55,45,433,190,13,13,6,46.15,3.0,6.84,13,13,597,420,177,494,358,82.38,24.18,34.15,1.8238315396206004
12,30,55,48,469,226,14,14,7,50.0,2.99,6.19,14,14,667,455,212,525,429,77.54,20.14,34.13,1.7753947004843664
8,20,52,48,708,131,12,12,7,58.33,1.69,9.16,12,12,815,696,119,834,244,72.26,15.88,33.92,1.7226220858603516
10,30,52,48,562,236,14,14,7,50.0,2.49,5.93,14,14,770,548,222,635,449,77.58,20.41,33.76,1.7758414281953256
10,40,55,48,453,219,13,13,6,46.15,2.87,5.94,13,13,646,440,206,485,416,77.0,20.38,33.28,1.770042223566827
12,40,55,48,442,221,13,13,6,46.15,2.94,5.88,13,13,637,429,208,493,420,77.0,20.38,33.28,1.770042223566827
15,30,55,48,451,225,14,14,7,50.0,3.1,6.22,14,14,648,437,211,520,427,76.66,20.14,33.27,1.7665903019389944
8,30,52,45,572,206,14,14,7,50.0,2.45,6.8,14,14,749,557,192,637,389,77.75,21.48,32.68,1.7775231097757123
8,30,55,48,474,239,14,14,6,42.86,2.95,5.86,14,14,685,460,225,523,454,76.88,20.84,32.61,1.7688191073890205
15,20,55,45,469,206,13,13,6,46.15,2.77,6.31,13,13,649,456,193,530,390,76.51,20.88,32.19,1.765090209703914
15,40,55,45,432,192,13,13,5,38.46,3.01,6.77,13,13,598,419,179,490,361,75.97,20.48,32.19,1.7597127868694469
12,40,55,45,442,193,13,13,6,46.15,2.94,6.74,13,13,609,429,180,498,365,75.72,20.38,32.04,1.7571891002892166
15,30,55,45,451,201,14,14,7,50.0,3.1,6.97,14,14,624,437,187,507,379,75.38,20.14,32.02,1.7537622447155368
8,50,55,48,449,223,13,13,5,38.46,2.9,5.83,13,13,646,436,210,518,423,80.09,24.18,31.8,1.8009437435101465
8,30,58,45,356,220,14,14,7,50.0,3.93,6.36,14,14,548,342,206,381,418,77.21,21.96,31.76,1.7720500676110402
8,40,55,48,474,221,14,14,7,50.0,2.95,6.33,14,14,667,460,207,517,419,75.13,20.24,31.6,1.7512706979613804
10,30,58,45,349,203,13,13,6,46.15,3.72,6.4,13,13,526,336,190,359,383,73.59,19.38,31.22,1.7359338062308065
15,40,55,48,438,223,13,13,6,46.15,2.97,5.83,13,13,635,425,210,492,424,75.04,20.48,31.2,1.750422916484161
8,50,58,48,341,214,13,13,6,46.15,3.81,6.07,13,13,529,328,201,358,405,72.24,18.97,30.35,1.7224052138572847
10,30,55,42,454,197,10,10,5,50.0,2.2,5.08,10,10,631,444,187,504,376,74.11,20.92,29.6,1.7411035672885011
10,20,58,45,355,233,13,13,7,53.85,3.66,5.58,13,13,562,342,220,376,445,74.1,21.5,29.13,1.7410257611970328
15,20,58,45,350,220,14,14,7,50.0,4.0,6.36,14,14,542,336,206,384,418,74.04,21.61,29.02,1.7403633322874275
15,20,52,45,676,110,13,13,8,61.54,1.92,11.82,13,13,760,663,97,771,199,64.47,13.95,28.61,1.6447023094217395
10,50,55,45,444,196,13,13,5,38.46,2.93,6.63,13,13,614,431,183,496,370,76.36,24.28,27.99,1.7635727642813326
8,30,58,48,356,255,15,15,7,46.67,4.21,5.88,15,15,581,341,240,389,485,74.31,23.23,27.36,1.7431055776278035
