fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
10,20,52,48,230,119,75,75,48,64.0,32.61,63.03,75,75,200,155,45,169,99,387.47,9.94,363.58,4.874666111742978
5,20,55,48,208,135,76,76,48,63.16,36.54,56.3,76,76,192,132,60,119,129,375.47,8.03,354.12,4.754671726036542
5,20,52,48,237,146,83,83,49,59.04,35.02,56.85,83,83,218,154,64,153,135,369.11,8.55,346.95,4.691141980583849
8,20,55,48,212,113,77,77,49,63.64,36.32,68.14,77,77,172,135,37,117,81,355.0,7.9,334.38,4.549988189816131
10,20,58,48,151,105,64,64,43,67.19,42.38,60.95,64,64,129,87,42,68,90,348.2,7.61,328.48,4.481999027799758
5,60,52,48,224,112,70,70,44,62.86,31.25,62.5,70,70,197,154,43,145,91,344.94,11.17,319.35,4.449431395012528
5,50,52,48,199,114,77,77,49,63.64,38.69,67.54,77,77,160,122,38,126,81,337.65,9.33,315.64,4.376469665956786
8,50,52,48,191,115,74,74,50,67.57,38.74,64.35,74,74,159,117,42,135,91,334.77,12.78,308.46,4.347745015923429
5,20,58,48,189,108,64,64,41,64.06,33.86,59.26,64,64,170,125,45,100,95,329.58,8.79,307.08,4.295811770420882
10,20,55,48,169,122,78,78,48,61.54,46.15,63.93,78,78,136,91,45,75,101,310.95,8.44,290.94,4.1095059929921955
8,20,52,48,210,119,86,86,50,58.14,40.95,72.27,86,86,158,124,34,113,78,308.67,13.05,282.76,4.086679416030692
5,30,58,48,159,99,67,67,42,62.69,42.14,67.68,67,67,125,92,33,71,72,305.95,11.17,282.25,4.059485509208047
10,20,55,45,158,110,66,66,40,60.61,41.77,60.0,66,66,137,92,45,91,101,305.39,11.34,281.05,4.053853654865974
5,40,58,48,157,86,63,63,40,63.49,40.13,73.26,63,63,118,94,24,88,54,288.78,10.38,266.01,3.8877728604228468
10,50,52,48,173,98,74,74,45,60.81,42.77,75.51,74,74,124,99,25,91,58,287.92,13.01,262.5,3.879175844689098
8,60,52,48,190,106,76,76,43,56.58,40.0,71.7,76,76,145,114,31,115,69,288.01,13.37,261.55,3.880055142048723
10,60,55,48,157,94,66,66,39,59.09,42.04,70.21,66,66,120,91,29,85,63,287.73,15.0,259.54,3.877271143070636
8,20,58,48,147,105,74,74,44,59.46,50.34,70.48,74,74,105,73,32,44,72,277.77,8.26,258.94,3.777688561816264
12,30,52,48,231,106,75,75,44,58.67,32.47,70.75,75,75,188,156,32,160,72,285.75,13.67,257.75,3.8574739851172373
5,30,55,48,201,108,80,80,50,62.5,39.8,74.07,80,80,150,121,29,113,69,283.96,13.88,256.98,3.8396370847837535
12,60,52,48,179,100,74,74,45,60.81,41.34,74.0,74,74,132,105,27,101,61,282.22,15.11,253.99,3.8222054634920393
5,60,55,48,171,106,74,74,43,58.11,43.27,69.81,74,74,130,97,33,92,72,271.78,10.19,249.53,3.717829215111992
15,60,55,48,142,101,67,67,38,56.72,47.18,66.34,67,67,110,75,35,67,76,270.25,9.53,249.2,3.702507444138903
15,40,52,48,165,102,79,79,47,59.49,47.88,77.45,79,79,110,86,24,77,55,268.95,10.39,247.54,3.689511652258209
12,40,52,48,193,97,77,77,46,59.74,39.9,79.38,77,77,137,116,21,114,48,271.03,13.31,245.01,3.710278880354987
12,50,52,48,183,110,79,79,46,58.23,43.17,71.82,79,79,136,104,32,113,73,269.44,12.24,244.82,3.694390721178623
10,50,55,48,151,91,72,72,38,52.78,47.68,79.12,72,72,99,79,20,67,46,261.6,9.15,241.72,3.6159758944247917
15,60,52,48,159,102,74,74,43,58.11,46.54,72.55,74,74,114,85,29,66,65,262.73,10.53,240.7,3.627257868610644
10,40,52,48,192,110,80,80,47,58.75,41.67,72.73,80,80,143,112,31,109,70,262.04,12.4,237.05,3.620446365274362
8,40,52,48,195,113,82,82,49,59.76,42.05,72.57,82,82,145,113,32,113,71,262.13,13.94,235.34,3.621293733895408
12,40,55,48,154,105,74,74,40,54.05,48.05,70.48,74,74,112,80,32,71,71,261.67,14.23,235.33,3.6167360835525932
15,50,55,48,162,82,68,68,38,55.88,41.98,82.93,68,68,109,94,15,88,36,259.19,13.23,233.76,3.591854877019076
12,30,55,48,175,99,78,78,40,51.28,44.57,78.79,78,78,119,97,22,97,50,255.55,10.52,233.55,3.555459082086144
15,40,55,48,159,85,73,73,38,52.05,45.91,85.88,73,73,99,86,13,73,32,255.51,12.55,231.63,3.5550986030590974
10,20,52,45,176,108,73,73,40,54.79,41.48,67.59,73,73,139,103,36,115,83,255.89,12.22,230.83,3.5588715951942693
15,50,58,48,138,69,59,59,38,64.41,42.75,85.51,59,59,90,79,11,60,27,253.94,11.92,230.33,3.5394116273551823
15,50,52,48,182,99,75,75,43,57.33,41.21,75.76,75,75,132,107,25,106,57,260.99,17.64,229.79,3.6098835026740983
8,30,58,48,151,87,65,65,42,64.62,43.05,74.71,65,65,109,86,23,67,51,251.18,10.9,228.29,3.5118302767984786
10,60,52,48,187,96,79,79,45,56.96,42.25,82.29,79,79,126,108,18,94,45,248.52,9.96,227.02,3.485244525452036
10,30,52,48,204,106,83,83,43,51.81,40.69,78.3,83,83,145,121,24,110,56,253.74,14.23,226.69,3.5374466236705118
15,30,52,48,183,102,83,83,45,54.22,45.36,81.37,83,83,120,100,20,92,47,246.79,9.61,226.14,3.467931803533605
8,60,58,48,132,90,65,65,37,56.92,49.24,72.22,65,65,93,67,26,58,58,249.9,12.47,225.93,3.4989680600365505
8,60,55,48,163,108,74,74,41,55.41,45.4,68.52,74,74,124,89,35,94,76,252.84,14.54,225.63,3.5284218028337193
12,50,55,48,169,102,71,71,40,56.34,42.01,69.61,71,71,130,98,32,90,70,252.56,14.18,225.33,3.525611219138625
8,40,58,48,125,86,66,66,37,56.06,52.8,76.74,66,66,80,59,21,45,48,246.16,11.61,223.98,3.4615768580742556
15,60,52,45,133,86,62,62,37,59.68,46.62,72.09,62,62,96,71,25,68,57,248.22,12.6,223.7,3.4822109250264224
5,60,58,48,134,101,66,66,40,60.61,49.25,65.35,66,66,104,68,36,48,79,244.79,10.49,222.86,3.447916164212924
