fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
12,50,52,48,297,83,46,46,33,71.74,15.49,55.42,46,46,288,251,37,306,75,535.22,12.65,505.14,6.352198681779142
8,40,55,48,274,74,48,48,32,66.67,17.52,64.86,48,48,252,226,26,254,56,534.29,13.07,504.48,6.342942373776994
8,60,52,48,301,70,49,49,34,69.39,16.28,70.0,49,49,273,252,21,303,46,522.95,12.26,494.19,6.229518065380532
8,40,58,48,212,70,43,43,30,69.77,20.28,61.43,43,43,196,169,27,193,59,509.03,13.12,479.4,6.090283527545909
10,40,58,48,191,68,40,40,25,62.5,20.94,58.82,40,40,179,151,28,168,59,510.43,15.09,478.4,6.104346800893215
15,60,55,48,213,58,39,39,27,69.23,18.31,67.24,39,39,193,174,19,207,40,500.6,13.58,470.4,6.005969979240919
12,60,55,48,217,57,38,38,28,73.68,17.51,66.67,38,38,198,179,19,203,41,494.47,11.18,467.01,5.9446760421400135
10,60,58,48,186,53,35,35,26,74.29,18.82,66.04,35,35,169,151,18,170,38,488.89,9.34,463.81,5.888859491299276
5,60,55,48,226,100,46,46,29,63.04,20.35,46.0,46,46,234,180,54,216,114,494.76,15.06,462.04,5.947617246514971
8,20,58,48,241,83,46,46,29,63.04,19.09,55.42,46,46,232,195,37,210,78,498.06,18.6,461.37,5.980625775355202
10,30,55,48,276,82,52,52,31,59.62,18.84,63.41,52,52,254,224,30,250,66,494.1,15.78,461.15,5.940965665475361
5,50,58,48,204,60,43,43,26,60.47,21.08,71.67,43,43,178,161,17,185,39,487.04,11.0,460.59,5.870392981320619
15,40,55,48,248,60,44,44,31,70.45,17.74,73.33,44,44,220,204,16,231,35,488.48,11.91,460.52,5.884845907144108
5,20,58,48,244,85,52,52,32,61.54,21.31,61.18,52,52,225,192,33,204,76,495.63,18.83,459.29,5.9562868710074435
5,50,55,48,253,80,43,43,27,62.79,17.0,53.75,43,43,247,210,37,250,79,488.05,12.81,457.92,5.88050951235467
15,30,58,48,202,68,40,40,24,60.0,19.8,58.82,40,40,190,162,28,176,60,485.4,11.65,457.33,5.853958455816622
15,40,58,48,190,52,36,36,23,63.89,18.95,69.23,36,36,170,154,16,177,34,485.17,11.91,457.19,5.851741687116693
12,20,55,48,279,79,56,56,34,60.71,20.07,70.89,56,56,246,223,23,257,51,495.26,22.03,455.39,5.9526411563709205
12,50,55,48,235,78,40,40,27,67.5,17.02,51.28,40,40,233,195,38,216,77,485.47,12.7,455.35,5.854658278663887
10,30,58,48,229,63,42,42,26,61.9,18.34,66.67,42,42,208,187,21,215,47,483.92,13.12,454.26,5.839190779446534
5,60,58,48,198,60,38,38,23,60.53,19.19,63.33,38,38,182,160,22,184,47,482.12,12.7,452.93,5.821152528279733
10,40,55,48,248,67,48,48,31,64.58,19.35,71.64,48,48,219,200,19,225,44,480.82,13.01,451.69,5.808204866195248
8,60,55,48,243,60,42,42,28,66.67,17.28,70.0,42,42,219,201,18,228,40,480.06,12.18,451.53,5.800578361720284
12,20,52,48,365,87,61,61,34,55.74,16.71,70.11,61,61,330,304,26,370,59,485.68,18.85,449.07,5.856776762741571
8,20,55,48,318,83,53,53,30,56.6,16.67,63.86,53,53,295,265,30,293,68,475.33,14.42,443.71,5.753263258981326
15,50,55,48,222,62,44,44,30,68.18,19.82,70.97,44,44,196,178,18,208,38,471.98,12.67,443.3,5.719797460617944
8,30,55,48,271,87,56,56,32,57.14,20.66,64.37,56,56,246,215,31,242,69,480.87,19.93,443.27,5.808707293058186
5,30,55,48,294,86,56,56,32,57.14,19.05,65.12,56,56,268,238,30,265,68,479.85,21.03,440.73,5.798517106844565
5,20,55,48,294,103,59,59,34,57.63,20.07,57.28,59,59,279,235,44,263,101,472.46,16.5,438.53,5.724561195602766
10,20,58,48,227,76,51,51,30,58.82,22.47,67.11,51,51,201,176,25,189,57,470.37,21.2,431.66,5.703665335954214
5,40,55,48,285,88,59,59,34,57.63,20.7,67.05,59,59,255,226,29,255,64,461.47,18.57,425.65,5.61472224391531
10,60,55,48,230,62,43,43,28,65.12,18.7,69.35,43,43,206,187,19,211,41,452.26,11.35,424.92,5.522611933823896
10,50,58,48,183,61,41,41,26,63.41,22.4,67.21,41,41,162,142,20,171,44,451.49,11.74,424.12,5.514890958044153
5,20,55,45,265,103,61,61,31,50.82,23.02,59.22,61,61,246,204,42,236,98,464.92,24.12,422.39,5.649190136658239
15,30,55,48,256,71,47,47,30,63.83,18.36,66.2,47,47,233,209,24,241,52,456.44,16.93,422.2,5.5644261802582395
10,50,55,48,211,73,47,47,30,63.83,22.27,64.38,47,47,190,164,26,189,57,450.47,13.3,421.08,5.5047170929842935
8,50,55,48,251,68,47,47,30,63.83,18.73,69.12,47,47,225,204,21,237,47,450.69,13.74,420.47,5.506922992068447
12,50,58,48,207,51,38,38,27,71.05,18.36,74.51,38,38,182,169,13,207,28,442.4,8.89,418.21,5.4240160549063585
8,50,58,48,196,61,41,41,25,60.98,20.92,67.21,41,41,175,155,20,159,43,440.59,11.74,412.99,5.405853713741075
15,20,58,48,214,66,45,45,28,62.22,21.03,68.18,45,45,190,169,21,187,47,447.15,17.53,412.67,5.471484542638334
12,40,58,48,203,66,41,41,25,60.98,20.2,62.12,41,41,187,162,25,182,54,439.84,13.21,410.12,5.398419238684206
5,30,58,48,240,70,49,49,29,59.18,20.42,70.0,49,49,212,191,21,216,48,450.38,24.71,407.29,5.503784330815581
12,60,58,48,185,54,36,36,25,69.44,19.46,66.67,36,36,167,149,18,163,39,434.68,11.67,406.93,5.346816936476327
12,40,55,48,253,77,49,49,28,57.14,19.37,63.64,49,49,232,204,28,242,60,437.66,14.03,406.91,5.376620791153449
15,20,55,48,285,83,54,54,31,57.41,18.95,65.06,54,54,260,231,29,260,65,438.8,15.79,405.95,5.387993594607331
5,20,58,45,202,83,51,51,28,54.9,25.25,61.45,51,51,183,151,32,155,74,452.81,29.3,404.51,5.528063824177406
15,60,52,48,259,84,45,45,32,71.11,17.37,53.57,45,45,253,214,39,262,81,439.38,16.82,404.47,5.393755085238599
5,60,52,48,299,116,55,55,33,60.0,18.39,47.41,55,55,305,244,61,282,129,439.49,16.93,404.31,5.394915196832531
12,20,58,48,214,79,52,52,31,59.62,24.3,65.82,52,52,189,162,27,160,61,440.89,21.23,402.35,5.408906066350224
12,30,55,48,267,82,51,51,33,64.71,19.1,62.2,51,51,247,216,31,242,69,429.37,11.26,401.83,5.293695349695924
15,50,58,48,182,54,37,37,26,70.27,20.33,68.52,37,37,162,145,17,154,34,427.42,10.59,401.19,5.274230592407657
12,50,58,45,159,71,41,41,24,58.54,25.79,57.75,41,41,149,118,31,141,64,425.41,9.93,400.25,5.25407333311492
8,60,58,48,189,58,40,40,28,70.0,21.16,68.97,40,40,167,149,18,158,40,424.66,9.3,400.11,5.246558219203394
15,60,58,48,186,43,32,32,24,75.0,17.2,74.42,32,32,165,154,11,168,23,426.75,12.74,397.77,5.267503748525298
10,20,55,48,276,100,65,65,37,56.92,23.55,65.0,65,65,246,211,35,230,76,431.49,17.79,396.93,5.3148876415853055
8,60,58,45,154,58,42,42,25,59.52,27.27,72.41,42,42,129,112,17,122,38,415.27,9.87,391.13,5.152702802053798
5,40,58,48,223,74,49,49,30,61.22,21.97,66.22,49,49,199,174,25,191,57,426.79,18.83,390.8,5.2678704679396535
10,60,52,48,297,86,47,47,33,70.21,15.82,54.65,47,47,289,250,39,299,81,424.06,16.82,388.98,5.24062493309886
12,30,58,48,224,60,41,41,25,60.98,18.3,68.33,41,41,202,183,19,209,43,417.92,13.02,388.46,5.179242914477655
12,60,52,48,281,80,44,44,32,72.73,15.66,55.0,44,44,273,237,36,265,74,416.83,13.76,385.42,5.168341014157076
8,20,52,48,371,110,63,63,36,57.14,16.98,57.27,63,63,356,308,48,388,106,420.46,17.24,385.18,5.204550694551538
8,40,52,48,315,111,60,60,37,61.67,19.05,54.05,60,60,306,255,51,300,110,419.73,16.82,385.1,5.197285340710146
15,50,52,48,295,79,49,49,34,69.39,16.61,62.03,49,49,276,246,30,297,64,415.81,13.76,384.89,5.158097158217039
12,60,58,45,138,55,40,40,25,62.5,28.99,72.73,40,40,114,98,16,109,35,412.26,14.5,382.84,5.122559916266053
10,50,58,45,163,69,43,43,24,55.81,26.38,62.32,43,43,147,120,27,131,58,409.29,12.23,381.69,5.092921804738957
8,50,58,45,155,71,43,43,25,58.14,27.74,60.56,43,43,141,112,29,122,60,411.85,14.61,381.51,5.11848941657493
8,30,58,48,215,76,52,52,31,59.62,24.19,68.42,52,52,187,163,24,182,54,422.84,23.75,381.39,5.228428598962804
10,60,58,45,155,62,37,37,23,62.16,23.87,59.68,37,37,144,118,26,117,55,409.79,12.7,381.12,5.097904127798749
5,20,52,48,364,141,68,68,40,58.82,18.68,48.23,68,68,370,296,74,355,162,424.86,24.25,380.97,5.248603022160576
8,50,52,48,303,97,52,52,32,61.54,17.16,53.61,52,52,296,251,45,303,94,416.33,17.35,380.76,5.163303694736814
5,50,52,48,318,111,62,62,36,58.06,19.5,55.86,62,62,305,256,49,325,107,419.64,20.93,380.24,5.196396043754022
10,50,52,48,296,94,54,54,32,59.26,18.24,57.45,54,54,282,242,40,291,86,416.25,18.37,379.81,5.162494868080248
15,60,58,45,149,44,34,34,22,64.71,22.82,77.27,34,34,126,115,11,123,24,405.65,12.2,378.3,5.056466666202123
5,60,58,45,151,69,47,47,26,55.32,31.13,68.12,47,47,127,104,23,110,53,409.82,18.32,375.9,5.098163554517745
15,40,52,48,283,101,56,56,37,66.07,19.79,55.45,56,56,272,227,45,268,93,410.4,18.51,373.93,5.1040070952503305
15,40,58,45,149,64,44,44,26,59.09,29.53,68.75,44,44,126,105,21,123,44,404.13,15.35,373.58,5.041318186895835
10,20,52,48,325,137,69,69,33,47.83,21.23,50.36,69,69,325,256,69,335,147,404.99,15.41,372.2,5.049906602966351
10,40,52,48,299,102,58,58,34,58.62,19.4,56.86,58,58,285,241,44,300,94,401.7,13.76,370.94,5.016963334005261
15,50,58,45,141,58,40,40,24,60.0,28.37,68.97,40,40,120,101,19,110,40,402.74,16.29,370.9,5.02741023196812
8,30,58,45,167,87,51,51,27,52.94,30.54,58.62,51,51,153,116,37,121,79,410.39,23.93,369.18,5.103864075824467
15,50,52,45,246,67,47,47,29,61.7,19.11,70.15,47,47,219,199,20,233,43,402.63,16.94,368.67,5.026309991488381
10,40,58,45,161,71,47,47,26,55.32,29.19,66.2,47,47,139,114,25,131,53,398.47,16.0,366.95,4.984653520330418
5,50,58,45,165,73,52,52,28,53.85,31.52,71.23,52,52,135,113,22,130,52,394.35,15.23,364.36,4.943542549504286
5,20,58,42,176,116,51,51,25,49.02,28.98,43.97,51,51,190,125,65,139,142,398.22,19.6,361.25,4.9822308436473834
5,60,58,42,147,56,38,38,21,55.26,25.85,67.86,38,38,128,109,19,125,44,390.42,14.02,360.87,4.90424861968925
5,60,55,45,211,95,49,49,29,59.18,23.22,51.58,49,49,208,162,46,181,100,391.26,13.76,360.8,4.91255432167677
8,20,55,45,240,114,58,58,27,46.55,24.17,50.88,58,58,238,182,56,202,119,403.18,23.85,360.73,5.0318302500804135
8,30,52,48,314,120,69,69,34,49.28,21.97,57.5,69,69,297,245,52,296,113,400.86,23.34,359.01,5.008551436721216
5,30,58,45,189,82,53,53,28,52.83,28.04,64.63,53,53,165,136,29,147,63,400.23,24.92,357.76,5.002304049625841
12,50,55,45,198,75,47,47,28,59.57,23.74,62.67,47,47,179,151,28,179,59,385.23,14.08,355.03,4.8522655611676235
15,30,58,45,151,68,45,45,24,53.33,29.8,66.18,45,45,130,106,24,122,51,383.46,14.65,353.66,4.834627215820059
10,20,58,45,198,97,51,51,24,47.06,25.76,52.58,51,51,193,147,46,153,100,387.19,19.76,349.97,4.871944557334945
5,30,55,45,226,106,59,59,29,49.15,26.11,55.66,59,59,214,167,47,189,102,393.38,26.23,348.6,4.9337731990039915
8,20,58,45,213,90,49,49,26,53.06,23.0,54.44,49,49,205,164,41,173,88,389.83,26.38,344.35,4.898306908909731
10,50,55,45,193,74,47,47,26,55.32,24.35,63.51,47,47,173,146,27,170,58,376.42,16.11,343.91,4.7641805001873
5,20,52,45,324,132,68,68,32,47.06,20.99,51.52,68,68,320,256,64,322,142,392.19,28.43,343.8,4.921884245693789
15,20,58,45,165,75,49,49,24,48.98,29.7,65.33,49,49,143,116,27,121,60,381.51,22.03,342.8,4.815137440056178
10,30,58,45,172,72,48,48,24,50.0,27.91,66.67,48,48,149,124,25,127,54,373.03,15.92,341.44,4.7302529077963005
10,60,55,45,197,62,43,43,24,55.81,21.83,69.35,43,43,173,154,19,168,42,373.47,16.41,340.52,4.734720394958369
10,30,55,45,239,94,52,52,26,50.0,21.76,55.32,52,52,229,187,42,207,88,373.67,16.21,340.24,4.736687830483884
12,40,58,45,152,65,45,45,24,53.33,29.61,69.23,45,45,128,107,21,122,45,370.42,16.62,338.38,4.7041929869364285
12,50,52,45,259,86,47,47,28,59.57,18.15,54.65,47,47,251,212,39,246,83,375.12,18.65,338.19,4.751152239946912
12,40,52,48,312,93,57,57,31,54.39,18.27,61.29,57,57,291,255,36,302,78,372.43,16.91,337.95,4.724295000527867
8,40,55,45,230,87,54,54,31,57.41,23.48,62.07,54,54,209,176,33,202,71,368.15,14.51,337.37,4.6815141571502314
8,20,52,45,230,159,72,72,30,41.67,31.3,45.28,72,72,245,158,87,200,183,380.88,25.68,337.03,4.808829133815089
10,60,52,45,253,69,46,46,25,54.35,18.18,66.67,46,46,230,207,23,239,51,364.18,12.27,335.51,4.641772213000738
8,60,52,45,262,79,51,51,28,54.9,19.47,64.56,51,51,239,211,28,249,61,361.71,12.66,332.67,4.617097054538738
8,60,55,45,211,74,49,49,26,53.06,23.22,66.22,49,49,187,162,25,183,55,362.84,15.23,331.35,4.62838403773094
15,50,55,45,194,60,45,45,27,60.0,23.2,75.0,45,45,164,149,15,162,33,361.29,14.54,331.07,4.612945383265203
5,50,55,45,219,79,57,57,32,56.14,26.03,72.15,57,57,184,162,22,191,56,358.04,15.13,327.4,4.580423377894716
8,50,58,42,132,61,38,38,20,52.63,28.79,62.3,38,38,118,94,24,109,53,359.71,17.78,325.81,4.59710901063222
15,30,52,48,301,98,66,66,34,51.52,21.93,67.35,66,66,267,235,32,270,69,353.89,12.33,325.75,4.538924411852628
8,50,55,45,207,68,52,52,27,51.92,25.12,76.47,52,52,171,155,16,165,38,355.25,14.83,325.04,4.552495139106168
5,50,52,45,285,94,60,60,31,51.67,21.05,63.83,60,60,259,225,34,277,78,364.03,22.21,323.73,4.640315544925597
15,20,52,48,301,120,64,64,35,54.69,21.26,53.33,64,64,294,237,57,285,123,360.87,21.04,321.48,4.608707202696975
15,40,55,45,208,60,49,49,28,57.14,23.56,81.67,49,49,170,159,11,183,25,344.78,12.69,317.16,4.44778201940722
12,30,52,48,305,109,63,63,33,52.38,20.66,57.8,63,63,288,242,46,285,99,351.35,16.91,317.05,4.5134676300952075
12,60,52,45,237,69,45,45,27,60.0,18.99,65.22,45,45,216,192,24,209,52,352.03,17.86,316.71,4.520343119862152
12,20,58,45,172,78,54,54,26,48.15,31.4,69.23,54,54,142,118,24,132,54,359.66,27.31,315.06,4.596619292513507
10,60,52,42,194,63,35,35,17,48.57,18.04,55.56,35,35,187,159,28,195,59,349.09,17.3,313.82,4.490935304826828
5,60,55,42,190,59,43,43,24,55.81,22.63,72.88,43,43,163,147,16,169,40,347.02,17.99,312.47,4.470180865780669
10,50,52,45,244,72,55,55,26,47.27,22.54,76.39,55,55,206,189,17,226,39,347.25,18.52,312.22,4.472505160544864
12,30,58,45,150,93,50,50,26,52.0,33.33,53.76,50,50,144,100,44,110,90,343.61,15.92,312.19,4.436103178385528
15,30,55,45,212,79,51,51,28,54.9,24.06,64.56,51,51,189,161,28,166,60,342.38,14.28,312.09,4.42382393595223
15,60,52,45,222,68,47,47,28,59.57,21.17,69.12,47,47,196,175,21,226,46,341.43,14.28,310.93,4.414327675315938
5,60,52,45,251,93,61,61,32,52.46,24.3,65.59,61,61,222,190,32,218,73,340.59,14.49,310.12,4.405901773188196
8,40,58,45,169,93,52,52,27,51.92,30.77,55.91,52,52,159,117,42,121,88,346.0,20.18,309.19,4.459980622914735
5,30,52,48,347,124,72,72,35,48.61,20.75,58.06,72,72,328,275,53,325,116,347.42,23.24,305.55,4.474196832069251
15,20,52,45,237,117,61,61,30,49.18,25.74,52.14,61,61,233,176,57,195,120,345.61,22.41,305.18,4.456057817879361
10,50,58,42,125,60,38,38,18,47.37,30.4,63.33,38,38,110,87,23,94,48,339.6,18.49,305.14,4.395998797993137
10,30,52,48,344,118,63,63,35,55.56,18.31,53.39,63,63,336,281,55,340,119,345.14,21.19,305.13,4.451439535089941
15,20,55,45,225,81,56,56,24,42.86,24.89,69.14,56,56,195,169,26,200,60,340.42,21.17,302.2,4.404218008546868
10,20,55,45,243,82,62,62,29,46.77,25.51,75.61,62,62,201,181,20,178,46,343.79,26.0,300.2,4.437880142591887
12,20,55,45,225,84,61,61,28,45.9,27.11,72.62,61,61,188,164,24,181,52,338.02,23.6,297.39,4.380168831408185
15,60,58,42,112,50,33,33,18,54.55,29.46,66.0,33,33,97,79,18,88,37,335.35,21.77,296.94,4.3534562635779155
15,40,58,42,124,62,38,38,17,44.74,30.65,61.29,38,38,111,86,25,100,52,332.14,19.2,296.76,4.321365762237906
15,50,52,42,177,66,38,38,18,47.37,21.47,57.58,38,38,167,139,28,157,59,336.11,22.51,295.19,4.361071446214013
5,40,52,48,324,118,70,70,38,54.29,21.6,59.32,70,70,302,254,48,315,104,337.37,24.07,294.7,4.373733506712271
10,60,55,42,169,53,37,37,17,45.95,21.89,69.81,37,37,148,132,16,141,36,329.55,19.49,292.94,4.295469700523553
12,60,55,45,201,52,46,46,28,60.87,22.89,88.46,46,46,161,155,6,173,16,324.52,16.87,292.13,4.245181065202239
8,50,52,45,218,96,59,59,30,50.85,27.06,61.46,59,59,196,159,37,191,79,327.53,19.6,291.15,4.275307930947194
12,50,58,42,132,58,37,37,18,48.65,28.03,63.79,37,37,117,95,22,117,45,324.52,17.59,290.81,4.245163789003364
12,30,55,45,211,82,52,52,24,46.15,24.64,63.41,52,52,189,159,30,184,65,323.23,16.96,289.75,4.232264867118627
15,50,58,42,94,78,38,38,19,50.0,40.43,48.72,38,38,97,56,41,69,85,324.76,20.61,288.53,4.247563101588803
5,50,58,42,127,92,42,42,21,50.0,33.07,45.65,42,42,136,85,51,97,112,319.78,16.47,287.26,4.197754236743308
12,60,52,42,168,69,38,38,21,55.26,22.62,55.07,38,38,161,130,31,145,63,325.97,20.84,287.1,4.259663906130806
15,60,55,45,191,52,43,43,24,55.81,22.51,82.69,43,43,157,148,9,161,21,316.82,16.91,284.03,4.168171682050597
15,30,58,42,104,99,44,44,21,47.73,42.31,44.44,44,44,116,60,56,67,115,322.06,22.22,283.97,4.220615469471033
8,30,55,45,203,96,64,64,28,43.75,31.53,66.67,64,64,172,139,33,150,72,324.47,26.86,280.3,4.24470158488588
5,40,58,45,159,103,59,59,29,49.15,37.11,57.28,59,59,145,100,45,104,95,321.58,24.92,280.1,4.215786267318288
12,60,58,42,101,58,38,38,20,52.63,37.62,65.52,38,38,84,63,21,77,44,308.14,18.94,274.33,4.08141544879103
15,50,55,42,169,41,37,37,18,48.65,21.89,90.24,37,37,136,132,4,149,11,309.47,19.51,273.85,4.094737362333824
8,30,52,45,224,107,70,70,30,42.86,31.25,65.42,70,70,192,154,38,172,82,316.4,26.72,272.29,4.163967014209901
8,60,58,42,143,55,35,35,18,51.43,24.48,63.64,35,35,128,108,20,115,45,303.71,15.42,272.06,4.037091345076966
