fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
5,60,58,45,221,182,20,20,11,55.0,9.05,10.99,20,20,363,201,162,247,326,253.97,23.46,207.73,3.5397250141880656
15,30,55,45,273,202,23,23,12,52.17,8.42,11.39,23,23,429,250,179,309,362,247.12,24.09,200.05,3.4712402102766537
8,40,52,45,349,201,22,22,12,54.55,6.3,10.95,22,22,506,327,179,407,363,239.09,24.09,191.68,3.390926221842122
12,30,52,45,336,210,24,24,11,45.83,7.14,11.43,24,24,498,312,186,405,378,231.3,24.09,184.04,3.31304833731264
5,30,55,42,318,178,20,20,12,60.0,6.29,11.24,20,20,456,298,158,361,321,236.91,29.0,183.62,3.3690646988695034
12,40,58,45,242,146,24,24,12,50.0,9.92,16.44,24,24,340,218,122,275,248,206.56,24.09,159.96,3.0655839261592237
15,30,58,45,238,168,25,25,11,44.0,10.5,14.88,25,25,356,213,143,270,290,204.38,24.09,157.8,3.0438482434557756
10,20,52,48,431,215,31,31,16,51.61,7.19,14.42,31,31,584,400,184,500,372,203.46,22.91,157.76,3.0345537504721247
15,40,58,45,238,146,24,24,11,45.83,10.08,16.44,24,24,336,214,122,257,249,201.99,24.09,155.42,3.0198687911788276
8,50,58,48,245,151,27,27,16,59.26,11.02,17.88,27,27,342,218,124,278,253,208.83,37.13,146.83,3.088311015200798
8,40,52,48,343,240,29,29,16,55.17,8.45,12.08,29,29,525,314,211,403,426,190.07,24.3,142.78,2.900701285675365
5,40,52,45,365,209,26,26,11,42.31,7.12,12.44,26,26,522,339,183,408,370,186.84,23.46,140.38,2.8684342121554383
12,50,58,45,228,136,23,23,11,47.83,10.09,16.91,23,23,318,205,113,256,230,183.81,23.69,137.74,2.83813895902621
15,50,58,45,203,163,23,23,11,47.83,11.33,14.11,23,23,320,180,140,216,283,186.29,31.03,131.46,2.8629240964764184
8,60,52,48,289,231,30,30,16,53.33,10.38,12.99,30,30,460,259,201,322,407,176.51,24.26,129.61,2.7651163201505646
8,60,58,48,230,182,25,25,15,60.0,10.87,13.74,25,25,362,205,157,239,315,184.05,30.64,129.6,2.8405039570917183
10,60,55,45,230,144,29,29,13,44.83,12.61,20.14,29,29,316,201,115,245,235,181.43,31.03,127.09,2.814255930448861
8,40,58,45,261,179,21,21,11,52.38,8.05,11.73,21,21,398,240,158,300,318,185.41,33.84,126.59,2.854061366735032
5,40,55,48,359,194,28,28,17,60.71,7.8,14.43,28,28,497,331,166,412,335,182.26,32.34,125.34,2.822649164486633
5,50,55,42,287,138,22,22,12,54.55,7.67,15.94,22,22,381,265,116,345,236,174.7,26.3,125.08,2.747002885538748
5,30,58,48,261,218,28,28,15,53.57,10.73,12.84,28,28,423,233,190,270,384,189.75,39.42,124.69,2.897489412165043
10,30,52,48,383,197,31,31,17,54.84,8.09,15.74,31,31,518,352,166,416,336,172.45,25.47,123.89,2.724498055942442
10,40,52,45,324,166,32,32,13,40.62,9.88,19.28,32,32,426,292,134,369,275,175.54,28.42,123.89,2.755407853111812
12,40,58,48,248,187,29,29,15,51.72,11.69,15.51,29,29,377,219,158,266,321,174.54,28.01,123.46,2.7453860732324125
15,30,52,48,359,210,31,31,16,51.61,8.64,14.76,31,31,507,328,179,383,362,174.24,28.23,122.4,2.742443974390273
8,50,55,45,259,161,31,31,13,41.94,11.97,19.25,31,31,358,228,130,270,267,173.51,28.42,122.17,2.735077613023495
8,60,58,45,213,176,24,24,13,54.17,11.27,13.64,24,24,341,189,152,239,308,175.91,31.03,121.04,2.7590647995473083
8,30,55,48,334,204,31,31,17,54.84,9.28,15.2,31,31,476,303,173,366,351,172.06,28.79,119.66,2.7206465319924
15,30,58,48,247,187,31,31,18,58.06,12.55,16.58,31,31,372,216,156,261,316,181.11,37.13,119.28,2.811141358020298
10,30,58,48,248,207,28,28,15,53.57,11.29,13.53,28,28,399,220,179,270,363,184.19,39.42,119.26,2.841934365636754
15,20,52,48,392,200,33,33,19,57.58,8.42,16.5,33,33,526,359,167,442,339,168.96,26.77,118.92,2.68963121103152
10,30,58,42,214,161,27,27,14,51.85,12.62,16.77,27,27,321,187,134,241,276,181.39,37.86,118.69,2.813935986398879
10,50,55,45,264,152,30,30,15,50.0,11.36,19.74,30,30,356,234,122,285,251,169.5,28.42,118.09,2.694992212234515
10,20,52,45,414,199,30,30,15,50.0,7.25,15.08,30,30,553,384,169,475,342,163.72,22.91,118.06,2.6371664395979084
15,30,58,42,213,153,25,25,12,48.0,11.74,16.34,25,25,316,188,128,236,261,177.12,35.5,117.09,2.771159244468181
12,30,58,45,269,194,23,23,12,52.17,8.55,11.86,23,23,417,246,171,296,347,176.63,35.6,115.78,2.766306388812024
5,30,55,48,393,176,27,27,16,59.26,6.87,15.34,27,27,515,366,149,441,302,169.95,30.5,115.14,2.699453122336725
15,30,52,45,363,196,28,28,13,46.43,7.71,14.29,28,28,503,335,168,428,341,174.12,34.15,115.01,2.7412054394150625
15,60,55,45,238,164,25,25,13,52.0,10.5,15.24,25,25,352,213,139,259,282,171.2,32.34,114.72,2.711952304264354
10,60,52,48,294,181,38,38,19,50.0,12.93,20.99,38,38,399,256,143,303,292,169.79,32.78,113.45,2.697926899094948
8,30,58,48,257,173,28,28,17,60.71,10.89,16.18,28,28,374,229,145,266,293,177.87,39.42,113.01,2.778701339397597
5,60,55,45,285,178,25,25,13,52.0,8.77,14.04,25,25,413,260,153,310,309,169.76,32.34,112.96,2.6975632696306153
5,50,58,45,271,139,23,23,11,47.83,8.49,16.55,23,23,364,248,116,311,235,164.43,28.44,112.41,2.644269259764949
