fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
5,60,52,42,672,5,1,1,0,0.0,0.15,20.0,1,1,676,671,5,911,10,-30.13,30.13,-85.25,0.6987409235382308
5,60,55,42,567,5,1,1,0,0.0,0.18,20.0,1,1,571,566,5,717,10,-30.13,30.13,-85.25,0.6987409235382308
8,50,52,42,670,5,1,1,0,0.0,0.15,20.0,1,1,674,669,5,904,10,-30.13,30.13,-85.25,0.6987409235382308
8,50,55,42,565,5,1,1,0,0.0,0.18,20.0,1,1,569,564,5,732,10,-30.13,30.13,-85.25,0.6987409235382308
10,60,52,42,627,5,1,1,0,0.0,0.16,20.0,1,1,631,626,5,851,10,-30.13,30.13,-85.25,0.6987409235382308
10,60,55,42,530,5,1,1,0,0.0,0.19,20.0,1,1,534,529,5,695,10,-30.13,30.13,-85.25,0.6987409235382308
12,60,52,42,606,5,1,1,0,0.0,0.17,20.0,1,1,610,605,5,800,10,-30.13,30.13,-85.25,0.6987409235382308
12,60,55,42,514,5,1,1,0,0.0,0.19,20.0,1,1,518,513,5,653,10,-30.13,30.13,-85.25,0.6987409235382308
15,50,52,42,612,5,1,1,0,0.0,0.16,20.0,1,1,616,611,5,827,10,-30.13,30.13,-85.25,0.6987409235382308
15,50,55,42,519,5,1,1,0,0.0,0.19,20.0,1,1,523,518,5,674,10,-30.13,30.13,-85.25,0.6987409235382308
10,40,52,42,673,6,1,1,0,0.0,0.15,16.67,1,1,678,672,6,872,12,-30.13,30.13,-85.42,0.6987409235382308
10,40,55,42,571,6,1,1,0,0.0,0.18,16.67,1,1,576,570,6,732,12,-30.13,30.13,-85.42,0.6987409235382308
10,60,55,45,530,8,1,1,0,0.0,0.19,12.5,1,1,537,529,8,681,16,-30.13,30.13,-85.62,0.6987409235382308
12,60,55,45,514,8,1,1,0,0.0,0.19,12.5,1,1,521,513,8,641,16,-30.13,30.13,-85.62,0.6987409235382308
15,50,55,45,519,8,1,1,0,0.0,0.19,12.5,1,1,526,518,8,655,16,-30.13,30.13,-85.62,0.6987409235382308
5,60,52,45,672,8,1,1,0,0.0,0.15,12.5,1,1,679,671,8,900,16,-30.13,30.13,-85.63,0.6987409235382308
5,60,55,45,567,8,1,1,0,0.0,0.18,12.5,1,1,574,566,8,716,16,-30.13,30.13,-85.63,0.6987409235382308
8,50,52,45,670,8,1,1,0,0.0,0.15,12.5,1,1,677,669,8,879,16,-30.13,30.13,-85.63,0.6987409235382308
8,50,55,45,565,8,1,1,0,0.0,0.18,12.5,1,1,572,564,8,710,16,-30.13,30.13,-85.63,0.6987409235382308
10,60,52,45,627,8,1,1,0,0.0,0.16,12.5,1,1,634,626,8,843,16,-30.13,30.13,-85.63,0.6987409235382308
12,60,52,45,606,8,1,1,0,0.0,0.17,12.5,1,1,613,605,8,812,16,-30.13,30.13,-85.63,0.6987409235382308
15,30,52,42,674,8,1,1,0,0.0,0.15,12.5,1,1,681,673,8,878,16,-30.13,30.13,-85.63,0.6987409235382308
15,30,55,42,569,8,1,1,0,0.0,0.18,12.5,1,1,576,568,8,721,16,-30.13,30.13,-85.63,0.6987409235382308
15,40,52,45,646,8,1,1,0,0.0,0.15,12.5,1,1,653,645,8,854,16,-30.13,30.13,-85.63,0.6987409235382308
15,50,52,45,612,8,1,1,0,0.0,0.16,12.5,1,1,619,611,8,812,16,-30.13,30.13,-85.63,0.6987409235382308
10,40,52,45,673,9,1,1,0,0.0,0.15,11.11,1,1,681,672,9,883,18,-30.13,30.13,-85.7,0.6987409235382308
10,40,55,45,571,9,1,1,0,0.0,0.18,11.11,1,1,579,570,9,735,18,-30.13,30.13,-85.7,0.6987409235382308
15,30,52,45,674,10,1,1,0,0.0,0.15,10.0,1,1,683,673,10,910,20,-30.13,30.13,-85.75,0.6987409235382308
15,30,55,45,569,10,1,1,0,0.0,0.18,10.0,1,1,578,568,10,730,20,-30.13,30.13,-85.75,0.6987409235382308
12,30,55,42,585,13,1,1,0,0.0,0.17,7.69,1,1,597,584,13,747,26,-30.13,30.13,-85.87,0.6987409235382308
5,60,55,48,567,14,1,1,0,0.0,0.18,7.14,1,1,580,566,14,714,28,-30.13,30.13,-85.89,0.6987409235382308
8,50,55,48,565,14,1,1,0,0.0,0.18,7.14,1,1,578,564,14,718,28,-30.13,30.13,-85.89,0.6987409235382308
10,40,55,48,571,14,1,1,0,0.0,0.18,7.14,1,1,584,570,14,724,28,-30.13,30.13,-85.89,0.6987409235382308
10,60,55,48,530,14,1,1,0,0.0,0.19,7.14,1,1,543,529,14,693,28,-30.13,30.13,-85.89,0.6987409235382308
12,60,55,48,514,14,1,1,0,0.0,0.19,7.14,1,1,527,513,14,649,28,-30.13,30.13,-85.89,0.6987409235382308
15,50,55,48,519,14,1,1,0,0.0,0.19,7.14,1,1,532,518,14,636,28,-30.13,30.13,-85.89,0.6987409235382308
5,60,52,48,672,14,1,1,0,0.0,0.15,7.14,1,1,685,671,14,879,28,-30.13,30.13,-85.9,0.6987409235382308
8,50,52,48,670,14,1,1,0,0.0,0.15,7.14,1,1,683,669,14,895,28,-30.13,30.13,-85.9,0.6987409235382308
10,40,52,48,673,14,1,1,0,0.0,0.15,7.14,1,1,686,672,14,866,28,-30.13,30.13,-85.9,0.6987409235382308
10,60,52,48,627,14,1,1,0,0.0,0.16,7.14,1,1,640,626,14,823,28,-30.13,30.13,-85.9,0.6987409235382308
12,60,52,48,606,14,1,1,0,0.0,0.17,7.14,1,1,619,605,14,776,28,-30.13,30.13,-85.9,0.6987409235382308
15,50,52,48,612,14,1,1,0,0.0,0.16,7.14,1,1,625,611,14,817,28,-30.13,30.13,-85.9,0.6987409235382308
5,30,52,42,776,15,1,1,0,0.0,0.13,6.67,1,1,790,775,15,1028,30,-30.13,30.13,-85.92,0.6987409235382308
5,30,55,42,642,15,1,1,0,0.0,0.16,6.67,1,1,656,641,15,790,30,-30.13,30.13,-85.92,0.6987409235382308
15,30,52,48,674,15,1,1,0,0.0,0.15,6.67,1,1,688,673,15,905,30,-30.13,30.13,-85.92,0.6987409235382308
15,30,55,48,569,15,1,1,0,0.0,0.18,6.67,1,1,583,568,15,716,30,-30.13,30.13,-85.92,0.6987409235382308
5,30,55,45,642,16,1,1,0,0.0,0.16,6.25,1,1,657,641,16,813,32,-30.13,30.13,-85.94,0.6987409235382308
5,30,52,45,776,16,1,1,0,0.0,0.13,6.25,1,1,791,775,16,1004,32,-30.13,30.13,-85.95,0.6987409235382308
12,20,55,42,615,18,1,1,0,0.0,0.16,5.56,1,1,632,614,18,760,36,-30.13,30.13,-85.97,0.6987409235382308
5,30,52,48,776,18,1,1,0,0.0,0.13,5.56,1,1,793,775,18,1010,36,-30.13,30.13,-85.98,0.6987409235382308
5,30,55,48,642,18,1,1,0,0.0,0.16,5.56,1,1,659,641,18,807,36,-30.13,30.13,-85.98,0.6987409235382308
10,20,52,42,757,18,1,1,0,0.0,0.13,5.56,1,1,774,756,18,974,36,-30.13,30.13,-85.98,0.6987409235382308
10,20,55,42,629,18,1,1,0,0.0,0.16,5.56,1,1,646,628,18,790,36,-30.13,30.13,-85.98,0.6987409235382308
12,20,52,42,741,18,1,1,0,0.0,0.13,5.56,1,1,758,740,18,970,36,-30.13,30.13,-85.98,0.6987409235382308
10,20,52,45,757,19,1,1,0,0.0,0.13,5.26,1,1,775,756,19,994,38,-30.13,30.13,-85.99,0.6987409235382308
10,20,52,48,757,19,1,1,0,0.0,0.13,5.26,1,1,775,756,19,970,38,-30.13,30.13,-85.99,0.6987409235382308
10,20,55,45,629,19,1,1,0,0.0,0.16,5.26,1,1,647,628,19,801,38,-30.13,30.13,-85.99,0.6987409235382308
10,20,55,48,629,19,1,1,0,0.0,0.16,5.26,1,1,647,628,19,780,38,-30.13,30.13,-85.99,0.6987409235382308
12,20,55,45,615,20,1,1,0,0.0,0.16,5.0,1,1,634,614,20,775,40,-30.13,30.13,-86.0,0.6987409235382308
12,20,55,48,615,20,1,1,0,0.0,0.16,5.0,1,1,634,614,20,749,40,-30.13,30.13,-86.0,0.6987409235382308
12,20,52,45,741,20,1,1,0,0.0,0.13,5.0,1,1,760,740,20,965,40,-30.13,30.13,-86.01,0.6987409235382308
12,20,52,48,741,20,1,1,0,0.0,0.13,5.0,1,1,760,740,20,978,40,-30.13,30.13,-86.01,0.6987409235382308
5,50,58,42,463,78,1,1,0,0.0,0.22,1.28,1,1,540,462,78,576,156,-30.13,46.4,-105.7,0.6987409235382308
8,40,58,42,462,78,1,1,0,0.0,0.22,1.28,1,1,539,461,78,567,156,-30.13,46.4,-105.7,0.6987409235382308
8,60,58,42,432,80,1,1,0,0.0,0.23,1.25,1,1,511,431,80,544,160,-30.13,46.4,-105.7,0.6987409235382308
10,40,58,42,450,78,1,1,0,0.0,0.22,1.28,1,1,527,449,78,551,156,-30.13,46.4,-105.7,0.6987409235382308
10,50,58,42,435,80,1,1,0,0.0,0.23,1.25,1,1,514,434,80,536,160,-30.13,46.4,-105.7,0.6987409235382308
10,60,58,42,422,80,1,1,0,0.0,0.24,1.25,1,1,501,421,80,549,160,-30.13,46.4,-105.7,0.6987409235382308
12,40,58,42,442,79,1,1,0,0.0,0.23,1.27,1,1,520,441,79,520,158,-30.13,46.4,-105.7,0.6987409235382308
12,50,58,42,428,80,1,1,0,0.0,0.23,1.25,1,1,507,427,80,517,160,-30.13,46.4,-105.7,0.6987409235382308
12,60,58,42,407,80,1,1,0,0.0,0.25,1.25,1,1,486,406,80,509,160,-30.13,46.4,-105.7,0.6987409235382308
12,60,58,45,407,83,1,1,0,0.0,0.25,1.2,1,1,489,406,83,505,166,-30.13,46.4,-105.7,0.6987409235382308
15,40,58,42,430,80,1,1,0,0.0,0.23,1.25,1,1,509,429,80,545,160,-30.13,46.4,-105.7,0.6987409235382308
15,50,58,42,408,80,1,1,0,0.0,0.25,1.25,1,1,487,407,80,501,160,-30.13,46.4,-105.7,0.6987409235382308
15,50,58,45,408,83,1,1,0,0.0,0.25,1.2,1,1,490,407,83,508,166,-30.13,46.4,-105.7,0.6987409235382308
15,60,58,42,401,78,1,1,0,0.0,0.25,1.28,1,1,478,400,78,480,156,-30.13,46.4,-105.7,0.6987409235382308
15,60,58,45,401,81,1,1,0,0.0,0.25,1.23,1,1,481,400,81,502,162,-30.13,46.4,-105.7,0.6987409235382308
5,20,58,42,497,83,1,1,0,0.0,0.2,1.2,1,1,579,496,83,597,166,-30.13,46.4,-105.71,0.6987409235382308
5,20,58,45,497,85,1,1,0,0.0,0.2,1.18,1,1,581,496,85,609,170,-30.13,46.4,-105.71,0.6987409235382308
5,20,58,48,497,88,1,1,0,0.0,0.2,1.14,1,1,584,496,88,607,176,-30.13,46.4,-105.71,0.6987409235382308
5,30,58,42,488,83,1,1,0,0.0,0.2,1.2,1,1,570,487,83,588,166,-30.13,46.4,-105.71,0.6987409235382308
5,30,58,45,488,84,1,1,0,0.0,0.2,1.19,1,1,571,487,84,596,168,-30.13,46.4,-105.71,0.6987409235382308
5,30,58,48,488,86,1,1,0,0.0,0.2,1.16,1,1,573,487,86,584,172,-30.13,46.4,-105.71,0.6987409235382308
5,40,58,42,477,81,1,1,0,0.0,0.21,1.23,1,1,557,476,81,586,162,-30.13,46.4,-105.71,0.6987409235382308
5,40,58,45,477,84,1,1,0,0.0,0.21,1.19,1,1,560,476,84,580,168,-30.13,46.4,-105.71,0.6987409235382308
5,40,58,48,477,87,1,1,0,0.0,0.21,1.15,1,1,563,476,87,589,174,-30.13,46.4,-105.71,0.6987409235382308
5,50,55,42,592,78,1,1,0,0.0,0.17,1.28,1,1,669,591,78,760,156,-30.13,46.4,-105.71,0.6987409235382308
5,50,55,45,592,81,1,1,0,0.0,0.17,1.23,1,1,672,591,81,752,162,-30.13,46.4,-105.71,0.6987409235382308
5,50,58,45,463,81,1,1,0,0.0,0.22,1.23,1,1,543,462,81,565,162,-30.13,46.4,-105.71,0.6987409235382308
5,50,58,48,463,86,1,1,0,0.0,0.22,1.16,1,1,548,462,86,566,172,-30.13,46.4,-105.71,0.6987409235382308
5,60,58,42,448,80,1,1,0,0.0,0.22,1.25,1,1,527,447,80,541,160,-30.13,46.4,-105.71,0.6987409235382308
5,60,58,45,448,83,1,1,0,0.0,0.22,1.2,1,1,530,447,83,563,166,-30.13,46.4,-105.71,0.6987409235382308
5,60,58,48,448,89,1,1,0,0.0,0.22,1.12,1,1,536,447,89,545,178,-30.13,46.4,-105.71,0.6987409235382308
8,20,58,42,493,85,1,1,0,0.0,0.2,1.18,1,1,577,492,85,598,170,-30.13,46.4,-105.71,0.6987409235382308
8,20,58,45,493,86,1,1,0,0.0,0.2,1.16,1,1,578,492,86,605,172,-30.13,46.4,-105.71,0.6987409235382308
8,20,58,48,493,87,1,1,0,0.0,0.2,1.15,1,1,579,492,87,590,174,-30.13,46.4,-105.71,0.6987409235382308
8,30,58,42,477,83,1,1,0,0.0,0.21,1.2,1,1,559,476,83,590,166,-30.13,46.4,-105.71,0.6987409235382308
8,30,58,45,477,85,1,1,0,0.0,0.21,1.18,1,1,561,476,85,566,170,-30.13,46.4,-105.71,0.6987409235382308
8,30,58,48,477,87,1,1,0,0.0,0.21,1.15,1,1,563,476,87,571,174,-30.13,46.4,-105.71,0.6987409235382308
8,40,55,42,590,78,1,1,0,0.0,0.17,1.28,1,1,667,589,78,776,156,-30.13,46.4,-105.71,0.6987409235382308
8,40,55,45,590,81,1,1,0,0.0,0.17,1.23,1,1,670,589,81,748,162,-30.13,46.4,-105.71,0.6987409235382308
8,40,58,45,462,81,1,1,0,0.0,0.22,1.23,1,1,542,461,81,569,162,-30.13,46.4,-105.71,0.6987409235382308
8,40,58,48,462,86,1,1,0,0.0,0.22,1.16,1,1,547,461,86,575,172,-30.13,46.4,-105.71,0.6987409235382308
8,50,58,42,445,80,1,1,0,0.0,0.22,1.25,1,1,524,444,80,532,160,-30.13,46.4,-105.71,0.6987409235382308
8,50,58,45,445,83,1,1,0,0.0,0.22,1.2,1,1,527,444,83,553,166,-30.13,46.4,-105.71,0.6987409235382308
8,50,58,48,445,88,1,1,0,0.0,0.22,1.14,1,1,532,444,88,544,176,-30.13,46.4,-105.71,0.6987409235382308
8,60,55,42,540,80,1,1,0,0.0,0.19,1.25,1,1,619,539,80,671,160,-30.13,46.4,-105.71,0.6987409235382308
8,60,55,45,540,83,1,1,0,0.0,0.19,1.2,1,1,622,539,83,707,166,-30.13,46.4,-105.71,0.6987409235382308
8,60,58,45,432,83,1,1,0,0.0,0.23,1.2,1,1,514,431,83,547,166,-30.13,46.4,-105.71,0.6987409235382308
8,60,58,48,432,89,1,1,0,0.0,0.23,1.12,1,1,520,431,89,536,178,-30.13,46.4,-105.71,0.6987409235382308
10,20,58,42,485,86,1,1,0,0.0,0.21,1.16,1,1,570,484,86,597,172,-30.13,46.4,-105.71,0.6987409235382308
10,20,58,45,485,87,1,1,0,0.0,0.21,1.15,1,1,571,484,87,585,174,-30.13,46.4,-105.71,0.6987409235382308
10,20,58,48,485,88,1,1,0,0.0,0.21,1.14,1,1,572,484,88,594,176,-30.13,46.4,-105.71,0.6987409235382308
10,30,58,42,467,84,1,1,0,0.0,0.21,1.19,1,1,550,466,84,570,168,-30.13,46.4,-105.71,0.6987409235382308
10,30,58,45,467,86,1,1,0,0.0,0.21,1.16,1,1,552,466,86,559,172,-30.13,46.4,-105.71,0.6987409235382308
10,30,58,48,467,89,1,1,0,0.0,0.21,1.12,1,1,555,466,89,565,178,-30.13,46.4,-105.71,0.6987409235382308
10,40,58,45,450,81,1,1,0,0.0,0.22,1.23,1,1,530,449,81,554,162,-30.13,46.4,-105.71,0.6987409235382308
10,40,58,48,450,86,1,1,0,0.0,0.22,1.16,1,1,535,449,86,562,172,-30.13,46.4,-105.71,0.6987409235382308
10,50,55,42,549,80,1,1,0,0.0,0.18,1.25,1,1,628,548,80,685,160,-30.13,46.4,-105.71,0.6987409235382308
