fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
15,60,58,48,27,27,14,14,8,57.14,51.85,51.85,28,0,26,13,13,51.3,17.58,20.58,1.5130460251165667
12,60,58,48,25,29,13,13,7,53.85,52.0,44.83,26,0,28,12,16,41.57,16.16,12.22,1.4156884039785047
12,60,55,48,32,34,18,18,9,50.0,56.25,52.94,35,1,31,14,17,37.69,16.23,9.3,1.3768699891299465
5,30,52,48,51,55,27,27,15,55.56,52.94,49.09,53,1,53,24,29,37.76,15.92,9.05,1.3776047401258475
15,20,58,48,38,40,18,18,8,44.44,47.37,45.0,36,0,42,20,22,37.89,16.77,7.11,1.378873003142139
10,60,52,48,34,40,19,19,8,42.11,55.88,47.5,37,1,37,15,22,36.09,16.95,6.52,1.3609487428161995
15,60,58,45,24,25,13,13,7,53.85,54.17,52.0,25,1,24,11,13,38.35,20.22,4.81,1.3834650800717097
15,60,55,48,30,33,15,15,7,46.67,50.0,45.45,30,0,33,15,18,40.34,21.75,4.02,1.4034369958954873
12,20,58,48,39,42,20,20,10,50.0,51.28,47.62,40,0,41,19,22,34.7,17.97,3.21,1.346985389836421
15,50,58,48,27,38,15,15,8,53.33,55.56,39.47,29,1,36,12,24,32.23,16.11,3.21,1.3223470624856826
15,60,52,48,30,42,18,18,8,44.44,60.0,42.86,35,1,37,12,25,38.41,21.95,3.2,1.3840515150455537
8,60,58,48,22,35,14,14,7,50.0,63.64,40.0,28,0,29,8,21,33.82,19.08,2.47,1.338202558242766
12,20,52,48,41,58,27,27,13,48.15,65.85,46.55,54,0,45,14,31,30.2,16.66,2.42,1.3020293486311787
8,20,52,48,49,57,27,27,12,44.44,55.1,47.37,54,0,52,22,30,32.63,17.64,2.09,1.3263041630315535
10,60,58,48,27,34,14,14,7,50.0,51.85,41.18,28,0,33,13,20,33.66,17.85,2.07,1.3365991530679096
10,40,58,48,32,37,18,18,8,44.44,56.25,48.65,36,0,33,14,19,30.96,17.29,1.09,1.309626438985168
12,60,52,48,42,44,21,21,9,42.86,50.0,47.73,41,1,45,21,24,31.6,17.15,0.91,1.3160236979438278
5,20,52,48,53,66,34,34,19,55.88,64.15,51.52,67,1,52,19,33,28.66,16.79,0.71,1.2866231173445515
10,50,55,48,29,36,18,18,7,38.89,62.07,50.0,36,0,29,11,18,31.76,19.38,0.31,1.3175508907193094
8,60,55,48,27,37,17,17,8,47.06,62.96,45.95,33,1,31,10,21,29.23,17.86,-0.46,1.292280654173628
15,50,52,48,34,43,20,20,9,45.0,58.82,46.51,39,1,38,14,24,29.56,18.1,-1.0,1.2956484168246702
15,30,55,48,38,43,22,22,9,40.91,57.89,51.16,44,0,37,16,21,30.12,18.94,-1.37,1.3012281570464326
12,40,55,48,33,45,19,19,9,47.37,57.58,42.22,37,1,41,14,27,28.51,17.23,-1.42,1.2850896038099306
12,50,58,48,25,33,15,15,7,46.67,60.0,45.45,30,0,28,10,18,32.66,21.15,-1.46,1.326561125012024
15,60,58,42,22,25,12,12,6,50.0,54.55,48.0,23,1,24,10,14,30.45,19.0,-1.77,1.3044734896399321
10,60,55,48,31,31,16,16,7,43.75,51.61,51.61,32,0,30,15,15,31.79,19.96,-1.84,1.3179021864906713
15,60,55,45,29,25,15,15,7,46.67,51.72,60.0,29,1,25,14,11,32.51,21.17,-2.13,1.3251385199555326
5,60,58,48,30,36,15,15,7,46.67,50.0,41.67,30,0,36,15,21,31.64,19.88,-2.63,1.3164373130329208
15,50,58,45,23,23,14,14,7,50.0,60.87,60.87,27,1,19,9,10,27.91,19.04,-2.77,1.27910073960317
12,50,55,48,33,33,16,16,7,43.75,48.48,48.48,32,0,34,17,17,31.19,19.97,-3.07,1.311944782267278
8,40,58,48,35,44,20,20,9,45.0,57.14,45.45,40,0,39,15,24,28.23,18.73,-3.41,1.2822577333017442
5,50,58,48,36,41,19,19,8,42.11,52.78,46.34,38,0,39,17,22,28.46,18.75,-3.8,1.2846423201037267
15,40,58,48,32,39,16,16,7,43.75,50.0,41.03,32,0,39,16,23,30.4,20.15,-4.24,1.303969281795942
12,40,58,48,25,39,16,16,8,50.0,64.0,41.03,32,0,32,9,23,30.78,22.41,-4.46,1.3078378490213265
5,40,58,48,41,47,19,19,8,42.11,46.34,40.43,38,0,50,22,28,29.47,19.21,-4.6,1.2947298083194725
10,60,58,45,27,26,14,14,7,50.0,51.85,53.85,27,1,26,13,13,27.57,18.93,-4.68,1.2756982703226551
10,20,52,48,48,57,27,27,12,44.44,56.25,47.37,54,0,51,21,30,27.2,18.99,-4.78,1.2719727444044036
12,50,58,45,23,23,14,14,7,50.0,60.87,60.87,27,1,19,9,10,27.67,20.65,-4.94,1.276671900300958
15,60,52,42,23,31,15,15,6,40.0,65.22,48.39,29,1,25,8,17,26.18,20.34,-6.02,1.2618351976571318
5,20,52,42,62,48,28,28,13,46.43,45.16,58.33,55,1,55,34,21,24.12,16.8,-6.36,1.24115526742615
12,40,58,45,23,27,15,15,7,46.67,65.22,55.56,30,0,20,8,12,26.52,21.3,-6.48,1.265238430596058
5,20,55,45,52,41,23,23,12,52.17,44.23,56.1,46,0,47,29,18,28.09,20.08,-6.57,1.280892607081939
15,50,55,48,36,37,16,16,7,43.75,44.44,43.24,32,0,41,20,21,30.34,21.59,-6.74,1.3033609382535205
12,20,55,48,39,51,22,22,9,40.91,56.41,43.14,44,0,46,17,29,27.95,21.12,-6.77,1.2795345060114238
5,60,58,45,30,27,16,16,7,43.75,53.33,59.26,31,1,26,14,12,26.96,20.62,-6.82,1.2695605250570385
8,50,55,48,34,48,21,21,8,38.1,61.76,43.75,41,1,41,13,28,24.94,19.89,-7.48,1.249356624518289
5,60,55,48,41,46,19,19,7,36.84,46.34,41.3,38,0,49,22,27,25.18,18.08,-7.49,1.251846526466195
12,40,52,48,36,51,25,25,8,32.0,69.44,49.02,49,1,38,11,27,24.25,20.5,-7.49,1.2424754512464253
8,60,58,45,23,24,14,14,7,50.0,60.87,58.33,28,0,19,9,10,24.83,20.99,-8.31,1.248274155668203
12,50,52,48,37,46,22,22,9,40.91,59.46,47.83,43,1,40,15,25,26.52,22.65,-9.35,1.2651997764444634
15,60,52,45,29,36,17,17,7,41.18,58.62,47.22,33,1,32,12,20,24.45,20.96,-9.55,1.2445110690839367
12,30,55,48,38,46,24,24,9,37.5,63.16,52.17,47,1,37,14,23,24.9,22.22,-9.68,1.2490342179636866
10,30,58,48,39,40,18,18,8,44.44,46.15,45.0,36,0,43,21,22,28.46,22.96,-9.92,1.2846345518141753
10,20,58,48,42,43,20,20,9,45.0,47.62,46.51,40,0,45,22,23,27.59,22.68,-10.16,1.275924632400425
12,30,58,45,33,33,17,17,8,47.06,51.52,51.52,33,1,33,16,17,25.82,22.04,-10.33,1.2581508866193039
8,60,55,45,25,28,16,16,7,43.75,64.0,57.14,32,0,21,9,12,23.09,21.88,-10.7,1.2309388347195498
10,50,52,48,40,52,22,22,9,40.91,55.0,42.31,43,1,49,18,31,23.97,20.93,-10.78,1.2397169466610558
15,60,55,42,25,27,14,14,6,42.86,56.0,51.85,27,1,25,11,14,23.59,21.49,-11.21,1.2358524644854532
12,60,52,45,31,33,19,19,8,42.11,61.29,57.58,37,1,27,12,15,21.65,21.07,-11.55,1.2165495825044468
10,30,55,48,44,48,24,24,9,37.5,54.55,50.0,48,0,44,20,24,25.0,22.71,-11.57,1.2499549484988461
5,60,52,48,41,47,24,24,9,37.5,58.54,51.06,47,1,41,17,24,22.99,21.64,-11.64,1.2299025675636432
15,30,58,48,38,42,17,17,8,47.06,44.74,40.48,34,0,46,21,25,25.29,21.4,-11.66,1.252882794981358
15,50,58,42,34,23,12,12,6,50.0,35.29,52.17,23,1,34,22,12,24.83,20.55,-11.92,1.2483407798155983
8,60,52,48,35,52,22,22,9,40.91,62.86,42.31,43,1,44,13,31,20.32,19.85,-11.96,1.203195576751705
10,60,55,45,26,29,17,17,8,47.06,65.38,58.62,33,1,22,9,13,22.18,22.58,-12.17,1.221816716811236
5,30,52,45,52,43,26,26,12,46.15,50.0,60.47,51,1,44,26,18,23.66,22.01,-12.23,1.2366042668966006
5,20,52,45,54,50,29,29,15,51.72,53.7,58.0,57,1,47,25,22,21.46,20.61,-12.32,1.214573350196633
5,50,58,45,38,29,17,17,7,41.18,44.74,58.62,34,0,33,21,12,24.39,22.17,-12.56,1.2439445833755827
8,30,52,48,52,60,28,28,12,42.86,53.85,46.67,55,1,57,24,33,21.95,20.85,-12.66,1.2195038230577833
10,60,52,45,31,29,19,19,8,42.11,61.29,65.52,37,1,23,12,11,21.64,22.32,-12.68,1.2164236313367591
