fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
10,50,55,48,40,48,23,23,15,65.22,57.5,47.92,45,1,43,17,26,17.82,10.54,-3.82,1.178170424730936
15,40,52,48,37,51,25,25,14,56.0,67.57,49.02,49,1,39,12,27,16.23,11.66,-5.17,1.1623365442416334
8,20,55,48,51,56,27,27,16,59.26,52.94,48.21,54,0,53,24,29,19.19,12.47,-5.41,1.1919472747852373
12,40,55,48,42,44,23,23,13,56.52,54.76,52.27,45,1,41,19,22,17.05,11.3,-5.69,1.170503490202969
10,50,52,48,38,50,23,23,13,56.52,60.53,46.0,45,1,43,15,28,14.64,10.27,-6.3,1.146438885587934
8,20,52,48,59,68,35,35,19,54.29,59.32,51.47,69,1,58,24,34,17.09,13.12,-7.17,1.1709492915749182
15,60,52,42,24,24,14,14,8,57.14,58.33,58.33,27,1,21,10,11,13.92,11.4,-8.1,1.1392071287347505
15,40,55,48,32,56,24,24,14,58.33,75.0,42.86,47,1,41,8,33,11.58,11.04,-8.27,1.1158127027514786
15,50,58,48,32,35,17,17,11,64.71,53.12,48.57,34,0,33,15,18,14.18,10.96,-8.57,1.1417924198673965
5,60,55,48,47,47,25,25,14,56.0,53.19,53.19,49,1,45,22,23,14.64,11.92,-9.02,1.1464174047658986
12,40,58,48,30,41,17,17,10,58.82,56.67,41.46,34,0,37,13,24,15.42,13.32,-9.99,1.1542079523247324
10,60,55,48,34,55,22,22,13,59.09,64.71,40.0,44,0,45,12,33,12.31,11.73,-10.07,1.1230856187672213
10,60,52,48,38,51,23,23,13,56.52,60.53,45.1,45,1,44,15,29,12.99,12.27,-10.4,1.1299039675098494
5,20,55,48,56,58,29,29,15,51.72,51.79,50.0,58,0,56,27,29,15.37,14.31,-11.53,1.1536901210703834
15,50,52,48,38,53,24,24,13,54.17,63.16,45.28,47,1,44,14,30,13.65,14.1,-11.53,1.1364908429080518
5,20,58,48,50,46,24,24,14,58.33,48.0,52.17,48,0,48,26,22,13.42,12.47,-11.74,1.1341598832161237
15,60,52,45,31,31,19,19,11,57.89,61.29,61.29,37,1,25,12,13,11.79,13.65,-12.33,1.1178701758731482
