fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
10,50,58,48,33,25,17,17,12,70.59,51.52,68.0,34,0,24,16,8,48.38,8.48,29.33,1.483782447351665
15,40,58,48,26,31,18,18,10,55.56,69.23,58.06,36,0,21,8,13,46.57,11.14,26.5,1.4657453796744608
10,60,58,48,27,27,16,16,10,62.5,59.26,59.26,32,0,22,11,11,44.4,8.27,26.33,1.4439743494642736
8,60,58,48,30,27,16,16,10,62.5,53.33,59.26,32,0,25,14,11,45.64,9.67,25.0,1.4564195156793074
15,30,58,48,30,37,21,21,10,47.62,70.0,56.76,42,0,25,9,16,42.35,9.07,24.8,1.4235022239874842
15,40,52,48,28,41,23,23,14,60.87,82.14,56.1,46,0,23,5,18,45.96,13.83,24.49,1.459641933773593
15,60,58,48,24,27,16,16,10,62.5,66.67,59.26,32,0,19,8,11,40.01,9.24,21.89,1.4001053363326563
15,60,55,48,24,34,18,18,12,66.67,75.0,52.94,36,0,22,6,16,40.54,13.2,18.6,1.4054318512320254
10,40,58,48,30,33,21,21,10,47.62,70.0,63.64,42,0,21,9,12,36.87,10.0,18.55,1.3687459758965617
15,50,58,48,25,28,15,15,9,60.0,60.0,53.57,30,0,23,10,13,39.76,10.87,18.4,1.3975983898393078
12,60,52,48,28,35,19,19,12,63.16,67.86,54.29,38,0,25,9,16,39.95,12.65,17.66,1.3994535713888383
10,30,58,48,33,32,21,21,10,47.62,63.64,65.62,42,0,23,12,11,37.21,10.38,17.58,1.3721293437437418
10,60,52,48,34,36,21,21,13,61.9,61.76,58.33,42,0,28,13,15,41.32,13.29,17.55,1.413193995277755
10,40,55,48,38,39,22,22,12,54.55,57.89,56.41,44,0,33,16,17,39.25,11.23,17.28,1.3925302202964815
15,40,55,48,30,32,21,21,12,57.14,70.0,65.62,42,0,20,9,11,38.97,14.09,15.84,1.3896697628117571
5,30,55,48,43,43,25,25,15,60.0,58.14,58.14,50,0,36,18,18,36.83,11.04,15.21,1.3682844281543163
15,60,52,48,26,36,18,18,12,66.67,69.23,50.0,36,0,26,8,18,39.6,14.9,14.61,1.3959984987881453
15,50,55,48,28,29,17,17,10,58.82,60.71,58.62,34,0,23,11,12,38.28,13.19,14.49,1.3828281045572413
12,50,58,48,25,34,18,18,8,44.44,72.0,52.94,36,0,23,7,16,34.76,11.47,14.43,1.3475592589667436
12,60,58,48,25,27,16,16,10,62.5,64.0,59.26,32,0,20,9,11,35.98,12.39,13.68,1.3597713940265514
15,50,52,48,34,34,21,21,13,61.9,61.76,61.76,42,0,26,13,13,36.01,12.93,12.85,1.3601366065580829
8,20,55,48,45,45,24,24,13,54.17,53.33,53.33,48,0,42,21,21,34.01,12.44,9.75,1.3400784912630854
8,20,52,48,48,61,32,32,18,56.25,66.67,52.46,64,0,45,16,29,36.82,16.51,9.63,1.3681530692360577
12,60,55,48,25,37,18,18,10,55.56,72.0,48.65,36,0,26,7,19,30.32,12.23,8.87,1.3031540106306367
12,40,52,48,38,42,24,24,14,58.33,63.16,57.14,48,0,32,14,18,33.96,14.87,8.44,1.339566118411058
12,40,58,48,30,34,19,19,10,52.63,63.33,55.88,38,0,26,11,15,35.88,16.64,8.21,1.358778186426473
12,40,55,48,31,34,22,22,10,45.45,70.97,64.71,44,0,21,9,12,29.65,12.85,8.11,1.2965340551998246
15,60,58,45,20,21,15,15,9,60.0,75.0,71.43,30,0,11,5,6,28.01,12.39,7.97,1.2801471507448803
12,20,55,48,42,42,24,24,15,62.5,57.14,57.14,48,0,36,18,18,30.27,11.52,7.87,1.3027200265607288
15,30,55,48,35,40,23,23,12,52.17,65.71,57.5,46,0,29,12,17,29.97,12.78,7.36,1.2997196825984094
15,40,58,45,21,29,17,17,8,47.06,80.95,58.62,34,0,16,4,12,26.54,12.01,7.2,1.2653868794085645
8,50,52,48,39,44,25,25,12,48.0,64.1,56.82,50,0,33,14,19,31.89,14.3,7.19,1.3189101579350158
8,20,58,48,43,38,22,22,12,54.55,51.16,57.89,44,0,37,21,16,29.11,10.7,6.84,1.2910783341019303
8,50,58,48,34,32,19,19,8,42.11,55.88,59.38,38,0,28,15,13,28.79,11.14,6.78,1.2879430994405434
15,20,55,48,41,41,24,24,14,58.33,58.54,58.54,48,0,34,17,17,29.65,12.74,6.07,1.2964780759772336
12,30,55,48,37,44,24,24,12,50.0,64.86,54.55,48,0,33,13,20,29.62,13.84,5.48,1.2962328025667929
5,60,58,48,33,32,20,20,10,50.0,60.61,62.5,40,0,25,13,12,29.31,13.44,5.39,1.2930542462596166
15,30,52,48,43,42,26,26,13,50.0,60.47,61.9,52,0,33,17,16,28.63,13.68,4.37,1.2862588025822312
5,50,55,48,38,44,25,25,13,52.0,65.79,56.82,50,0,32,13,19,26.51,12.79,3.87,1.2650652750457996
12,60,58,45,24,22,14,14,8,57.14,58.33,63.64,28,0,18,10,8,25.57,11.47,3.74,1.2557460820035324
