fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
15,60,58,48,29,26,16,16,8,50.0,55.17,61.54,32,0,23,13,10,25.16,12.61,1.38,1.2516026681084103
10,50,58,48,28,31,20,20,11,55.0,71.43,64.52,40,0,19,8,11,21.43,12.98,-0.21,1.2142545657625048
5,40,58,48,34,37,23,23,12,52.17,67.65,62.16,46,0,25,11,14,22.2,13.2,-0.39,1.2219563246260334
5,20,58,48,39,45,23,23,15,65.22,58.97,51.11,46,0,38,16,22,25.29,16.29,-2.85,1.2529495733107585
5,30,58,48,37,42,25,25,11,44.0,67.57,59.52,50,0,29,12,17,21.43,14.75,-3.16,1.214268562381832
12,60,58,48,27,28,18,18,10,55.56,66.67,64.29,36,0,19,9,10,14.56,13.77,-8.74,1.1456055643052927
12,60,58,45,19,26,15,15,7,46.67,78.95,57.69,30,0,15,4,11,12.07,15.15,-11.39,1.1207201826976638
15,60,58,45,19,29,15,15,6,40.0,78.95,51.72,30,0,18,4,14,9.25,13.5,-12.52,1.0924920591715352
5,20,58,45,39,43,25,25,10,40.0,64.1,58.14,50,0,32,14,18,12.25,14.85,-13.05,1.1224821020321347
10,20,58,48,43,37,24,24,11,45.83,55.81,64.86,48,0,32,19,13,17.02,18.12,-13.11,1.1702046110624726
10,60,58,48,30,33,20,20,11,55.0,66.67,60.61,40,0,23,10,13,12.02,15.85,-13.97,1.1202184778017186
10,40,58,45,19,30,18,18,8,44.44,94.74,60.0,36,0,13,1,12,10.66,18.21,-13.98,1.1066272886716537
5,50,58,48,33,43,21,21,11,52.38,63.64,48.84,42,0,34,12,22,15.27,17.75,-14.04,1.1526860482513244
15,40,58,48,33,36,20,20,11,55.0,60.61,55.56,40,0,29,13,16,13.0,16.63,-15.09,1.1300410084567765
15,50,58,48,33,27,19,19,8,42.11,57.58,70.37,38,0,22,14,8,10.1,15.49,-16.34,1.10097490474763
15,40,55,48,34,40,21,21,11,52.38,61.76,52.5,42,0,32,13,19,13.93,18.52,-16.4,1.139333216871662
5,30,58,45,30,45,23,23,8,34.78,76.67,51.11,46,0,29,7,22,11.0,18.05,-16.61,1.109960100963223
15,60,55,48,33,41,20,20,11,55.0,60.61,48.78,40,0,34,13,21,13.48,18.02,-16.61,1.1348371522271805
12,40,55,48,36,43,24,24,12,50.0,66.67,55.81,48,0,31,12,19,14.17,20.02,-17.06,1.1416739517959595
8,30,55,48,48,53,28,28,13,46.43,58.33,52.83,56,0,45,20,25,14.15,19.04,-17.31,1.1415187055356837
8,60,58,48,32,33,19,19,10,52.63,59.38,57.58,38,0,27,13,14,9.88,15.97,-17.49,1.0988208055472983
10,60,55,48,37,37,23,23,11,47.83,62.16,62.16,46,0,28,14,14,11.91,19.1,-18.57,1.1190845499367685
12,50,58,48,32,28,18,18,9,50.0,56.25,64.29,36,0,24,14,10,7.57,15.85,-19.8,1.0756686142137077
8,20,58,48,42,44,25,25,12,48.0,59.52,56.82,50,0,36,17,19,12.79,20.56,-20.11,1.1279126472341905
15,30,58,48,29,42,21,21,11,52.38,72.41,50.0,42,0,29,8,21,8.91,19.28,-20.86,1.089129791624206
15,60,55,45,23,28,17,17,9,52.94,73.91,60.71,34,0,17,6,11,6.34,17.92,-21.04,1.063366731799492
15,50,55,48,37,41,22,22,10,45.45,59.46,53.66,44,0,34,15,19,10.09,19.23,-21.39,1.1008985864587977
12,60,55,48,37,38,21,21,11,52.38,56.76,55.26,42,0,33,16,17,8.64,17.84,-21.49,1.0863785583984464
10,20,58,45,35,40,22,22,8,36.36,62.86,55.0,44,0,31,13,18,7.93,18.54,-22.14,1.0793322670664587
15,60,52,48,36,46,26,26,11,42.31,72.22,56.52,52,0,30,10,20,7.98,20.03,-22.4,1.0797908715876545
5,40,52,48,42,58,29,29,12,41.38,69.05,50.0,58,0,42,13,29,10.79,21.79,-22.5,1.1078657913562264
12,30,58,45,20,34,15,15,5,33.33,75.0,44.12,30,0,24,5,19,7.83,19.94,-22.64,1.078334921353446
12,30,58,48,29,39,22,22,10,45.45,75.86,56.41,44,0,24,7,17,7.95,20.69,-22.67,1.0795162740421023
12,50,55,48,34,41,23,23,11,47.83,67.65,56.1,46,0,29,11,18,8.01,19.71,-22.68,1.0801239908812044
5,50,58,45,22,33,19,19,8,42.11,86.36,57.58,38,0,17,3,14,8.94,22.94,-22.76,1.0893558005799298
10,40,55,48,37,44,26,26,11,42.31,70.27,59.09,52,0,29,11,18,8.16,21.21,-23.8,1.081568821759339
12,60,55,45,21,32,16,16,7,43.75,76.19,50.0,32,0,21,5,16,4.32,18.5,-23.95,1.0432322651898507
5,60,55,48,43,42,26,26,10,38.46,60.47,61.9,52,0,33,17,16,8.9,20.87,-23.98,1.0890390472740858
10,60,58,45,20,29,16,16,7,43.75,80.0,55.17,32,0,17,4,13,3.65,18.66,-23.99,1.0364503236526603
5,20,55,48,52,55,33,33,16,48.48,63.46,60.0,66,0,41,19,22,8.28,21.52,-25.03,1.0828469080114467
15,50,52,48,40,48,28,28,15,53.57,70.0,58.33,56,0,32,12,20,8.95,23.28,-25.57,1.0895008671383157
12,20,58,45,33,43,20,20,9,45.0,60.61,46.51,40,0,36,13,23,6.16,19.35,-25.65,1.061622660625281
8,50,58,48,32,35,22,22,9,40.91,68.75,62.86,44,0,23,10,13,4.99,20.7,-26.4,1.0498937770533427
15,50,58,45,19,30,16,16,7,43.75,84.21,53.33,32,0,17,3,14,1.01,18.94,-26.42,1.010119182594035
8,30,58,48,45,44,25,25,9,36.0,55.56,56.82,50,0,39,20,19,3.38,18.05,-27.1,1.0338226186615167
8,40,58,45,22,32,17,17,7,41.18,77.27,53.12,34,0,20,5,15,5.48,22.46,-27.23,1.054791469833161
10,40,58,48,34,37,22,22,10,45.45,64.71,59.46,44,0,27,12,15,5.46,21.43,-27.58,1.0546191471953057
8,60,58,45,22,31,17,17,8,47.06,77.27,54.84,34,0,19,5,14,1.63,19.73,-27.71,1.0162975430584757
15,20,58,45,29,37,21,21,7,33.33,72.41,56.76,42,0,24,8,16,4.29,21.68,-28.02,1.042877144685003
12,30,55,48,42,45,27,27,11,40.74,64.29,60.0,54,0,33,15,18,7.18,23.31,-28.15,1.0717959224578526
10,60,55,45,23,30,17,17,8,47.06,73.91,56.67,34,0,19,6,13,4.56,22.34,-28.33,1.045563022168197
5,20,52,48,60,64,38,38,18,47.37,63.33,59.38,76,0,48,22,26,5.35,21.84,-28.39,1.053475523622809
8,40,58,48,27,40,21,21,11,52.38,77.78,52.5,42,0,25,6,19,5.25,23.73,-28.93,1.0525260962263534
12,40,58,48,31,40,22,22,12,54.55,70.97,55.0,44,0,27,9,18,2.61,21.12,-29.34,1.0260842382703397
10,50,55,48,37,48,22,22,9,40.91,59.46,45.83,44,0,41,15,26,5.8,21.97,-29.35,1.0580278372262282
8,30,58,45,30,36,21,21,8,38.1,70.0,58.33,42,0,24,9,15,5.81,23.84,-29.38,1.0580880325642208
10,30,55,48,45,50,28,28,11,39.29,62.22,56.0,56,0,39,17,22,5.42,22.59,-29.55,1.054236268549878
5,30,55,48,50,56,31,31,15,48.39,62.0,55.36,62,0,44,19,25,6.88,23.8,-29.62,1.0687665552258434
12,60,52,48,39,49,26,26,13,50.0,66.67,53.06,52,0,36,13,23,3.18,21.24,-29.65,1.0318467937306333
10,60,52,48,42,51,25,25,11,44.0,59.52,49.02,50,0,43,17,26,4.57,21.9,-30.34,1.0456549955181735
10,30,58,48,35,43,24,24,8,33.33,68.57,55.81,48,0,30,11,19,2.39,21.93,-30.85,1.0239267415512638
5,40,58,45,26,36,21,21,6,28.57,80.77,58.33,42,0,20,5,15,0.18,21.74,-30.88,1.0018002560242847
