fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
12,60,52,48,24,25,21,21,14,66.67,87.5,84.0,41,1,8,3,5,163.99,25.15,131.14,2.639864773455453
5,50,52,48,33,32,26,26,15,57.69,78.79,81.25,51,1,14,7,7,174.85,36.47,126.96,2.7484750326162914
5,50,55,48,28,26,21,21,12,57.14,75.0,80.77,41,1,13,7,6,153.1,35.28,106.06,2.5310449366932843
15,50,55,48,27,21,18,18,11,61.11,66.67,85.71,35,1,13,9,4,129.01,25.78,92.36,2.290096159862925
15,40,55,48,26,26,20,20,11,55.0,76.92,76.92,39,1,13,6,7,128.2,26.89,91.32,2.2820374485130452
8,20,58,48,24,24,19,19,12,63.16,79.17,79.17,37,1,11,5,6,127.82,30.63,86.9,2.2781601184831457
12,20,58,48,24,21,19,19,11,57.89,79.17,90.48,37,1,8,5,3,126.39,30.63,86.03,2.26386856896768
12,50,58,48,23,19,17,17,10,58.82,73.91,89.47,33,1,9,6,3,115.05,25.15,80.43,2.150496569635862
10,30,58,48,23,21,19,19,11,57.89,82.61,90.48,37,1,7,4,3,117.24,30.63,77.4,2.1723720149631056
12,60,55,48,19,24,17,17,9,52.94,89.47,70.83,33,1,10,2,8,112.57,29.06,74.66,2.1256666785382663
8,50,52,48,29,32,23,23,13,56.52,79.31,71.88,45,1,16,6,10,123.64,41.08,69.84,2.236416395507692
5,30,55,48,33,33,24,24,12,50.0,72.73,72.73,47,1,19,9,10,112.51,32.28,68.31,2.1250765394041964
15,50,52,48,29,31,21,21,13,61.9,72.41,67.74,41,1,19,8,11,106.69,29.06,66.07,2.0669167752296778
10,20,52,48,33,31,24,24,12,50.0,72.73,77.42,47,1,17,9,8,105.84,30.79,63.68,2.0584012468850434
15,20,58,48,27,21,18,18,10,55.56,66.67,85.71,35,1,13,9,4,105.99,30.63,63.52,2.059867519106306
5,40,55,48,32,28,23,23,12,52.17,71.88,82.14,45,1,15,9,6,107.64,32.66,63.34,2.076434306414794
5,20,58,48,30,31,22,22,15,68.18,73.33,70.97,43,1,18,8,10,103.95,30.63,61.74,2.039483413459703
15,60,55,48,23,20,16,16,9,56.25,69.57,80.0,31,1,12,7,5,103.49,30.86,60.89,2.0348511472748854
10,20,55,48,30,37,22,22,10,45.45,73.33,59.46,43,1,24,8,16,102.03,30.19,59.78,2.020325303635123
5,40,52,48,38,41,30,30,15,50.0,78.95,73.17,59,1,20,8,12,103.36,32.79,59.51,2.033550640207166
12,20,55,48,31,29,21,21,9,42.86,67.74,72.41,41,1,19,10,9,101.86,30.63,58.89,2.0185741849829006
5,50,58,48,26,25,20,20,10,50.0,76.92,80.0,39,1,12,6,6,105.32,35.69,58.03,2.0531572187989684
15,40,58,48,24,21,18,18,10,55.56,75.0,85.71,35,1,10,6,4,97.03,29.06,57.69,1.9702965355620587
8,50,55,48,25,26,21,21,11,52.38,84.0,80.77,41,1,10,4,6,107.97,40.46,56.05,2.07968186535114
10,50,58,48,22,24,16,16,9,56.25,72.73,66.67,31,1,15,6,9,95.84,29.06,55.21,1.9584298261207556
10,60,58,48,23,22,16,16,8,50.0,69.57,72.73,31,1,14,7,7,95.46,29.17,54.52,1.954561098527253
5,30,58,48,26,27,21,21,13,61.9,80.77,77.78,41,1,12,5,7,97.87,33.52,53.65,1.9786582730270703
5,20,52,48,43,48,32,32,18,56.25,74.42,66.67,63,1,28,11,17,95.8,30.63,53.54,1.9579721598499056
8,20,52,48,41,36,25,25,13,52.0,60.98,69.44,49,1,28,16,12,97.2,30.63,53.06,1.9719641206099998
8,50,58,48,23,25,19,19,11,57.89,82.61,76.0,37,1,11,4,7,92.44,29.93,52.71,1.9243817352085444
8,30,58,48,23,27,21,21,10,47.62,91.3,77.78,41,1,9,2,7,93.1,32.77,51.36,1.9309607724357019
12,20,52,48,30,40,25,25,12,48.0,83.33,62.5,49,1,21,5,16,92.15,30.63,51.02,1.9215385572450783
12,50,55,48,24,21,19,19,10,52.63,79.17,90.48,37,1,8,5,3,96.66,35.62,50.32,1.9666182023030854
12,60,58,48,19,18,16,16,9,56.25,84.21,88.89,31,1,6,3,3,88.22,30.19,49.07,1.882191036422075
10,20,58,48,29,22,17,17,10,58.82,58.62,77.27,33,1,18,12,6,96.29,34.26,47.84,1.962894609597704
5,30,52,48,40,41,29,29,14,48.28,72.5,70.73,57,1,24,11,13,93.53,33.93,47.23,1.9353481845040754
5,60,58,48,22,25,19,19,12,63.16,86.36,76.0,37,1,10,3,7,96.38,39.77,45.41,1.9637911436078437
5,40,58,48,24,26,20,20,11,55.0,83.33,76.92,39,1,11,4,7,88.26,32.77,45.28,1.8825760758594918
8,30,52,48,37,39,27,27,13,48.15,72.97,69.23,53,1,23,10,13,92.69,35.38,44.65,1.9269164106704997
5,20,55,48,37,33,26,26,14,53.85,70.27,78.79,51,1,19,11,8,86.2,30.63,43.92,1.8619854408342327
8,60,58,48,21,23,17,17,9,52.94,80.95,73.91,33,1,11,4,7,81.69,29.06,42.66,1.8169129200614673
5,60,55,48,28,26,19,19,11,57.89,67.86,73.08,37,1,17,9,8,93.4,39.48,39.86,1.9339905510379005
8,60,52,48,29,29,23,23,12,52.17,79.31,79.31,45,1,13,6,7,92.34,40.55,39.54,1.9233709803688277
15,50,58,48,22,19,17,17,10,58.82,77.27,89.47,33,1,8,5,3,77.48,29.06,38.67,1.7747680685397207
15,60,52,48,30,29,20,20,10,50.0,66.67,68.97,39,1,20,10,10,86.67,34.61,38.58,1.8666905314239077
15,40,52,48,30,42,23,23,11,47.83,76.67,54.76,45,1,27,7,20,83.9,34.47,36.78,1.838968414012275
10,60,55,48,25,27,19,19,10,52.63,76.0,70.37,37,1,15,6,9,81.41,36.29,32.77,1.8140608355378205
8,30,55,48,33,32,23,23,11,47.83,69.7,71.88,45,1,20,10,10,78.71,35.3,30.4,1.7870777190631701
5,50,58,45,24,26,19,19,8,42.11,79.17,73.08,37,1,13,5,8,79.84,38.02,29.74,1.7983556068413558
8,20,55,48,35,31,22,22,11,50.0,62.86,70.97,43,1,23,13,10,71.79,30.63,28.01,1.7178865367484624
12,40,58,48,22,24,18,18,10,55.56,81.82,75.0,35,1,11,4,7,67.79,30.63,27.05,1.6778550785938302
15,30,58,48,25,23,19,19,10,52.63,76.0,82.61,37,1,11,6,5,66.94,30.63,25.71,1.6693641029554402
15,50,58,45,24,19,15,15,8,53.33,62.5,78.95,29,1,14,9,5,68.73,30.33,25.65,1.6872630128208448
8,50,58,45,21,27,18,18,6,33.33,85.71,66.67,35,1,13,3,10,67.86,32.53,25.01,1.6785567350097763
15,60,58,48,21,22,16,16,9,56.25,76.19,72.73,31,1,12,5,7,70.92,34.49,24.59,1.7092036563763076
8,50,58,42,17,22,15,15,5,33.33,88.24,68.18,29,1,10,2,8,65.82,32.88,23.01,1.6581558857654297
5,60,52,48,31,29,22,22,12,54.55,70.97,75.86,43,1,17,9,8,74.27,38.56,22.44,1.742725727033054
5,30,58,45,23,25,19,19,8,42.11,82.61,76.0,37,1,11,4,7,68.16,35.43,21.83,1.6816305997651455
5,50,55,45,28,29,21,21,8,38.1,75.0,72.41,41,1,16,7,9,72.25,38.02,21.49,1.7225170182207374
12,30,58,48,24,24,19,19,9,47.37,79.17,79.17,37,1,11,5,6,61.21,30.63,20.29,1.6121210322726383
8,60,55,48,27,28,20,20,10,50.0,74.07,71.43,39,1,16,7,9,74.07,40.96,19.61,1.740740019609388
10,20,58,45,25,22,18,18,8,44.44,72.0,81.82,35,1,12,7,5,67.24,35.43,19.61,1.6724135475296094
12,20,58,45,22,22,17,17,7,41.18,77.27,77.27,33,1,11,5,6,66.22,35.54,19.02,1.6622088078032662
10,50,55,48,29,31,21,21,10,47.62,72.41,67.74,41,1,19,8,11,74.11,41.76,18.25,1.741139419065042
10,40,55,48,28,24,19,19,11,57.89,67.86,79.17,37,1,15,9,6,65.18,34.89,17.45,1.6518349508668202
12,60,52,45,18,21,16,16,7,43.75,88.89,76.19,31,1,8,2,6,59.2,33.62,16.0,1.592020519533475
15,20,55,48,29,31,21,21,10,47.62,72.41,67.74,41,1,19,8,11,61.57,35.94,12.69,1.6156646487833775
15,40,55,45,24,26,19,19,7,36.84,79.17,73.08,37,1,13,5,8,60.83,36.91,12.07,1.6082679314499577
5,50,52,45,25,33,21,21,7,33.33,84.0,63.64,41,1,17,4,13,64.05,39.96,11.89,1.6405353114304677
5,50,55,42,23,26,19,19,8,42.11,82.61,73.08,37,1,12,4,8,58.66,35.95,11.57,1.5865889281371177
10,30,52,48,33,42,28,28,12,42.86,84.85,66.67,55,1,20,5,15,62.11,39.31,11.0,1.6211218614315723
