fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,55,48,38,49,28,28,14,50.0,73.68,57.14,56,0,31,10,21,36.54,24.28,1.32,1.3654032744738664
8,60,52,48,32,37,22,22,11,50.0,68.75,59.46,44,0,25,10,15,12.66,29.82,-29.85,1.1265554584067266
12,60,52,48,26,36,18,18,9,50.0,69.23,50.0,36,0,26,8,18,11.49,29.68,-31.24,1.114864074608118
12,20,55,48,41,44,22,22,11,50.0,53.66,50.0,44,0,41,19,22,19.88,35.81,-32.55,1.1987940097611862
5,20,58,48,35,54,24,24,10,41.67,68.57,44.44,48,0,41,11,30,11.67,31.73,-33.9,1.116716147256265
5,20,58,45,32,35,23,23,8,34.78,71.88,65.71,46,0,21,9,12,10.75,32.53,-34.22,1.1074541496936212
5,20,55,45,39,42,26,26,10,38.46,66.67,61.9,52,0,29,13,16,10.74,31.88,-34.42,1.1073683152851082
10,50,52,48,27,39,21,21,10,47.62,77.78,53.85,42,0,24,6,18,9.6,33.73,-36.52,1.096010237049475
12,20,58,48,29,41,19,19,8,42.11,65.52,46.34,38,0,32,10,22,12.55,34.53,-36.74,1.1255360473953777
15,60,52,48,25,31,18,18,10,55.56,72.0,58.06,36,0,20,7,13,4.32,29.94,-37.91,1.0432214772135016
12,50,52,48,29,38,21,21,10,47.62,72.41,55.26,42,0,25,8,17,7.44,33.98,-39.71,1.074365538979525
8,30,52,48,41,50,29,29,14,48.28,70.73,58.0,58,0,33,12,21,4.87,32.78,-40.96,1.0487057351945073
10,30,52,45,26,32,20,20,9,45.0,76.92,62.5,40,0,18,6,12,5.92,35.23,-41.69,1.0592381550073942
8,20,58,48,42,35,20,20,8,40.0,47.62,57.14,40,0,37,22,15,8.76,33.89,-41.91,1.0875773509991709
12,30,58,48,25,35,19,19,6,31.58,76.0,54.29,38,0,22,6,16,3.05,33.37,-42.87,1.0305400454024387
