fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,58,48,26,26,26,26,17,65.38,100.0,100.0,0,52,0,0,0,90.07,7.06,81.59,1.9006535574847772
5,20,52,48,37,36,37,37,19,51.35,100.0,102.78,0,74,0,0,0,85.43,6.78,77.44,1.8543373568292432
5,30,58,48,24,24,24,24,13,54.17,100.0,100.0,0,48,0,0,0,84.22,7.54,75.17,1.8421982227907057
5,30,52,48,32,31,32,32,17,53.12,100.0,103.23,0,64,0,0,0,84.21,7.84,74.96,1.842089067599326
5,20,55,48,30,29,30,30,18,60.0,100.0,103.45,0,60,0,0,0,83.08,7.06,74.78,1.830817135519456
8,20,58,48,24,24,24,24,13,54.17,100.0,100.0,0,48,0,0,0,79.97,7.18,71.35,1.7996806218854136
5,30,55,48,28,27,28,28,15,53.57,100.0,103.7,0,56,0,0,0,78.52,7.84,69.3,1.7852055773915823
10,20,58,48,24,24,24,24,12,50.0,100.0,100.0,0,48,0,0,0,77.41,7.18,68.79,1.7740809018967656
8,20,52,48,31,30,31,31,16,51.61,100.0,103.33,0,62,0,0,0,77.51,7.93,68.16,1.7750943971617767
15,20,52,48,32,31,32,32,19,59.38,100.0,103.23,0,64,0,0,0,75.2,7.67,66.16,1.7519520089825034
12,20,58,48,24,24,24,24,12,50.0,100.0,100.0,0,48,0,0,0,73.75,7.18,65.13,1.7375131490447182
10,30,58,48,24,24,24,24,13,54.17,100.0,100.0,0,48,0,0,0,73.62,7.18,65.0,1.73616010331983
8,30,58,48,24,24,24,24,12,50.0,100.0,100.0,0,48,0,0,0,73.55,7.18,64.93,1.7354518684219125
10,30,52,48,32,31,32,32,19,59.38,100.0,103.23,0,64,0,0,0,74.01,7.8,64.82,1.7401394514728468
10,20,52,48,31,30,31,31,15,48.39,100.0,103.33,0,62,0,0,0,74.02,7.93,64.67,1.740192948682867
15,20,58,48,24,24,24,24,13,54.17,100.0,100.0,0,48,0,0,0,73.78,7.62,64.64,1.7378008418516149
8,20,55,48,28,27,28,28,15,53.57,100.0,103.7,0,56,0,0,0,73.46,7.93,64.13,1.7345876153633057
12,20,52,48,30,29,30,30,17,56.67,100.0,103.45,0,60,0,0,0,73.33,8.08,63.82,1.7333407954435018
8,30,52,48,31,30,31,31,18,58.06,100.0,103.33,0,62,0,0,0,73.09,8.08,63.56,1.730875087262894
10,20,55,48,28,27,28,28,14,50.0,100.0,103.7,0,56,0,0,0,71.63,7.93,62.3,1.716310743615689
12,40,58,48,19,19,19,19,11,57.89,100.0,100.0,0,38,0,0,0,69.75,6.44,62.02,1.6975337474213266
12,20,55,48,28,27,28,28,16,57.14,100.0,103.7,0,56,0,0,0,71.43,8.08,61.93,1.7143451058876447
15,60,52,48,23,22,23,23,14,60.87,100.0,104.55,0,46,0,0,0,73.88,11.06,60.83,1.7387570405001134
5,40,58,48,24,24,24,24,11,45.83,100.0,100.0,0,48,0,0,0,69.63,7.62,60.49,1.6962865449838196
15,60,58,48,17,17,17,17,10,58.82,100.0,100.0,0,34,0,0,0,72.49,10.1,60.36,1.7248830787328755
15,20,55,48,29,28,29,29,17,58.62,100.0,103.57,0,58,0,0,0,69.28,7.67,60.26,1.6928461498849594
8,30,55,48,29,28,29,29,17,58.62,100.0,103.57,0,58,0,0,0,69.16,8.08,59.65,1.6915901894924072
10,30,55,48,29,28,29,29,17,58.62,100.0,103.57,0,58,0,0,0,68.38,7.8,59.2,1.683800443959697
8,40,58,48,23,23,23,23,12,52.17,100.0,100.0,0,46,0,0,0,67.04,6.76,58.93,1.6704177026718081
5,40,52,48,31,30,31,31,15,48.39,100.0,103.33,0,62,0,0,0,67.53,8.02,58.07,1.675309964905735
12,30,58,48,24,24,24,24,13,54.17,100.0,100.0,0,48,0,0,0,66.39,7.01,57.98,1.663887102958272
5,50,58,48,22,22,22,22,10,45.45,100.0,100.0,0,44,0,0,0,67.37,7.83,57.97,1.67372196703694
15,60,55,48,21,20,21,21,13,61.9,100.0,105.0,0,42,0,0,0,70.66,11.04,57.66,1.7065994046746162
15,30,58,48,22,22,22,22,13,59.09,100.0,100.0,0,44,0,0,0,66.26,7.2,57.62,1.6625610090357295
10,50,58,48,19,19,19,19,11,57.89,100.0,100.0,0,38,0,0,0,65.84,7.03,57.4,1.6583965876294122
5,40,55,48,29,28,29,29,15,51.72,100.0,103.57,0,58,0,0,0,66.69,7.92,57.37,1.666891655722841
10,40,58,48,21,21,21,21,11,52.38,100.0,100.0,0,42,0,0,0,65.5,6.8,57.34,1.6549637662301253
15,40,52,48,26,25,26,26,16,61.54,100.0,104.0,0,52,0,0,0,65.83,7.35,57.21,1.6582568358778011
15,50,58,48,18,18,18,18,10,55.56,100.0,100.0,0,36,0,0,0,66.58,7.94,57.06,1.6658256451262112
12,40,55,48,24,23,24,24,15,62.5,100.0,104.35,0,48,0,0,0,66.13,7.86,56.92,1.6613215252525682
15,40,58,48,19,19,19,19,11,57.89,100.0,100.0,0,38,0,0,0,64.77,6.68,56.76,1.6476766426275902
12,40,52,48,29,28,29,29,16,55.17,100.0,103.57,0,58,0,0,0,65.9,7.86,56.65,1.6590330753596236
15,50,52,48,25,24,25,25,14,56.0,100.0,104.17,0,50,0,0,0,65.95,8.17,56.35,1.6595199215386778
12,30,52,48,32,31,32,32,18,56.25,100.0,103.23,0,64,0,0,0,66.2,8.6,56.04,1.6620150103056293
12,60,58,48,18,18,18,18,9,50.0,100.0,100.0,0,36,0,0,0,65.81,8.55,55.55,1.6580697543421128
8,40,52,48,30,29,30,30,16,53.33,100.0,103.45,0,60,0,0,0,66.02,8.99,55.39,1.660160375714094
12,50,58,48,18,18,18,18,10,55.56,100.0,100.0,0,36,0,0,0,65.11,8.25,55.21,1.6511294967352732
10,60,58,48,18,18,18,18,9,50.0,100.0,100.0,0,36,0,0,0,65.28,8.62,54.93,1.652797172345323
12,60,52,48,24,23,24,24,13,54.17,100.0,104.35,0,48,0,0,0,66.14,10.07,54.28,1.6613811139695516
5,60,58,48,20,20,20,20,9,45.0,100.0,100.0,0,40,0,0,0,63.55,8.02,53.93,1.635482363986287
15,30,52,48,31,30,31,31,19,61.29,100.0,103.33,0,62,0,0,0,64.0,8.53,53.92,1.6399769984460077
5,20,58,45,25,25,25,25,14,56.0,100.0,100.0,0,50,0,0,0,62.43,7.52,53.4,1.6242812509062763
8,50,58,48,20,20,20,20,10,50.0,100.0,100.0,0,40,0,0,0,62.58,7.71,53.33,1.6258019715094874
15,50,55,48,23,22,23,23,13,56.52,100.0,104.55,0,46,0,0,0,62.74,8.15,53.19,1.6274284871647524
10,50,52,48,27,26,27,27,15,55.56,100.0,103.85,0,54,0,0,0,62.24,7.79,53.08,1.622389220602777
12,50,52,48,26,25,26,26,14,53.85,100.0,104.0,0,52,0,0,0,63.12,8.7,52.88,1.6312399446854082
10,50,55,48,24,23,24,24,14,58.33,100.0,104.35,0,48,0,0,0,61.66,7.5,52.87,1.6165903894442526
15,40,55,48,24,23,24,24,15,62.5,100.0,104.35,0,48,0,0,0,61.25,7.35,52.65,1.6124915002260538
15,30,55,48,27,26,27,27,17,62.96,100.0,103.85,0,54,0,0,0,62.04,8.28,52.3,1.6204063430145332
10,40,52,48,29,28,29,29,16,55.17,100.0,103.57,0,58,0,0,0,63.23,9.48,52.03,1.6322536016729694
10,60,52,48,24,23,24,24,14,58.33,100.0,104.35,0,48,0,0,0,64.6,10.67,52.01,1.645953126274492
8,40,55,48,28,27,28,28,15,53.57,100.0,103.7,0,56,0,0,0,61.78,8.43,51.85,1.6177988763207176
8,60,58,48,18,18,18,18,9,50.0,100.0,100.0,0,36,0,0,0,62.42,9.24,51.32,1.6241745266607504
12,60,55,48,22,21,22,22,12,54.55,100.0,104.76,0,44,0,0,0,63.07,10.04,51.25,1.630654515838841
10,60,55,48,22,21,22,22,12,54.55,100.0,104.76,0,44,0,0,0,62.19,10.12,50.29,1.621877124943155
12,50,55,48,24,23,24,24,13,54.17,100.0,104.35,0,48,0,0,0,59.97,8.68,49.77,1.599695382337244
8,60,52,48,25,24,25,25,14,56.0,100.0,104.17,0,50,0,0,0,62.37,10.74,49.69,1.6236807423334958
12,30,55,48,29,28,29,29,16,55.17,100.0,103.57,0,58,0,0,0,59.96,9.18,49.12,1.5995766093617456
8,60,55,48,22,21,22,22,12,54.55,100.0,104.76,0,44,0,0,0,60.7,10.19,48.71,1.6069583581996356
10,40,55,48,27,26,27,27,15,55.56,100.0,103.85,0,54,0,0,0,59.06,8.92,48.55,1.5906041857679782
5,50,52,48,31,30,31,31,14,45.16,100.0,103.33,0,62,0,0,0,59.12,12.13,44.73,1.5912457757762184
5,30,58,45,23,23,23,23,11,47.83,100.0,100.0,0,46,0,0,0,55.92,9.63,44.37,1.5592311959777827
8,50,52,48,29,28,29,29,14,48.28,100.0,103.57,0,58,0,0,0,56.28,11.16,43.07,1.5627996150539036
8,50,55,48,26,25,26,26,13,50.0,100.0,104.0,0,52,0,0,0,55.46,10.61,42.93,1.5546365341076995
5,60,55,48,25,24,25,25,12,48.0,100.0,104.17,0,50,0,0,0,55.82,11.56,42.16,1.5582032969580357
5,60,52,48,28,27,28,28,13,46.43,100.0,103.7,0,56,0,0,0,55.77,11.58,42.06,1.5577394525136339
5,50,55,48,29,28,29,29,13,44.83,100.0,103.57,0,58,0,0,0,56.49,12.37,41.83,1.5649207042411741
5,20,55,45,29,28,29,29,13,44.83,100.0,103.57,0,58,0,0,0,52.48,9.15,41.68,1.524770509444287
12,40,58,45,15,15,15,15,8,53.33,100.0,100.0,0,30,0,0,0,52.65,9.53,41.21,1.526485069475683
15,20,58,45,19,19,19,19,10,52.63,100.0,100.0,0,38,0,0,0,52.98,10.05,40.92,1.5297885312814876
10,30,58,45,19,19,19,19,10,52.63,100.0,100.0,0,38,0,0,0,52.83,10.32,40.45,1.5283441868386098
8,20,58,45,23,23,23,23,11,47.83,100.0,100.0,0,46,0,0,0,52.24,9.91,40.35,1.5224271735362374
10,20,58,45,22,22,22,22,10,45.45,100.0,100.0,0,44,0,0,0,51.91,9.91,40.01,1.519052413804799
12,20,58,45,20,20,20,20,11,55.0,100.0,100.0,0,40,0,0,0,51.87,10.45,39.33,1.5186792207201598
15,60,58,45,15,15,15,15,8,53.33,100.0,100.0,0,30,0,0,0,54.9,13.12,39.16,1.5489957612761522
