fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,55,48,32,32,32,32,23,71.88,100.0,100.0,0,64,0,0,0,66.32,4.63,60.77,1.6632351724089023
8,20,52,48,38,37,38,38,24,63.16,100.0,102.7,0,76,0,0,0,65.07,5.25,58.9,1.650709526341964
8,20,55,48,31,31,31,31,21,67.74,100.0,100.0,0,62,0,0,0,64.72,5.83,57.72,1.6471842599007371
10,20,52,48,37,36,37,37,21,56.76,100.0,102.78,0,74,0,0,0,61.34,5.51,54.87,1.6134417530302188
10,20,55,48,31,31,31,31,19,61.29,100.0,100.0,0,62,0,0,0,60.74,5.83,53.74,1.6074462575785244
5,20,52,48,40,39,40,40,24,60.0,100.0,102.56,0,80,0,0,0,59.99,5.49,53.54,1.59991577863525
8,20,58,48,28,28,28,28,19,67.86,100.0,100.0,0,56,0,0,0,60.25,5.83,53.24,1.6024575149122033
5,20,58,48,28,28,28,28,19,67.86,100.0,100.0,0,56,0,0,0,55.92,5.22,49.66,1.559240879763302
10,20,58,48,28,28,28,28,17,60.71,100.0,100.0,0,56,0,0,0,56.38,5.83,49.38,1.5637985366794536
12,20,55,48,30,30,30,30,15,50.0,100.0,100.0,0,60,0,0,0,45.67,6.79,37.52,1.4567358251564475
12,20,58,48,26,26,26,26,14,53.85,100.0,100.0,0,52,0,0,0,45.19,6.52,37.36,1.4518560074940796
12,20,52,48,36,35,36,36,17,47.22,100.0,102.86,0,72,0,0,0,43.74,6.79,35.73,1.437372293054983
5,60,52,48,30,29,30,30,17,56.67,100.0,103.45,0,60,0,0,0,41.93,5.83,35.1,1.419278778025398
10,50,55,48,25,24,25,25,16,64.0,100.0,104.17,0,50,0,0,0,42.34,6.52,34.72,1.4233810672780098
10,50,52,48,27,26,27,27,17,62.96,100.0,103.85,0,54,0,0,0,41.75,6.52,34.11,1.4174624297183602
5,30,55,48,32,31,32,32,20,62.5,100.0,103.23,0,64,0,0,0,43.73,8.51,33.69,1.437312855128015
8,60,52,48,27,26,27,27,17,62.96,100.0,103.85,0,54,0,0,0,39.84,5.8,33.08,1.3983937783861284
15,50,52,48,27,26,27,27,17,62.96,100.0,103.85,0,54,0,0,0,40.63,6.52,33.0,1.4063320045329113
12,50,55,48,25,24,25,25,17,68.0,100.0,104.17,0,50,0,0,0,40.08,6.52,32.46,1.4008211031246225
15,60,52,48,25,24,25,25,17,68.0,100.0,104.17,0,50,0,0,0,40.0,6.52,32.38,1.3999950193706636
15,50,55,48,24,23,24,24,17,70.83,100.0,104.35,0,48,0,0,0,39.92,6.52,32.31,1.3992488250641093
5,60,55,48,28,27,28,28,16,57.14,100.0,103.7,0,56,0,0,0,39.01,5.83,32.2,1.390129445514827
12,50,52,48,27,26,27,27,17,62.96,100.0,103.85,0,54,0,0,0,39.42,6.52,31.78,1.3942063357395875
12,60,52,48,26,25,26,26,19,73.08,100.0,104.0,0,52,0,0,0,39.03,6.52,31.41,1.3903491628852078
10,60,55,48,25,24,25,25,18,72.0,100.0,104.17,0,50,0,0,0,37.79,6.52,30.17,1.3779283129506106
15,60,55,48,23,22,23,23,16,69.57,100.0,104.55,0,46,0,0,0,37.52,6.52,29.92,1.37523388408565
15,20,58,48,24,24,24,24,13,54.17,100.0,100.0,0,48,0,0,0,38.26,7.04,29.81,1.3825766325178732
8,60,55,48,26,25,26,26,16,61.54,100.0,104.0,0,52,0,0,0,36.69,5.94,29.77,1.3669197304687088
10,60,52,48,27,26,27,27,18,66.67,100.0,103.85,0,54,0,0,0,37.38,6.52,29.74,1.3737540400130992
12,40,55,48,26,25,26,26,16,61.54,100.0,104.0,0,52,0,0,0,37.3,6.99,29.12,1.3730116167205513
5,50,52,48,35,34,35,35,18,51.43,100.0,102.94,0,70,0,0,0,38.66,8.31,28.83,1.3865798004098775
12,40,52,48,29,28,29,29,17,58.62,100.0,103.57,0,58,0,0,0,37.83,7.66,28.82,1.3783242671020757
12,60,55,48,25,24,25,25,18,72.0,100.0,104.17,0,50,0,0,0,36.23,6.52,28.61,1.3623240432047345
15,40,55,48,25,24,25,25,16,64.0,100.0,104.17,0,50,0,0,0,37.07,7.52,28.25,1.3706878563872829
8,40,58,48,23,23,23,23,13,56.52,100.0,100.0,0,46,0,0,0,36.27,7.04,27.82,1.362672272416299
5,30,52,48,37,36,37,37,21,56.76,100.0,102.78,0,74,0,0,0,38.53,9.08,27.78,1.3852813466741987
15,40,52,48,26,25,26,26,16,61.54,100.0,104.0,0,52,0,0,0,37.3,8.42,27.39,1.3729749203709207
8,50,55,48,26,25,26,26,15,57.69,100.0,104.0,0,52,0,0,0,37.52,8.66,27.33,1.3752094331066644
10,50,58,48,20,20,20,20,13,65.0,100.0,100.0,0,40,0,0,0,35.14,6.52,27.31,1.351444192022524
8,50,52,48,30,29,30,30,16,53.33,100.0,103.45,0,60,0,0,0,37.5,8.66,27.29,1.3750198466139816
5,40,58,48,25,25,25,25,15,60.0,100.0,100.0,0,50,0,0,0,37.35,8.45,27.21,1.3734618598850823
5,50,55,48,29,28,29,29,16,55.17,100.0,103.57,0,58,0,0,0,37.17,8.45,27.21,1.3716728458266578
8,40,52,48,33,32,33,33,17,51.52,100.0,103.12,0,66,0,0,0,37.23,8.49,27.2,1.3723151815126053
15,20,52,48,35,34,35,35,19,54.29,100.0,102.94,0,70,0,0,0,39.2,10.15,27.17,1.3920259945662619
15,50,58,48,18,18,18,18,13,72.22,100.0,100.0,0,36,0,0,0,34.87,6.52,27.04,1.3486733989676811
8,60,58,48,22,22,22,22,14,63.64,100.0,100.0,0,44,0,0,0,33.96,5.94,26.83,1.339562560234802
8,50,58,48,22,22,22,22,13,59.09,100.0,100.0,0,44,0,0,0,36.55,8.13,26.79,1.3655082962140825
8,30,58,48,26,26,26,26,15,57.69,100.0,100.0,0,52,0,0,0,36.9,8.51,26.7,1.3690456104461015
5,30,58,48,27,27,27,27,16,59.26,100.0,100.0,0,54,0,0,0,36.87,8.51,26.67,1.3687451539549107
5,60,58,48,24,24,24,24,14,58.33,100.0,100.0,0,48,0,0,0,33.37,5.83,26.37,1.33372866523972
8,40,55,48,30,29,30,30,16,53.33,100.0,103.45,0,60,0,0,0,35.91,8.49,25.89,1.3590980937685169
12,40,58,48,21,21,21,21,13,61.9,100.0,100.0,0,42,0,0,0,34.17,6.99,25.79,1.341699523469299
12,50,58,48,19,19,19,19,13,68.42,100.0,100.0,0,38,0,0,0,33.61,6.52,25.78,1.3361292762701291
8,30,55,48,32,31,32,32,18,56.25,100.0,103.23,0,64,0,0,0,36.72,9.44,25.56,1.367214652798103
10,30,58,48,24,24,24,24,13,54.17,100.0,100.0,0,48,0,0,0,33.75,7.04,25.31,1.3375294515529899
8,30,52,48,36,35,36,36,20,55.56,100.0,102.86,0,72,0,0,0,35.9,9.16,25.05,1.359001471285874
10,60,58,48,19,19,19,19,14,73.68,100.0,100.0,0,38,0,0,0,32.61,6.52,24.78,1.3261062011954285
15,60,58,48,18,18,18,18,13,72.22,100.0,100.0,0,36,0,0,0,32.61,6.52,24.78,1.3261370530478556
10,40,52,48,31,30,31,31,16,51.61,100.0,103.33,0,62,0,0,0,34.09,7.97,24.69,1.3409391709997274
10,40,58,48,23,23,23,23,13,56.52,100.0,100.0,0,46,0,0,0,32.73,6.81,24.56,1.3273442874281063
