fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
8,20,55,48,26,26,26,26,19,73.08,100.0,100.0,0,52,0,0,0,92.4,6.28,84.86,1.9239861280755166
5,20,55,48,30,30,30,30,19,63.33,100.0,100.0,0,60,0,0,0,91.44,8.05,81.78,1.9144015963231729
5,20,52,48,35,35,35,35,21,60.0,100.0,100.0,0,70,0,0,0,90.26,8.05,80.6,1.9026263519957187
5,20,58,48,27,27,27,27,18,66.67,100.0,100.0,0,54,0,0,0,85.37,6.76,77.26,1.8536931196020785
8,20,52,48,34,34,34,34,20,58.82,100.0,100.0,0,68,0,0,0,86.58,7.89,77.11,1.8658368175177642
8,20,58,48,24,24,24,24,18,75.0,100.0,100.0,0,48,0,0,0,82.78,6.76,74.68,1.8278186270204433
10,20,55,48,26,26,26,26,18,69.23,100.0,100.0,0,52,0,0,0,72.89,8.56,62.62,1.728904967457647
8,30,55,48,24,24,24,24,15,62.5,100.0,100.0,0,48,0,0,0,71.27,8.56,61.0,1.7126750214467992
5,30,55,48,27,27,27,27,17,62.96,100.0,100.0,0,54,0,0,0,71.02,9.04,60.18,1.710225180834656
5,30,52,48,33,33,33,33,19,57.58,100.0,100.0,0,66,0,0,0,69.71,8.95,58.98,1.697136502721107
10,20,58,48,24,24,24,24,16,66.67,100.0,100.0,0,48,0,0,0,70.38,9.59,58.87,1.703847567551368
10,30,55,48,24,24,24,24,14,58.33,100.0,100.0,0,48,0,0,0,68.95,8.56,58.69,1.6895293378721634
12,20,55,48,25,25,25,25,16,64.0,100.0,100.0,0,50,0,0,0,68.84,8.56,58.57,1.6884055243258267
5,40,55,48,26,26,26,26,15,57.69,100.0,100.0,0,52,0,0,0,69.38,9.04,58.54,1.6938053267661335
5,40,58,48,24,24,24,24,14,58.33,100.0,100.0,0,48,0,0,0,67.88,9.59,56.37,1.6787820985971387
5,30,58,48,25,25,25,25,15,60.0,100.0,100.0,0,50,0,0,0,67.87,9.59,56.36,1.6787284066722448
10,20,52,48,33,33,33,33,20,60.61,100.0,100.0,0,66,0,0,0,64.64,7.36,55.81,1.6463614903955022
15,30,58,48,22,22,22,22,14,63.64,100.0,100.0,0,44,0,0,0,66.85,9.59,55.34,1.6685021456450642
15,20,55,48,24,24,24,24,15,62.5,100.0,100.0,0,48,0,0,0,65.1,8.56,54.84,1.6510481738355867
15,40,55,48,21,21,21,21,15,71.43,100.0,100.0,0,42,0,0,0,66.96,10.5,54.37,1.6696460930504105
8,30,58,48,23,23,23,23,13,56.52,100.0,100.0,0,46,0,0,0,65.5,9.59,53.99,1.655023651556536
12,20,52,48,29,29,29,29,17,58.62,100.0,100.0,0,58,0,0,0,66.51,10.47,53.94,1.665076624031216
10,30,52,48,27,27,27,27,15,55.56,100.0,100.0,0,54,0,0,0,65.64,9.93,53.73,1.6564443763362553
5,40,52,48,32,32,32,32,16,50.0,100.0,100.0,0,64,0,0,0,64.19,8.73,53.71,1.641893268299423
15,30,55,48,24,24,24,24,14,58.33,100.0,100.0,0,48,0,0,0,64.2,8.86,53.57,1.6420032259979198
12,20,58,48,24,24,24,24,14,58.33,100.0,100.0,0,48,0,0,0,64.7,9.59,53.18,1.6469641743589625
8,30,52,48,30,30,30,30,16,53.33,100.0,100.0,0,60,0,0,0,64.54,10.47,51.97,1.645366808121995
12,30,55,48,24,24,24,24,14,58.33,100.0,100.0,0,48,0,0,0,62.98,9.33,51.79,1.629831435357272
15,60,52,48,20,20,20,20,12,60.0,100.0,100.0,0,40,0,0,0,61.11,7.83,51.72,1.6110950687539507
15,20,52,48,28,28,28,28,15,53.57,100.0,100.0,0,56,0,0,0,63.57,10.47,51.01,1.6357394146172064
10,50,55,48,21,21,21,21,14,66.67,100.0,100.0,0,42,0,0,0,63.42,10.43,50.9,1.6342032131166924
15,30,52,48,27,27,27,27,16,59.26,100.0,100.0,0,54,0,0,0,61.91,9.18,50.89,1.6190670760040133
8,40,55,48,24,24,24,24,13,54.17,100.0,100.0,0,48,0,0,0,61.94,9.34,50.74,1.6194274207288109
8,40,52,48,27,27,27,27,15,55.56,100.0,100.0,0,54,0,0,0,64.66,11.75,50.56,1.6466215443715329
10,30,58,48,23,23,23,23,13,56.52,100.0,100.0,0,46,0,0,0,60.09,9.59,48.58,1.6009130028757943
15,40,58,48,20,20,20,20,13,65.0,100.0,100.0,0,40,0,0,0,60.75,10.43,48.23,1.6074847759992854
12,60,52,48,21,21,21,21,13,61.9,100.0,100.0,0,42,0,0,0,57.62,7.83,48.22,1.5761673316541562
15,20,58,48,23,23,23,23,13,56.52,100.0,100.0,0,46,0,0,0,59.55,9.59,48.03,1.5954712618210523
15,40,52,48,24,24,24,24,15,62.5,100.0,100.0,0,48,0,0,0,59.19,9.37,47.94,1.5918547729411474
10,40,58,48,23,23,23,23,13,56.52,100.0,100.0,0,46,0,0,0,58.46,9.59,46.94,1.5845697328171084
8,50,55,48,22,22,22,22,12,54.55,100.0,100.0,0,44,0,0,0,59.19,10.25,46.89,1.5919412871384622
10,50,52,48,24,24,24,24,14,58.33,100.0,100.0,0,48,0,0,0,58.26,9.7,46.63,1.582605965529908
10,40,55,48,24,24,24,24,13,54.17,100.0,100.0,0,48,0,0,0,58.36,9.86,46.53,1.5836206796488712
12,30,52,48,27,27,27,27,15,55.56,100.0,100.0,0,54,0,0,0,60.43,11.75,46.33,1.6042987953595809
8,40,58,48,24,24,24,24,13,54.17,100.0,100.0,0,48,0,0,0,56.85,9.59,45.34,1.5685306289655112
15,60,55,48,19,19,19,19,11,57.89,100.0,100.0,0,38,0,0,0,54.6,7.83,45.21,1.546006669125968
12,50,55,48,20,20,20,20,12,60.0,100.0,100.0,0,40,0,0,0,54.51,7.83,45.12,1.5451218978527792
10,60,52,48,22,22,22,22,13,59.09,100.0,100.0,0,44,0,0,0,54.61,8.17,44.81,1.5460681665863067
10,40,52,48,26,26,26,26,14,53.85,100.0,100.0,0,52,0,0,0,59.33,12.27,44.61,1.5933025157238905
