fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,52,48,41,41,41,41,25,60.98,100.0,100.0,0,82,0,0,0,77.35,9.24,66.27,1.7735372209716067
5,20,55,48,36,36,36,36,21,58.33,100.0,100.0,0,72,0,0,0,60.87,11.51,47.06,1.608685453734457
8,30,52,48,39,39,39,39,24,61.54,100.0,100.0,0,78,0,0,0,53.78,9.31,42.61,1.5378260730719078
5,30,52,48,41,41,41,41,21,51.22,100.0,100.0,0,82,0,0,0,50.98,8.67,40.58,1.5098215651260405
15,50,52,48,32,32,32,32,19,59.38,100.0,100.0,0,64,0,0,0,51.15,8.84,40.54,1.5115016063943862
5,40,52,48,37,37,37,37,21,56.76,100.0,100.0,0,74,0,0,0,53.55,11.15,40.17,1.5355209062824322
5,20,58,48,33,33,33,33,16,48.48,100.0,100.0,0,66,0,0,0,50.88,11.63,36.92,1.5088115608871318
5,50,52,48,35,35,35,35,18,51.43,100.0,100.0,0,70,0,0,0,49.23,10.75,36.33,1.49234981273673
5,30,55,48,35,35,35,35,18,51.43,100.0,100.0,0,70,0,0,0,49.29,10.87,36.25,1.4928946189138603
8,20,52,48,39,39,39,39,20,51.28,100.0,100.0,0,78,0,0,0,49.51,11.34,35.9,1.495057280605279
12,20,52,48,39,39,39,39,21,53.85,100.0,100.0,0,78,0,0,0,46.47,8.97,35.71,1.4647443995513607
15,60,52,48,31,31,31,31,18,58.06,100.0,100.0,0,62,0,0,0,46.88,9.75,35.19,1.4688134405568107
10,30,52,48,37,37,37,37,21,56.76,100.0,100.0,0,74,0,0,0,49.67,12.37,34.83,1.4966983862584429
15,20,52,48,39,39,39,39,23,58.97,100.0,100.0,0,78,0,0,0,49.56,12.37,34.72,1.4955599031063573
10,20,52,48,40,40,40,40,20,50.0,100.0,100.0,0,80,0,0,0,45.5,9.31,34.33,1.4550350568006123
15,50,55,48,25,25,25,25,13,52.0,100.0,100.0,0,50,0,0,0,44.33,9.58,32.83,1.4433243319504587
5,30,58,48,31,31,31,31,15,48.39,100.0,100.0,0,62,0,0,0,46.39,11.56,32.52,1.463863017247145
10,40,52,48,35,35,35,35,20,57.14,100.0,100.0,0,70,0,0,0,48.26,13.55,32.0,1.4825541223094731
