fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,50,52,48,27,26,27,27,15,55.56,100.0,103.85,0,54,0,0,0,225.89,28.28,192.14,3.2589388303126254
5,50,55,48,22,21,22,22,12,54.55,100.0,104.76,0,44,0,0,0,205.23,29.07,170.59,3.052324546642384
15,50,52,48,22,21,22,22,15,68.18,100.0,104.76,0,44,0,0,0,183.68,25.43,153.4,2.836821178873817
12,50,52,48,24,23,24,24,15,62.5,100.0,104.35,0,48,0,0,0,178.49,25.15,148.53,2.7848756621550037
15,40,52,48,26,25,26,26,16,61.54,100.0,104.0,0,52,0,0,0,170.38,25.15,140.4,2.7037892213742616
12,60,52,48,21,20,21,21,14,66.67,100.0,105.0,0,42,0,0,0,170.01,25.15,140.08,2.7000850467590953
10,60,52,48,24,23,24,24,15,62.5,100.0,104.35,0,48,0,0,0,167.92,25.79,137.19,2.6792310637458714
5,50,58,48,20,19,20,20,11,55.0,100.0,105.26,0,40,0,0,0,171.41,29.07,136.79,2.7141096529396376
5,20,58,48,24,23,24,24,15,62.5,100.0,104.35,0,48,0,0,0,164.52,30.98,127.56,2.645181698819302
15,40,55,48,20,19,20,20,11,55.0,100.0,105.26,0,40,0,0,0,156.78,25.15,126.87,2.5678389890595357
12,50,55,48,19,18,19,19,11,57.89,100.0,105.56,0,38,0,0,0,156.31,25.15,126.41,2.5630716116208627
5,60,52,48,24,23,24,24,16,66.67,100.0,104.35,0,48,0,0,0,161.78,31.18,124.59,2.6178326131668856
15,50,55,48,18,17,18,18,11,61.11,100.0,105.88,0,36,0,0,0,154.22,25.48,123.95,2.542240585496586
10,20,52,48,28,27,28,28,17,60.71,100.0,103.7,0,56,0,0,0,151.04,26.25,119.72,2.510437814354138
8,50,52,48,25,24,25,25,15,60.0,100.0,104.17,0,50,0,0,0,157.8,33.23,118.13,2.5780200575773384
5,20,52,48,34,33,34,34,21,61.76,100.0,103.03,0,68,0,0,0,153.3,30.98,116.28,2.5330253291301332
10,60,55,48,19,18,19,19,11,57.89,100.0,105.56,0,38,0,0,0,145.78,25.15,115.88,2.4577960181459932
8,20,58,48,20,19,20,20,13,65.0,100.0,105.26,0,40,0,0,0,152.03,30.98,115.12,2.5203151465923046
12,60,55,48,17,16,17,17,10,58.82,100.0,106.25,0,34,0,0,0,141.97,25.15,112.11,2.419703378303334
12,20,52,48,27,26,27,27,14,51.85,100.0,103.85,0,54,0,0,0,143.05,26.25,111.74,2.43047355078419
5,20,55,48,29,28,29,29,16,55.17,100.0,103.57,0,58,0,0,0,148.51,30.98,111.51,2.4850587632725887
10,50,52,48,25,24,25,25,15,60.0,100.0,104.17,0,50,0,0,0,147.33,33.23,107.66,2.4733036204966625
5,60,55,48,20,19,20,20,12,60.0,100.0,105.26,0,40,0,0,0,142.09,31.93,104.04,2.4209212900253063
8,60,52,48,25,24,25,25,15,60.0,100.0,104.17,0,50,0,0,0,142.53,33.12,102.99,2.4252778686906096
10,20,58,48,20,19,20,20,12,60.0,100.0,105.26,0,40,0,0,0,137.76,30.98,100.85,2.377617877526871
10,50,58,48,18,17,18,18,10,55.56,100.0,105.88,0,36,0,0,0,129.04,25.15,99.16,2.290378876345877
15,50,58,48,17,16,17,17,11,64.71,100.0,106.25,0,34,0,0,0,128.35,25.15,98.48,2.2834806480961802
8,50,55,48,21,20,21,21,11,52.38,100.0,105.0,0,42,0,0,0,138.41,33.96,97.91,2.384103403750884
8,50,58,48,19,18,19,19,10,52.63,100.0,105.56,0,38,0,0,0,129.57,27.06,97.37,2.2956732576359604
8,60,58,48,18,17,18,18,10,55.56,100.0,105.88,0,36,0,0,0,126.65,25.15,96.77,2.2665122849856503
10,60,58,48,17,16,17,17,10,58.82,100.0,106.25,0,34,0,0,0,126.57,25.15,96.71,2.2657120523503558
10,20,55,48,24,23,24,24,12,50.0,100.0,104.35,0,48,0,0,0,133.09,30.98,96.13,2.3308600755592064
5,30,52,48,32,31,32,32,17,53.12,100.0,103.23,0,64,0,0,0,130.48,29.26,95.53,2.304843631414195
12,50,58,48,18,17,18,18,10,55.56,100.0,105.88,0,36,0,0,0,122.43,25.15,92.55,2.2242988219427637
5,40,52,48,31,30,31,31,15,48.39,100.0,103.33,0,62,0,0,0,123.71,26.25,92.37,2.2370775906462983
15,40,58,48,19,18,19,19,10,52.63,100.0,105.56,0,38,0,0,0,122.23,25.15,92.34,2.2223429099896674
8,30,52,48,30,29,30,30,17,56.67,100.0,103.45,0,60,0,0,0,125.72,29.26,90.78,2.2571980125286872
