fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,55,48,32,32,32,32,22,68.75,100.0,100.0,0,64,0,0,0,94.44,23.16,66.65,1.9444379410438168
8,20,55,48,31,31,31,31,22,70.97,100.0,100.0,0,62,0,0,0,95.71,24.63,66.15,1.9571118990162306
10,20,55,48,29,29,29,29,19,65.52,100.0,100.0,0,58,0,0,0,89.98,23.89,61.31,1.899775448666196
5,20,52,48,41,41,41,41,28,68.29,100.0,100.0,0,82,0,0,0,87.31,25.62,56.57,1.87305966517843
12,20,55,48,26,26,26,26,17,65.38,100.0,100.0,0,52,0,0,0,79.81,20.59,55.1,1.7981009735763482
8,30,52,48,33,33,33,33,21,63.64,100.0,100.0,0,66,0,0,0,80.8,23.89,52.13,1.8079973009790273
8,20,52,48,38,38,38,38,25,65.79,100.0,100.0,0,76,0,0,0,83.62,27.04,51.18,1.8361775762652233
8,20,58,48,27,27,27,27,18,66.67,100.0,100.0,0,54,0,0,0,80.08,24.32,50.9,1.8008207615887615
10,20,58,48,25,25,25,25,16,64.0,100.0,100.0,0,50,0,0,0,79.68,24.32,50.5,1.7968040011789865
5,40,55,48,26,26,26,26,19,73.08,100.0,100.0,0,52,0,0,0,74.49,22.46,47.54,1.7448933533007127
5,20,58,48,27,27,27,27,17,62.96,100.0,100.0,0,54,0,0,0,75.41,23.77,46.88,1.7541223264755708
10,20,52,48,37,37,37,37,22,59.46,100.0,100.0,0,74,0,0,0,78.37,26.71,46.32,1.7836623571082466
5,50,52,48,31,31,31,31,19,61.29,100.0,100.0,0,62,0,0,0,69.69,19.53,46.25,1.6968574183611493
5,30,55,48,28,28,28,28,19,67.86,100.0,100.0,0,56,0,0,0,75.43,24.63,45.88,1.7543427172950374
5,40,52,48,30,30,30,30,22,73.33,100.0,100.0,0,60,0,0,0,72.18,22.46,45.22,1.7217621258080522
12,20,58,48,23,23,23,23,14,60.87,100.0,100.0,0,46,0,0,0,69.13,21.04,43.88,1.6913357022574727
5,30,58,48,23,23,23,23,15,65.22,100.0,100.0,0,46,0,0,0,73.05,24.32,43.87,1.7305325100107247
5,50,55,48,27,27,27,27,17,62.96,100.0,100.0,0,54,0,0,0,65.35,19.53,41.91,1.6534998921236075
8,30,55,48,27,27,27,27,18,66.67,100.0,100.0,0,54,0,0,0,70.26,23.89,41.59,1.7025959002650295
5,50,58,48,23,23,23,23,15,65.22,100.0,100.0,0,46,0,0,0,64.83,19.53,41.4,1.6483248661220025
12,20,52,48,35,35,35,35,20,57.14,100.0,100.0,0,70,0,0,0,69.14,23.12,41.4,1.6914232578106447
