fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,30,52,48,32,31,32,32,18,56.25,100.0,103.23,25,39,0,0,0,76.82,7.55,67.91,1.7681544993401803
5,20,52,48,37,36,37,37,21,56.76,100.0,102.78,32,42,0,0,0,70.78,6.58,63.02,1.707772687441868
8,20,52,48,31,30,31,31,17,54.84,100.0,103.33,25,37,0,0,0,71.23,7.38,62.54,1.7123488490359413
15,20,52,48,32,31,32,32,19,59.38,100.0,103.23,23,41,0,0,0,69.14,7.38,60.44,1.6913539983331407
12,40,52,48,29,28,29,29,16,55.17,100.0,103.57,24,34,0,0,0,67.99,7.27,59.44,1.6798564917081007
15,60,52,48,23,22,23,23,15,65.22,100.0,104.55,18,28,0,0,0,70.93,11.6,57.24,1.7093116235870731
10,20,52,48,31,30,31,31,15,48.39,100.0,103.33,23,39,0,0,0,65.77,7.37,57.09,1.657747206264336
15,50,58,48,18,18,18,18,10,55.56,100.0,100.0,14,22,0,0,0,65.37,7.52,56.34,1.653705937753926
12,50,52,48,26,25,26,26,14,53.85,100.0,104.0,22,30,0,0,0,65.05,7.88,55.79,1.650498218553645
12,40,58,48,19,19,19,19,9,47.37,100.0,100.0,13,25,0,0,0,65.14,7.94,55.62,1.651441205330596
12,20,52,48,30,29,30,30,16,53.33,100.0,103.45,22,38,0,0,0,64.41,7.53,55.55,1.644143242414818
15,60,58,48,17,17,17,17,11,64.71,100.0,100.0,12,22,0,0,0,67.91,10.67,55.11,1.6790934106777993
5,30,58,48,24,24,24,24,11,45.83,100.0,100.0,14,34,0,0,0,64.99,8.71,54.54,1.6499464429548645
5,40,58,48,24,24,24,24,12,50.0,100.0,100.0,17,31,0,0,0,64.68,8.56,54.4,1.6467621993095325
15,60,55,48,21,20,21,21,13,61.9,100.0,105.0,14,28,0,0,0,68.19,11.76,54.33,1.6819436562287753
5,40,52,48,31,30,31,31,14,45.16,100.0,103.33,25,37,0,0,0,65.18,9.31,54.18,1.6518470859043997
15,50,52,48,25,24,25,25,13,52.0,100.0,104.17,18,32,0,0,0,62.61,7.52,53.79,1.6260586320110133
15,40,52,48,26,25,26,26,14,53.85,100.0,104.0,21,31,0,0,0,63.17,8.38,53.31,1.6317404685229535
5,20,58,48,26,26,26,26,14,53.85,100.0,100.0,16,36,0,0,0,62.19,7.58,53.09,1.6218630121028799
10,40,52,48,29,28,29,29,15,51.72,100.0,103.57,22,36,0,0,0,62.56,8.28,52.8,1.625619892436905
12,40,55,48,24,23,24,24,12,50.0,100.0,104.35,17,31,0,0,0,62.14,8.75,51.86,1.6214087256501266
12,60,55,48,22,21,22,22,12,54.55,100.0,104.76,17,27,0,0,0,62.4,9.0,51.84,1.6239868022903932
10,50,55,48,24,23,24,24,12,50.0,100.0,104.35,19,29,0,0,0,60.88,7.83,51.71,1.6088213194744039
10,50,58,48,19,19,19,19,10,52.63,100.0,100.0,14,24,0,0,0,60.36,7.83,50.96,1.603557234905513
15,30,55,48,27,26,27,27,15,55.56,100.0,103.85,22,32,0,0,0,58.99,7.24,50.5,1.5898752558827183
10,60,55,48,22,21,22,22,12,54.55,100.0,104.76,17,27,0,0,0,61.41,9.44,50.32,1.6141473183347412
12,60,52,48,24,23,24,24,13,54.17,100.0,104.35,20,28,0,0,0,62.9,10.93,50.01,1.6289901465825576
10,40,58,48,21,21,21,21,9,42.86,100.0,100.0,15,27,0,0,0,60.12,8.45,49.97,1.6011802771369732
8,50,58,48,20,20,20,20,9,45.0,100.0,100.0,15,25,0,0,0,59.74,8.3,49.78,1.5974470878800675
8,60,55,48,22,21,22,22,12,54.55,100.0,104.76,17,27,0,0,0,60.46,9.15,49.71,1.6045915373049382
12,60,58,48,18,18,18,18,10,55.56,100.0,100.0,14,22,0,0,0,61.0,9.78,49.27,1.609989866502779
