fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
8,20,52,48,37,36,37,37,22,59.46,100.0,102.78,31,43,0,0,0,53.19,6.79,45.18,1.5319191171294317
10,20,52,48,37,36,37,37,21,56.76,100.0,102.78,30,44,0,0,0,48.39,6.79,40.37,1.4838815562386056
8,20,55,48,31,31,31,31,19,61.29,100.0,100.0,24,38,0,0,0,47.56,6.79,39.41,1.4756351395791392
10,20,55,48,31,31,31,31,17,54.84,100.0,100.0,23,39,0,0,0,44.88,6.79,36.72,1.4487657809302341
10,20,58,48,28,28,28,28,15,53.57,100.0,100.0,20,36,0,0,0,41.78,6.79,33.62,1.4177588628643165
5,20,52,48,40,39,40,40,21,52.5,100.0,102.56,31,49,0,0,0,40.16,6.52,32.46,1.4015641951800446
8,20,58,48,28,28,28,28,16,57.14,100.0,100.0,18,38,0,0,0,39.76,6.79,31.61,1.3976206306406032
15,50,52,48,27,26,27,27,15,55.56,100.0,103.85,21,33,0,0,0,38.3,6.93,30.18,1.3829963234548068
5,20,58,48,28,28,28,28,16,57.14,100.0,100.0,17,39,0,0,0,37.59,6.79,29.44,1.3759278630845744
12,20,52,48,36,35,36,36,15,41.67,100.0,102.86,30,42,0,0,0,38.37,7.91,29.02,1.383712621923464
10,50,52,48,27,26,27,27,16,59.26,100.0,103.85,18,36,0,0,0,37.34,7.77,28.21,1.3733804902100828
12,40,52,48,29,28,29,29,15,51.72,100.0,103.57,23,35,0,0,0,37.12,7.68,28.08,1.3712033133248578
5,60,55,48,28,27,28,28,13,46.43,100.0,103.7,21,35,0,0,0,35.26,6.52,27.61,1.3525582353067704
10,60,52,48,27,26,27,27,15,55.56,100.0,103.85,20,34,0,0,0,35.21,6.82,27.22,1.352130351957802
5,60,52,48,30,29,30,30,15,50.0,100.0,103.45,25,35,0,0,0,35.32,6.96,27.14,1.3532430597859255
10,50,55,48,25,24,25,25,13,52.0,100.0,104.17,19,31,0,0,0,35.45,7.12,27.12,1.3545016375414278
15,40,52,48,26,25,26,26,14,53.85,100.0,104.0,20,32,0,0,0,35.84,7.99,26.45,1.3584216047246345
8,50,55,48,26,25,26,26,13,50.0,100.0,104.0,20,32,0,0,0,36.0,8.23,26.32,1.3599848455579853
5,20,55,48,32,32,32,32,19,59.38,100.0,100.0,21,43,0,0,0,37.36,9.31,26.19,1.3735806484198656
12,20,58,48,26,26,26,26,11,42.31,100.0,100.0,18,34,0,0,0,33.81,6.38,26.16,1.338142668474561
15,40,55,48,25,24,25,25,13,52.0,100.0,104.17,18,32,0,0,0,34.18,7.09,25.88,1.3418169348450277
12,20,55,48,30,30,30,30,12,40.0,100.0,100.0,22,38,0,0,0,34.15,7.14,25.58,1.3414946561396808
12,60,55,48,25,24,25,25,15,60.0,100.0,104.17,20,30,0,0,0,32.84,6.38,25.39,1.328368225081656
8,60,52,48,27,26,27,27,14,51.85,100.0,103.85,22,32,0,0,0,35.34,8.93,24.82,1.3533749253815646
8,50,52,48,30,29,30,30,15,50.0,100.0,103.45,25,35,0,0,0,34.41,8.23,24.71,1.344147211813642
10,40,58,48,23,23,23,23,12,52.17,100.0,100.0,18,28,0,0,0,31.94,6.38,24.29,1.31942212623095
10,60,55,48,25,24,25,25,13,52.0,100.0,104.17,19,31,0,0,0,32.86,7.4,24.19,1.328574979130901
12,50,55,48,25,24,25,25,12,48.0,100.0,104.17,20,30,0,0,0,33.83,8.35,24.02,1.338311124742751
5,30,52,48,37,36,37,37,20,54.05,100.0,102.78,29,45,0,0,0,34.8,9.21,23.89,1.348014082948668
8,40,52,48,33,32,33,33,14,42.42,100.0,103.12,26,40,0,0,0,33.08,7.92,23.74,1.330837189346654
5,30,55,48,32,31,32,32,17,53.12,100.0,103.23,26,38,0,0,0,33.07,8.08,23.54,1.330744321117277
12,40,58,48,21,21,21,21,12,57.14,100.0,100.0,15,27,0,0,0,31.11,7.15,22.53,1.3111285787647573
15,60,58,48,18,18,18,18,11,61.11,100.0,100.0,14,22,0,0,0,30.19,6.38,22.53,1.3018559218588033
5,50,52,48,35,34,35,35,14,40.0,100.0,102.94,28,42,0,0,0,33.22,9.05,22.5,1.3321742708383815
12,50,52,48,27,26,27,27,13,48.15,100.0,103.85,21,33,0,0,0,33.07,8.99,22.48,1.330746148746775
12,60,52,48,26,25,26,26,16,61.54,100.0,104.0,20,32,0,0,0,30.77,7.45,22.03,1.3076706887360907
5,40,58,48,25,25,25,25,13,52.0,100.0,100.0,19,31,0,0,0,31.57,8.02,21.95,1.3156757102088763
15,60,55,48,23,22,23,23,12,52.17,100.0,104.55,18,28,0,0,0,30.77,7.61,21.87,1.3077430310316587
15,20,58,48,24,24,24,24,10,41.67,100.0,100.0,16,32,0,0,0,30.34,7.39,21.47,1.303435326301519
15,30,55,48,27,26,27,27,11,40.74,100.0,103.85,20,34,0,0,0,29.49,6.98,21.3,1.2948824469426472
10,40,52,48,31,30,31,31,14,45.16,100.0,103.33,25,37,0,0,0,30.97,8.63,20.79,1.309712814119632
8,60,55,48,26,25,26,26,12,46.15,100.0,104.0,20,32,0,0,0,29.88,8.29,20.14,1.2987868370308973
8,40,55,48,30,29,30,30,12,40.0,100.0,103.45,25,35,0,0,0,29.44,7.92,20.11,1.2944451801045675
