fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,52,48,35,35,35,35,21,60.0,100.0,100.0,31,39,0,0,0,81.21,8.98,70.44,1.8121489609520895
8,20,55,48,26,26,26,26,17,65.38,100.0,100.0,17,35,0,0,0,78.7,7.83,69.3,1.7869601447884307
15,40,55,48,21,21,21,21,14,66.67,100.0,100.0,20,22,0,0,0,66.97,10.08,54.88,1.6697175181310329
5,20,55,48,30,30,30,30,18,60.0,100.0,100.0,24,36,0,0,0,65.75,9.12,54.8,1.6574910671807257
5,30,55,48,27,27,27,27,16,59.26,100.0,100.0,23,31,0,0,0,65.44,9.76,53.72,1.6543546426756317
12,30,55,48,24,24,24,24,15,62.5,100.0,100.0,22,26,0,0,0,64.55,9.08,53.65,1.645450064516726
15,30,52,48,27,27,27,27,16,59.26,100.0,100.0,25,29,0,0,0,62.99,8.62,52.65,1.6299261456864722
15,40,52,48,24,24,24,24,14,58.33,100.0,100.0,23,25,0,0,0,62.37,8.81,51.79,1.6236999173589557
8,20,58,48,24,24,24,24,15,62.5,100.0,100.0,15,33,0,0,0,60.05,8.4,49.98,1.6005118018978646
10,30,55,48,24,24,24,24,15,62.5,100.0,100.0,18,30,0,0,0,60.71,9.08,49.81,1.6071027643087432
15,30,58,48,22,22,22,22,12,54.55,100.0,100.0,17,27,0,0,0,59.37,9.17,48.36,1.593653746602357
15,60,52,48,20,20,20,20,12,60.0,100.0,100.0,17,23,0,0,0,57.11,7.68,47.89,1.571103725212775
15,60,55,48,19,19,19,19,12,63.16,100.0,100.0,17,21,0,0,0,56.61,7.68,47.39,1.56609776886902
5,20,58,48,27,27,27,27,15,55.56,100.0,100.0,17,37,0,0,0,57.21,8.4,47.14,1.5721249727722353
15,50,55,48,19,19,19,19,12,63.16,100.0,100.0,18,20,0,0,0,56.42,8.02,46.79,1.5642182967758407
12,20,55,48,25,25,25,25,16,64.0,100.0,100.0,19,31,0,0,0,57.68,9.08,46.78,1.5768045716700758
5,40,55,48,26,26,26,26,14,53.85,100.0,100.0,18,34,0,0,0,59.74,10.88,46.68,1.5974079922506585
10,40,55,48,24,24,24,24,13,54.17,100.0,100.0,21,27,0,0,0,57.57,9.09,46.66,1.5756772955150562
12,60,52,48,21,21,21,21,12,57.14,100.0,100.0,19,23,0,0,0,55.8,7.68,46.58,1.5580269102179023
15,40,58,48,20,20,20,20,12,60.0,100.0,100.0,18,22,0,0,0,57.84,10.02,45.82,1.5783817514417362
8,40,55,48,24,24,24,24,14,58.33,100.0,100.0,17,31,0,0,0,56.16,8.91,45.47,1.5616181405606606
15,50,58,48,18,18,18,18,12,66.67,100.0,100.0,15,21,0,0,0,54.29,7.68,45.07,1.542883945110224
15,30,55,48,24,24,24,24,13,54.17,100.0,100.0,20,28,0,0,0,55.24,9.38,43.98,1.5523747072016834
12,20,52,48,29,29,29,29,16,55.17,100.0,100.0,21,37,0,0,0,56.15,10.96,43.0,1.5615225176481704
10,50,55,48,21,21,21,21,13,61.9,100.0,100.0,17,25,0,0,0,54.89,10.02,42.88,1.5489454889859586
5,40,58,48,24,24,24,24,12,50.0,100.0,100.0,17,31,0,0,0,53.28,9.17,42.27,1.5327550441004612
10,60,55,48,19,19,19,19,11,57.89,100.0,100.0,16,22,0,0,0,51.52,8.02,41.89,1.5152048719118478
15,20,55,48,24,24,24,24,15,62.5,100.0,100.0,18,30,0,0,0,52.67,9.08,41.77,1.5266725670656773
12,50,52,48,23,23,23,23,15,65.22,100.0,100.0,19,27,0,0,0,52.18,9.09,41.27,1.521831456920262
5,40,52,48,32,32,32,32,15,46.88,100.0,100.0,25,39,0,0,0,55.09,11.56,41.21,1.5508973379242925
10,20,55,48,26,26,26,26,15,57.69,100.0,100.0,17,35,0,0,0,52.06,9.08,41.16,1.5205993725756568
12,40,55,48,23,23,23,23,12,52.17,100.0,100.0,21,25,0,0,0,53.93,10.78,40.99,1.5392682245235478
8,30,55,48,24,24,24,24,14,58.33,100.0,100.0,15,33,0,0,0,52.76,9.86,40.92,1.5275558447725721
10,20,58,48,24,24,24,24,13,54.17,100.0,100.0,16,32,0,0,0,51.52,9.17,40.51,1.5151835651621974
10,60,58,48,19,19,19,19,11,57.89,100.0,100.0,17,21,0,0,0,50.12,8.02,40.49,1.5011847694756664
5,50,52,48,28,28,28,28,14,50.0,100.0,100.0,25,31,0,0,0,53.72,11.26,40.21,1.5372034310008087
8,60,55,48,22,22,22,22,12,54.55,100.0,100.0,19,25,0,0,0,52.04,10.02,40.02,1.520421557160226
15,50,52,48,22,22,22,22,13,59.09,100.0,100.0,19,25,0,0,0,50.25,8.69,39.83,1.5025344138392465
8,20,52,48,34,34,34,34,18,52.94,100.0,100.0,24,44,0,0,0,50.97,9.88,39.11,1.5096640904340533
12,40,52,48,25,25,25,25,13,52.0,100.0,100.0,22,28,0,0,0,52.51,11.51,38.7,1.525145742817048
15,20,58,48,23,23,23,23,12,52.17,100.0,100.0,18,28,0,0,0,49.7,9.17,38.69,1.4969772012015752
12,60,58,48,19,19,19,19,11,57.89,100.0,100.0,17,21,0,0,0,48.22,8.02,38.59,1.4821864085622312
8,60,58,48,21,21,21,21,11,52.38,100.0,100.0,19,23,0,0,0,49.57,10.02,37.55,1.495674196951529
8,60,52,48,24,24,24,24,13,54.17,100.0,100.0,19,29,0,0,0,49.35,9.94,37.42,1.4935088641314462
10,40,58,48,23,23,23,23,11,47.83,100.0,100.0,19,27,0,0,0,48.22,9.17,37.22,1.4822337595802282
12,20,58,48,24,24,24,24,12,50.0,100.0,100.0,17,31,0,0,0,48.22,9.35,37.01,1.4822441013384848
10,50,58,48,21,21,21,21,11,52.38,100.0,100.0,17,25,0,0,0,48.94,10.02,36.93,1.489443660137501
10,20,52,48,33,33,33,33,18,54.55,100.0,100.0,20,46,0,0,0,46.73,8.44,36.6,1.4672555887313392
8,30,58,48,23,23,23,23,12,52.17,100.0,100.0,15,31,0,0,0,48.46,10.15,36.28,1.4846460492607123
