fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,52,48,41,41,41,41,22,53.66,100.0,100.0,31,51,0,0,0,55.88,11.69,41.85,1.5587925996226197
5,20,55,48,36,36,36,36,20,55.56,100.0,100.0,30,42,0,0,0,51.96,11.82,37.78,1.5196360031859748
12,60,55,48,23,23,23,23,12,52.17,100.0,100.0,19,27,0,0,0,41.92,7.92,32.42,1.41922748947921
15,50,55,48,25,25,25,25,13,52.0,100.0,100.0,22,28,0,0,0,44.46,10.32,32.08,1.4446136152982683
15,50,52,48,32,32,32,32,19,59.38,100.0,100.0,26,38,0,0,0,42.35,10.19,30.12,1.4234802171364227
8,20,52,48,39,39,39,39,18,46.15,100.0,100.0,32,46,0,0,0,44.39,12.67,29.19,1.4439400681150325
5,30,55,48,35,35,35,35,17,48.57,100.0,100.0,29,41,0,0,0,42.77,11.38,29.11,1.4276663318001062
15,60,55,48,23,23,23,23,12,52.17,100.0,100.0,18,28,0,0,0,39.42,9.14,28.45,1.3941549928928463
5,30,52,48,41,41,41,41,17,41.46,100.0,100.0,35,47,0,0,0,41.63,11.25,28.13,1.4163180712418966
12,60,58,48,20,20,20,20,10,50.0,100.0,100.0,18,22,0,0,0,38.47,8.8,27.92,1.384712199790265
15,60,58,48,20,20,20,20,10,50.0,100.0,100.0,17,23,0,0,0,36.57,7.4,27.69,1.3656518263736854
5,30,58,48,31,31,31,31,14,45.16,100.0,100.0,27,35,0,0,0,40.73,10.94,27.6,1.4072641620840023
5,20,58,48,33,33,33,33,16,48.48,100.0,100.0,27,39,0,0,0,40.08,11.02,26.86,1.4008369237185418
12,30,52,48,37,37,37,37,20,54.05,100.0,100.0,31,43,0,0,0,42.31,13.0,26.71,1.4230908304495518
8,20,55,48,36,36,36,36,16,44.44,100.0,100.0,28,44,0,0,0,38.26,11.52,24.44,1.3826441292390876
15,50,58,48,21,21,21,21,11,52.38,100.0,100.0,17,25,0,0,0,35.93,10.18,23.72,1.3593012594955645
12,40,52,48,34,34,34,34,20,58.82,100.0,100.0,28,40,0,0,0,39.0,13.97,22.24,1.3900450515208091
5,50,58,48,26,26,26,26,12,46.15,100.0,100.0,23,29,0,0,0,37.16,12.55,22.1,1.371597451738843
10,40,52,48,35,35,35,35,20,57.14,100.0,100.0,30,40,0,0,0,37.27,13.0,21.67,1.3726619330579473
15,20,52,48,39,39,39,39,19,48.72,100.0,100.0,32,46,0,0,0,39.25,14.67,21.64,1.3924627084734789
10,20,52,48,40,40,40,40,18,45.0,100.0,100.0,33,47,0,0,0,34.94,11.3,21.38,1.3493751812791657
5,50,55,48,30,30,30,30,13,43.33,100.0,100.0,25,35,0,0,0,37.2,14.05,20.34,1.3720344103422362
12,60,52,48,31,31,31,31,16,51.61,100.0,100.0,24,38,0,0,0,35.78,13.2,19.94,1.3577578433231827
10,60,55,48,25,25,25,25,11,44.0,100.0,100.0,22,28,0,0,0,32.51,11.06,19.24,1.325125179858909
