fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,50,52,48,27,26,27,27,14,51.85,100.0,103.85,24,30,0,0,0,197.42,35.24,155.32,2.974203210019401
5,50,55,48,22,21,22,22,11,50.0,100.0,104.76,19,25,0,0,0,171.54,35.12,129.64,2.715422945066492
10,20,52,48,28,27,28,28,15,53.57,100.0,103.7,27,29,0,0,0,157.2,26.02,126.15,2.5719645688999164
5,20,52,48,34,33,34,34,19,55.88,100.0,103.03,31,37,0,0,0,154.75,30.87,117.86,2.547535582198804
8,20,58,48,20,19,20,20,13,65.0,100.0,105.26,19,21,0,0,0,154.58,30.87,117.79,2.5457879149905267
5,20,55,48,29,28,29,29,17,58.62,100.0,103.57,25,33,0,0,0,151.3,30.87,114.43,2.5130352088641734
15,50,52,48,22,21,22,22,15,68.18,100.0,104.76,20,24,0,0,0,142.44,26.76,110.58,2.424433194883793
10,20,58,48,20,19,20,20,12,60.0,100.0,105.26,19,21,0,0,0,144.14,30.87,107.36,2.441436420904703
5,50,58,48,20,19,20,20,11,55.0,100.0,105.26,17,23,0,0,0,146.64,35.12,104.76,2.4663963449834685
5,30,52,48,32,31,32,32,16,50.0,100.0,103.23,31,33,0,0,0,135.42,28.44,101.45,2.354218736351746
10,60,52,48,24,23,24,24,15,62.5,100.0,104.35,21,27,0,0,0,138.61,33.73,98.35,2.3861149327767057
12,60,52,48,21,20,21,21,12,57.14,100.0,105.0,19,23,0,0,0,130.48,27.02,98.3,2.30477516775577
8,50,52,48,25,24,25,25,15,60.0,100.0,104.17,23,27,0,0,0,144.41,38.74,98.13,2.44407332328703
12,50,52,48,24,23,24,24,14,58.33,100.0,104.35,20,28,0,0,0,132.39,30.68,95.79,2.323870717908795
12,20,58,48,20,19,20,20,10,50.0,100.0,105.26,20,20,0,0,0,132.33,30.87,95.55,2.3233132192237447
12,20,55,48,23,22,23,23,10,43.48,100.0,104.55,21,25,0,0,0,128.02,30.87,91.2,2.280190151059701
5,20,58,48,24,23,24,24,14,58.33,100.0,104.35,21,27,0,0,0,127.67,30.87,90.84,2.27667607592768
5,30,58,48,22,21,22,22,11,50.0,100.0,104.76,21,23,0,0,0,125.56,30.87,88.75,2.255618059622379
5,30,55,48,26,25,26,26,12,46.15,100.0,104.0,24,28,0,0,0,124.69,30.87,87.84,2.246889078681981
12,20,52,48,27,26,27,27,12,44.44,100.0,103.85,25,29,0,0,0,125.53,32.56,86.66,2.2553496072051478
15,40,52,48,26,25,26,26,14,53.85,100.0,104.0,24,28,0,0,0,122.2,30.97,85.24,2.2219518364145805
15,40,55,48,20,19,20,20,10,50.0,100.0,105.26,17,23,0,0,0,119.55,28.84,85.21,2.1954580369360794
15,50,55,48,18,17,18,18,11,61.11,100.0,105.88,16,20,0,0,0,115.63,27.67,82.73,2.156303667285788
5,60,52,48,24,23,24,24,14,58.33,100.0,104.35,21,27,0,0,0,126.38,36.95,82.26,2.2638359053185932
15,20,55,48,23,22,23,23,12,52.17,100.0,104.55,22,24,0,0,0,120.88,32.54,82.06,2.20882698660424
10,20,55,48,24,23,24,24,11,45.83,100.0,104.35,20,28,0,0,0,118.37,30.87,81.53,2.1836581312484515
8,30,58,48,22,21,22,22,12,54.55,100.0,104.76,22,22,0,0,0,117.85,30.87,81.04,2.1784638451892073
8,30,52,48,30,29,30,30,17,56.67,100.0,103.45,28,32,0,0,0,115.08,28.96,80.49,2.1507663485496527
8,30,55,48,25,24,25,25,12,48.0,100.0,104.17,22,28,0,0,0,112.97,30.87,76.13,2.129667852519938
12,50,55,48,19,18,19,19,9,47.37,100.0,105.56,15,23,0,0,0,111.3,29.63,76.02,2.1130211020109697
5,60,55,48,20,19,20,20,11,55.0,100.0,105.26,16,24,0,0,0,120.81,37.73,75.79,2.208055375268564
8,20,55,48,24,23,24,24,13,54.17,100.0,104.35,21,27,0,0,0,111.23,30.87,74.4,2.112283913046413
15,20,52,48,27,26,27,27,15,55.56,100.0,103.85,26,28,0,0,0,110.08,31.69,72.24,2.1007998315712166
10,30,52,48,29,28,29,29,15,51.72,100.0,103.57,28,30,0,0,0,114.14,35.87,71.28,2.1414057500033876
10,60,55,48,19,18,19,19,11,57.89,100.0,105.56,15,23,0,0,0,109.92,32.95,70.66,2.099164544922145
10,60,58,48,17,16,17,17,10,58.82,100.0,106.25,13,21,0,0,0,100.26,26.91,68.29,2.002634042918767
15,20,58,48,20,19,20,20,11,55.0,100.0,105.26,19,21,0,0,0,103.92,30.87,67.13,2.0391618232423903
5,40,55,48,24,23,24,24,11,45.83,100.0,104.35,22,26,0,0,0,102.14,31.71,64.3,2.021390313251285
15,40,58,48,19,18,19,19,10,52.63,100.0,105.56,15,23,0,0,0,98.32,28.84,64.0,1.9832362236535128
12,60,58,48,16,15,16,16,9,56.25,100.0,106.67,15,17,0,0,0,95.51,26.91,63.56,1.9551182740804773
8,60,52,48,25,24,25,25,13,52.0,100.0,104.17,21,29,0,0,0,110.46,39.43,63.36,2.1045830265139345
8,50,55,48,21,20,21,21,11,52.38,100.0,105.0,19,23,0,0,0,109.68,39.5,62.52,2.096753929905342
12,60,55,48,17,16,17,17,10,58.82,100.0,106.25,14,20,0,0,0,94.57,27.94,61.35,1.9457014555358525
10,30,55,48,22,21,22,22,10,45.45,100.0,104.76,22,22,0,0,0,102.78,35.43,60.5,2.0278317419424217
5,40,58,48,21,20,21,21,11,52.38,100.0,105.0,18,24,0,0,0,98.13,31.71,60.32,1.9812918332934748
8,20,52,48,29,28,29,29,16,55.17,100.0,103.57,26,32,0,0,0,97.13,30.87,60.26,1.9713389026032933
5,40,52,48,31,30,31,31,15,48.39,100.0,103.33,29,33,0,0,0,95.38,32.06,57.08,1.9538456331935725
