fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
5,20,55,48,32,32,32,32,22,68.75,100.0,100.0,28,36,0,0,0,82.16,22.95,54.62,1.8216072205472922
12,20,52,48,35,35,35,35,22,62.86,100.0,100.0,31,39,0,0,0,76.46,22.84,49.05,1.7645673129136863
12,20,55,48,26,26,26,26,15,57.69,100.0,100.0,20,32,0,0,0,69.88,20.44,45.35,1.6988487869215
15,40,52,48,24,24,24,24,16,66.67,100.0,100.0,22,26,0,0,0,54.26,19.53,30.82,1.542559219464046
15,50,52,48,23,23,23,23,13,56.52,100.0,100.0,20,26,0,0,0,49.32,19.53,25.89,1.4932033870384214
10,50,52,48,25,25,25,25,16,64.0,100.0,100.0,20,30,0,0,0,48.0,19.53,24.57,1.480010237273095
10,40,52,48,26,26,26,26,16,61.54,100.0,100.0,21,31,0,0,0,47.97,20.94,22.84,1.4796556061726847
5,50,52,48,31,31,31,31,17,54.84,100.0,100.0,27,35,0,0,0,46.13,19.63,22.58,1.4613088092555895
12,60,52,48,23,23,23,23,14,60.87,100.0,100.0,19,27,0,0,0,44.98,19.53,21.54,1.4497897822907888
10,20,55,48,29,29,29,29,15,51.72,100.0,100.0,23,35,0,0,0,52.34,25.96,21.18,1.5233506593151327
5,50,55,48,27,27,27,27,16,59.26,100.0,100.0,25,29,0,0,0,43.85,19.53,20.41,1.43845004023965
15,60,52,48,21,21,21,21,14,66.67,100.0,100.0,19,23,0,0,0,43.42,19.53,19.98,1.4341703427072485
5,20,52,48,41,41,41,41,22,53.66,100.0,100.0,31,51,0,0,0,50.32,25.49,19.73,1.5032180705157356
10,60,52,48,24,24,24,24,13,54.17,100.0,100.0,20,28,0,0,0,42.98,19.53,19.54,1.4297534227187438
8,60,52,48,26,26,26,26,15,57.69,100.0,100.0,25,27,0,0,0,43.3,20.41,18.8,1.4329541121856986
5,20,55,45,29,29,29,29,15,51.72,100.0,100.0,26,32,0,0,0,45.42,22.95,17.88,1.4542288152935414
12,30,52,48,25,25,25,25,14,56.0,100.0,100.0,22,28,0,0,0,47.6,24.94,17.66,1.4759564423917824
5,20,58,45,25,25,25,25,14,56.0,100.0,100.0,22,28,0,0,0,45.8,23.52,17.58,1.4580333924431088
15,20,52,48,31,31,31,31,15,48.39,100.0,100.0,26,36,0,0,0,47.08,24.69,17.45,1.4707986559482802
5,30,55,48,28,28,28,28,15,53.57,100.0,100.0,23,33,0,0,0,46.59,24.36,17.36,1.4659494765177632
8,20,55,48,31,31,31,31,18,58.06,100.0,100.0,24,38,0,0,0,50.33,28.22,16.47,1.5032728397496107
10,50,55,48,22,22,22,22,13,59.09,100.0,100.0,18,26,0,0,0,39.28,19.53,15.84,1.392785711521986
12,20,58,48,23,23,23,23,13,56.52,100.0,100.0,15,31,0,0,0,41.71,21.74,15.62,1.4171210518741573
8,30,52,48,33,33,33,33,18,54.55,100.0,100.0,27,39,0,0,0,45.42,25.06,15.35,1.4542321115972279
10,20,52,48,37,37,37,37,19,51.35,100.0,100.0,28,46,0,0,0,49.25,28.55,14.99,1.4925081034161376
12,20,55,45,22,22,22,22,13,59.09,100.0,100.0,18,26,0,0,0,42.68,23.55,14.42,1.4267846268166564
12,40,55,48,23,23,23,23,13,56.52,100.0,100.0,20,26,0,0,0,39.03,20.56,14.36,1.3903429981460413
15,20,55,48,25,25,25,25,12,48.0,100.0,100.0,20,30,0,0,0,41.27,22.93,13.76,1.4127369043304674
12,50,55,48,22,22,22,22,12,54.55,100.0,100.0,18,26,0,0,0,36.82,19.53,13.39,1.3682041124485764
8,30,55,48,27,27,27,27,13,48.15,100.0,100.0,21,33,0,0,0,40.18,23.62,11.83,1.401767515708816
12,40,52,48,26,26,26,26,14,53.85,100.0,100.0,21,31,0,0,0,37.36,21.45,11.62,1.3735778294356966
5,20,58,48,27,27,27,27,14,51.85,100.0,100.0,18,36,0,0,0,39.81,23.52,11.59,1.3980682311753747
15,40,55,48,22,22,22,22,12,54.55,100.0,100.0,19,25,0,0,0,35.55,20.14,11.38,1.3555138197741545
10,30,55,48,25,25,25,25,14,56.0,100.0,100.0,23,27,0,0,0,40.24,24.06,11.37,1.4023883077847203
12,50,52,48,24,24,24,24,14,58.33,100.0,100.0,21,27,0,0,0,39.22,23.49,11.03,1.3922494087821238
8,20,52,48,38,38,38,38,20,52.63,100.0,100.0,29,47,0,0,0,45.48,29.01,10.66,1.4547508822929291
