fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_expr,train_score,train_return_pct,test_score,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_cap_reject_entries,oos_equity_after_fold
0,1745236800000,1755302400000,1755316800000,1757030400000,(trend_gap_x30 mul rsi_n_x4),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
1,1746964800000,1757030400000,1757044800000,1758758400000,(dist_ma20_x50 div abs(abs(vol20_x20))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
2,1748692800000,1758758400000,1758772800000,1760486400000,neg(tanh((abs(regime_flag) sub (dist_ma7_x50 min 1.00)))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
3,1750420800000,1760486400000,1760500800000,1762214400000,(tanh(((ret1_x50 sub dist_ma20_x50) div -1.00)) min ret1_x50),3.25,3.75,-10.5,0.0,0.0,0,0.0,0.0,2,1.0
4,1752148800000,1762214400000,1762228800000,1763942400000,abs(abs((0.50 mul (dist_ma52_x50 div 2.00)))),3.11,8.01,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
5,1753876800000,1763942400000,1763956800000,1765670400000,((dist_ma52_x50 mul tanh(((dist_ma52_x50 mul tanh((tanh((((dist_ma20_x50 sub rsi_n_x4) sub (1.00 max 1.00)) sub (((((dist_ma52_x50 mul tanh(rsi_n_x4)) sub trend_gap_x30) sub trend_gap_x30) max trend_gap_x30) div vol20_x20))) mul tanh(rsi_n_x4)))) sub trend_gap_x30))) sub trend_gap_x30),4.48,4.98,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
6,1755604800000,1765670400000,1765684800000,1767398400000,(dist_ma52_x50 sub ((regime_flag max dist_ma52_x50) sub trend_gap_x30)),-1.35,10.22,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
7,1757332800000,1767398400000,1767412800000,1769126400000,((-2.00 sub vol20_x20) add (-1.00 add dist_ma20_x50)),2.99,3.49,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
8,1759060800000,1769126400000,1769140800000,1770854400000,vol20_x20,-9.28,2.61,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
9,1760788800000,1770854400000,1770868800000,1772582400000,((-2.00 sub (regime_flag min (-0.50 div (((0.50 min dist_ma20_x50) mul tanh((tanh(-1.00) mul (dist_ma52_x50 max 1.00)))) mul -2.00)))) add abs(ret1_x50)),-6.31,0.86,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
10,1762516800000,1772582400000,1772596800000,1774310400000,(dist_ma20_x50 add tanh((dist_ma52_x50 min 2.00))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,9,1.0
11,1764244800000,1774310400000,1774324800000,1776038400000,tanh((((regime_flag div vol20_x20) max abs(-0.50)) sub abs(vol20_x20))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,10,1.0
