fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_expr,train_score,train_return_pct,test_score,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_cap_reject_entries,oos_equity_after_fold
0,1745236800000,1755302400000,1755316800000,1757030400000,rsi_n_x4,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
1,1746964800000,1757030400000,1757044800000,1758758400000,tanh(abs(abs(dist_ma20_x50))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
2,1748692800000,1758758400000,1758772800000,1760486400000,neg(((rsi_n_x4 sub (dist_ma20_x50 min 2.00)) mul (trend_gap_x30 min 2.00))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
3,1750420800000,1760486400000,1760500800000,1762214400000,(dist_ma20_x50 add tanh((dist_ma52_x50 min 2.00))),-10.5,0.0,5.33,6.06,0.2,2,100.0,100.0,0,1.060632
4,1752148800000,1762214400000,1762228800000,1763942400000,tanh(dist_ma20_x50),6.24,6.98,-1.59,1.07,1.8,1,100.0,100.0,0,1.071984
5,1753876800000,1763942400000,1763956800000,1765670400000,(tanh(1.00) add dist_ma52_x50),7.9,10.12,-5.85,-0.53,4.44,3,33.33,100.0,0,1.066321
6,1755604800000,1765670400000,1765684800000,1767398400000,(dist_ma20_x50 max dist_ma52_x50),3.78,8.8,2.49,7.03,2.12,4,100.0,80.0,1,1.141269
7,1757332800000,1767398400000,1767412800000,1769126400000,tanh(((2.00 mul dist_ma52_x50) add ((abs(-0.50) min abs(trend_gap_x30)) mul abs(-0.50)))),12.04,16.65,-9.78,-2.55,6.03,3,66.67,100.0,0,1.112152
8,1759060800000,1769126400000,1769140800000,1770854400000,dist_ma52_x50,4.7,10.88,1.53,2.03,0.0,1,100.0,100.0,0,1.134775
9,1760788800000,1770854400000,1770868800000,1772582400000,(dist_ma52_x50 div vol20_x20),7.6,14.83,2.86,6.86,3.34,6,100.0,100.0,0,1.212624
10,1762516800000,1772582400000,1772596800000,1774310400000,(dist_ma52_x50 max ((ret1_x50 max dist_ma7_x50) min ((1.00 max vol20_x20) add (-1.00 min dist_ma20_x50)))),9.69,15.54,-15.68,-5.31,8.23,1,0.0,100.0,0,1.148287
11,1764244800000,1774310400000,1774324800000,1776038400000,dist_ma7_x50,3.75,8.93,0.7,2.59,1.58,3,100.0,100.0,0,1.178026
