fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_expr,train_score,train_return_pct,test_score,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_cap_reject_entries,oos_equity_after_fold
0,1745236800000,1755302400000,1755316800000,1757030400000,(tanh(regime_flag) add (neg(0.50) div (vol20_x20 max trend_gap_x30))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
1,1746964800000,1757030400000,1757044800000,1758758400000,-2.00,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
2,1748692800000,1758758400000,1758772800000,1760486400000,dist_ma7_x50,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
3,1750420800000,1760486400000,1760500800000,1762214400000,1.00,-10.5,0.0,-5.14,4.36,7.92,3,66.67,100.0,0,1.043586
4,1752148800000,1762214400000,1762228800000,1763942400000,(((dist_ma20_x50 div (abs(dist_ma7_x50) add -1.00)) sub ret1_x50) max tanh((abs(vol20_x20) sub ret1_x50))),7.73,8.48,-1.98,0.38,1.55,1,100.0,100.0,0,1.047554
5,1753876800000,1763942400000,1763956800000,1765670400000,(((vol20_x20 max trend_gap_x30) sub ((vol20_x20 sub ((trend_gap_x30 sub rsi_n_x4) add (vol20_x20 mul dist_ma7_x50))) sub dist_ma7_x50)) sub (vol20_x20 min dist_ma20_x50)),7.47,10.05,-7.25,-1.87,4.48,3,33.33,100.0,0,1.027917
6,1755604800000,1765670400000,1765684800000,1767398400000,(ret1_x50 mul ((tanh(dist_ma20_x50) mul (trend_gap_x30 mul (tanh((1.00 add dist_ma52_x50)) sub dist_ma20_x50))) mul ((abs((vol20_x20 sub rsi_n_x4)) max ((dist_ma20_x50 mul 1.00) div trend_gap_x30)) max (-1.00 sub rsi_n_x4)))),6.08,8.91,-10.5,0.0,0.0,0,0.0,0.0,0,1.027917
7,1757332800000,1767398400000,1767412800000,1769126400000,(dist_ma52_x50 sub (2.00 min (rsi_n_x4 sub -0.50))),9.1,12.51,-2.39,1.04,2.44,1,100.0,100.0,0,1.038597
8,1759060800000,1769126400000,1769140800000,1770854400000,tanh(((((ret1_x50 max (abs((dist_ma7_x50 min trend_gap_x30)) sub regime_flag)) sub dist_ma7_x50) mul (ret1_x50 add dist_ma52_x50)) min dist_ma7_x50)),5.01,5.51,-10.5,0.0,0.0,0,0.0,0.0,0,1.038597
9,1760788800000,1770854400000,1770868800000,1772582400000,((rsi_n_x4 min (ret1_x50 mul trend_gap_x30)) mul (tanh(dist_ma20_x50) mul (neg(dist_ma52_x50) add (-1.00 add -1.00)))),3.0,7.83,-3.26,-0.64,1.77,2,0.0,100.0,0,1.031956
10,1762516800000,1772582400000,1772596800000,1774310400000,(((((-2.00 div dist_ma20_x50) add vol20_x20) min dist_ma7_x50) sub (((((vol20_x20 add vol20_x20) min dist_ma7_x50) sub ((rsi_n_x4 max -1.00) mul tanh(dist_ma52_x50))) div ((-1.00 add (vol20_x20 add rsi_n_x4)) div tanh((-0.50 add dist_ma20_x50)))) mul tanh(dist_ma52_x50))) div ((-1.00 add (vol20_x20 add rsi_n_x4)) div tanh((-0.50 add 1.00)))),18.33,23.3,-7.23,-1.66,4.23,2,0.0,100.0,0,1.014835
11,1764244800000,1774310400000,1774324800000,1776038400000,((abs((trend_gap_x30 min ret1_x50)) div 1.00) div dist_ma20_x50),-1.03,5.71,-1.64,1.7,2.37,1,100.0,100.0,0,1.032106
