fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_expr,train_score,train_return_pct,test_score,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_cap_reject_entries,oos_equity_after_fold
0,1745236800000,1755302400000,1755316800000,1757030400000,dist_ma20_x50,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
1,1746964800000,1757030400000,1757044800000,1758758400000,((((trend_gap_x30 sub dist_ma52_x50) min 2.00) min (tanh(ret1_x50) div (-0.50 div -0.50))) mul -1.00),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
2,1748692800000,1758758400000,1758772800000,1760486400000,((abs(rsi_n_x4) div dist_ma7_x50) mul abs(regime_flag)),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
3,1750420800000,1760486400000,1760500800000,1762214400000,((((dist_ma20_x50 max dist_ma20_x50) mul tanh(dist_ma7_x50)) add abs(abs(dist_ma7_x50))) max vol20_x20),-10.5,0.0,-7.13,2.69,7.76,2,50.0,100.0,0,1.026851
4,1752148800000,1762214400000,1762228800000,1763942400000,((regime_flag div (regime_flag div dist_ma52_x50)) div (ret1_x50 max dist_ma7_x50)),6.74,7.72,-0.88,2.25,2.19,1,100.0,100.0,0,1.049932
5,1753876800000,1763942400000,1763956800000,1765670400000,(((0.50 sub 0.50) max rsi_n_x4) mul dist_ma7_x50),10.05,14.68,-5.93,4.58,5.19,4,75.0,57.14,3,1.097985
6,1755604800000,1765670400000,1765684800000,1767398400000,((dist_ma20_x50 sub rsi_n_x4) sub rsi_n_x4),17.97,25.29,-10.5,0.0,0.0,0,0.0,0.0,3,1.097985
7,1757332800000,1767398400000,1767412800000,1769126400000,(((-0.50 sub (dist_ma52_x50 sub 0.50)) mul ((rsi_n_x4 add rsi_n_x4) max (trend_gap_x30 min vol20_x20))) div rsi_n_x4),11.96,11.96,-10.5,0.0,0.0,0,0.0,0.0,0,1.097985
8,1759060800000,1769126400000,1769140800000,1770854400000,((dist_ma52_x50 sub trend_gap_x30) add tanh(neg((rsi_n_x4 max (-0.50 mul trend_gap_x30))))),19.48,25.95,-10.5,0.0,0.0,0,0.0,0.0,0,1.097985
9,1760788800000,1770854400000,1770868800000,1772582400000,((((-0.50 mul (-0.50 mul ret1_x50)) mul tanh(dist_ma7_x50)) add ((-2.00 mul (-2.00 mul vol20_x20)) mul vol20_x20)) mul ret1_x50),13.64,19.58,-16.23,-2.64,4.24,1,0.0,20.0,4,1.068947
10,1762516800000,1772582400000,1772596800000,1774310400000,neg(neg(((vol20_x20 add dist_ma7_x50) max (-1.00 sub ret1_x50)))),8.87,23.0,-10.5,0.0,0.0,0,0.0,0.0,12,1.068947
11,1764244800000,1774310400000,1774324800000,1776038400000,vol20_x20,0.34,8.57,-10.5,0.0,0.0,0,0.0,0.0,0,1.068947
