fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_expr,train_score,train_return_pct,test_score,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_cap_reject_entries,oos_equity_after_fold
0,1745236800000,1755302400000,1755316800000,1757030400000,(abs(0.50) add (-2.00 max ((0.50 mul 0.50) div dist_ma20_x50))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
1,1746964800000,1757030400000,1757044800000,1758758400000,((abs(dist_ma20_x50) add dist_ma52_x50) min abs(trend_gap_x30)),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
2,1748692800000,1758758400000,1758772800000,1760486400000,(tanh(neg(rsi_n_x4)) sub ((tanh(dist_ma20_x50) min dist_ma7_x50) min (rsi_n_x4 div (2.00 max regime_flag)))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
3,1750420800000,1760486400000,1760500800000,1762214400000,((abs((regime_flag sub 0.50)) min (1.00 add trend_gap_x30)) min ((dist_ma20_x50 add dist_ma52_x50) div ret1_x50)),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,6,1.0
4,1752148800000,1762214400000,1762228800000,1763942400000,tanh(neg(dist_ma7_x50)),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
5,1753876800000,1763942400000,1763956800000,1765670400000,regime_flag,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
6,1755604800000,1765670400000,1765684800000,1767398400000,rsi_n_x4,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,11,1.0
7,1757332800000,1767398400000,1767412800000,1769126400000,tanh(-0.50),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
8,1759060800000,1769126400000,1769140800000,1770854400000,regime_flag,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
9,1760788800000,1770854400000,1770868800000,1772582400000,abs(dist_ma20_x50),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,11,1.0
10,1762516800000,1772582400000,1772596800000,1774310400000,dist_ma7_x50,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,6,1.0
11,1764244800000,1774310400000,1774324800000,1776038400000,(2.00 max (tanh(-1.00) mul abs(dist_ma52_x50))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,13,1.0
