fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_expr,train_score,train_return_pct,test_score,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_cap_reject_entries,oos_equity_after_fold
0,1745236800000,1755302400000,1755316800000,1757030400000,(dist_ma20_x50 max ret1_x50),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
1,1746964800000,1757030400000,1757044800000,1758758400000,((abs((ret1_x50 min 2.00)) max dist_ma52_x50) add (-2.00 max tanh(abs(regime_flag)))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,0,1.0
2,1748692800000,1758758400000,1758772800000,1760486400000,dist_ma20_x50,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,7,1.0
3,1750420800000,1760486400000,1760500800000,1762214400000,((((trend_gap_x30 sub dist_ma52_x50) min 2.00) min (tanh(ret1_x50) div (-0.50 div -0.50))) mul -1.00),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,5,1.0
4,1752148800000,1762214400000,1762228800000,1763942400000,((abs(rsi_n_x4) div dist_ma7_x50) mul abs(regime_flag)),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,6,1.0
5,1753876800000,1763942400000,1763956800000,1765670400000,((((dist_ma20_x50 max dist_ma20_x50) mul tanh(dist_ma7_x50)) add abs(abs(dist_ma7_x50))) max vol20_x20),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,11,1.0
6,1755604800000,1765670400000,1765684800000,1767398400000,abs((abs((0.50 sub dist_ma7_x50)) min ((dist_ma7_x50 max -1.00) max (-1.00 mul dist_ma20_x50)))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,10,1.0
7,1757332800000,1767398400000,1767412800000,1769126400000,ret1_x50,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,4,1.0
8,1759060800000,1769126400000,1769140800000,1770854400000,dist_ma7_x50,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,2,1.0
9,1760788800000,1770854400000,1770868800000,1772582400000,regime_flag,-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,20,1.0
10,1762516800000,1772582400000,1772596800000,1774310400000,(0.50 max ((tanh(rsi_n_x4) max (-2.00 div rsi_n_x4)) div ((0.50 mul vol20_x20) add dist_ma7_x50))),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,10,1.0
11,1764244800000,1774310400000,1774324800000,1776038400000,((((-0.50 mul rsi_n_x4) mul tanh(dist_ma7_x50)) add ((-2.00 mul vol20_x20) mul -1.00)) mul tanh(regime_flag)),-10.5,0.0,-10.5,0.0,0.0,0,0.0,0.0,3,1.0
