ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
10,30,60,62,38,1.2,96,14,19,6,6,4,66.67,42.86,31.58,6,6,24,8,16,10,33,20.44,10.51,-4.17,1.2043556088424061
7,30,60,58,38,1.2,96,20,22,7,7,5,71.43,35.0,31.82,7,7,30,13,17,19,36,20.69,10.51,-5.08,1.2069105061140166
10,30,52,58,38,1.2,96,23,22,7,7,5,71.43,30.43,31.82,7,7,33,16,17,21,36,20.69,10.51,-5.76,1.2069105061140166
7,30,60,58,42,1.2,96,20,18,9,9,6,66.67,45.0,50.0,9,9,22,11,11,16,24,19.01,12.45,-6.68,1.1900957501243679
10,20,52,62,38,1.2,48,10,6,4,4,3,75.0,40.0,66.67,4,4,9,6,3,7,6,9.58,6.59,-8.99,1.0958352878986817
7,30,52,58,38,1.2,96,24,20,5,5,4,80.0,20.83,25.0,5,5,36,19,17,27,35,18.93,10.51,-9.3,1.1893381194523374
10,20,60,66,38,1.2,48,7,4,3,3,2,66.67,42.86,75.0,3,3,6,4,2,5,4,7.45,6.24,-9.86,1.0744698300681539
10,20,60,66,38,1.2,96,7,2,3,3,2,66.67,42.86,150.0,3,3,5,4,1,5,2,8.74,10.51,-9.94,1.0873968540089394
10,30,60,58,38,1.2,96,26,21,6,6,4,66.67,23.08,28.57,6,6,37,20,17,24,36,17.59,10.51,-10.13,1.1758957038805544
10,30,52,58,38,1.2,24,21,51,8,8,6,75.0,38.1,15.69,8,8,57,13,44,18,90,15.69,10.51,-10.42,1.156880734854231
10,20,52,62,38,1.2,96,10,4,4,4,3,75.0,40.0,100.0,4,4,8,6,2,7,4,10.9,10.51,-10.71,1.109019361202001
7,30,60,58,42,1.2,48,20,22,9,9,6,66.67,45.0,40.91,9,9,25,11,14,16,30,15.13,12.45,-11.01,1.1513427706175166
10,20,52,62,38,1.2,24,10,22,4,4,3,75.0,40.0,18.18,4,4,25,6,19,7,38,9.58,6.59,-11.41,1.0958352878986817
7,30,60,58,38,1.2,48,22,17,7,7,5,71.43,31.82,41.18,7,7,25,15,10,23,22,13.67,10.11,-11.63,1.1367078248463014
10,20,52,58,38,1.2,48,25,9,5,5,4,80.0,20.0,55.56,5,5,24,20,4,29,9,12.18,8.05,-11.69,1.1218399603985414
10,30,52,58,46,1.2,24,21,49,8,8,6,75.0,38.1,16.33,8,8,55,13,42,18,87,14.38,10.51,-11.7,1.143831878418389
10,20,52,62,42,1.2,48,10,10,4,4,3,75.0,40.0,40.0,4,4,13,6,7,7,14,8.05,6.59,-11.86,1.0804538484523896
10,30,52,58,38,1.2,48,25,17,7,7,5,71.43,28.0,41.18,7,7,28,18,10,25,22,13.67,10.11,-12.2,1.1367078248463014
10,30,60,62,38,1.2,48,14,14,6,6,4,66.67,42.86,42.86,6,6,17,8,9,10,19,11.51,10.48,-12.5,1.1150887918776102
10,20,60,66,38,1.2,24,7,16,3,3,2,66.67,42.86,18.75,3,3,18,4,14,5,28,7.45,6.24,-12.68,1.0744698300681539
