ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
7,20,60,58,38,0.8,24,12,13,12,12,9,75.0,100.0,92.31,12,12,1,0,1,0,3,23.74,9.26,12.24,1.2373595458631639
10,30,52,58,38,0.8,24,10,10,10,10,8,80.0,100.0,100.0,10,10,0,0,0,0,0,17.35,4.7,11.7,1.1734600244435585
10,30,52,58,46,0.8,24,10,10,10,10,8,80.0,100.0,100.0,10,10,0,0,0,0,0,16.92,4.68,11.31,1.1692348847097893
7,30,52,58,38,0.8,24,11,10,10,10,8,80.0,90.91,100.0,10,10,1,1,0,0,0,18.3,4.69,11.3,1.1829511791595704
7,30,52,58,46,0.8,24,11,10,10,10,8,80.0,90.91,100.0,10,10,1,1,0,0,0,17.88,4.68,10.9,1.1787849246701632
7,30,60,58,38,0.8,24,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,1,15.18,4.68,9.57,1.151813838172248
7,30,60,58,46,0.8,24,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,14.96,4.68,9.34,1.149577869417138
7,20,60,62,38,0.8,24,8,9,8,8,6,75.0,100.0,88.89,8,8,1,0,1,0,3,15.24,4.7,9.04,1.1524019454366898
10,30,52,58,42,0.8,24,10,10,10,10,8,80.0,100.0,100.0,10,10,0,0,0,0,0,14.15,4.68,8.54,1.141541249541339
7,30,52,58,42,0.8,24,11,10,10,10,8,80.0,90.91,100.0,10,10,1,1,0,0,0,15.09,4.68,8.11,1.1508563478333018
10,20,60,58,38,0.8,24,13,12,11,11,10,90.91,84.62,91.67,11,11,3,2,1,0,3,21.91,9.26,8.07,1.2191068718897105
7,30,60,58,42,0.8,24,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,12.65,4.68,7.03,1.1264724254976808
7,30,60,58,46,0.8,48,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,15.1,7.67,5.89,1.1509508395643109
7,30,60,58,46,0.8,96,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,15.1,7.67,5.89,1.1509508395643109
10,30,52,58,46,0.8,96,10,10,10,10,8,80.0,100.0,100.0,10,10,0,0,0,0,0,15.43,8.21,5.57,1.1542817463168438
7,20,60,58,42,0.8,24,12,13,12,12,9,75.0,100.0,92.31,12,12,1,0,1,0,3,17.05,9.26,5.55,1.170534001863173
7,30,52,58,46,0.8,96,11,10,10,10,8,80.0,90.91,100.0,10,10,1,1,0,0,0,16.37,8.21,5.15,1.1637096525031974
10,30,60,58,38,0.8,24,11,8,8,8,5,62.5,72.73,100.0,8,8,3,3,0,0,0,14.59,4.68,4.88,1.145875640190062
10,20,52,58,38,0.8,24,11,11,10,10,8,80.0,90.91,90.91,10,10,2,1,1,0,3,17.34,9.26,4.4,1.1733798389793373
7,20,60,62,42,0.8,24,8,9,8,8,6,75.0,100.0,88.89,8,8,1,0,1,0,3,10.09,4.39,4.26,1.1008938589752724
7,20,60,62,46,0.8,24,8,8,8,8,6,75.0,100.0,100.0,8,8,0,0,0,0,0,9.53,4.39,4.26,1.0953161628396746
10,30,60,58,46,0.8,24,11,8,8,8,6,75.0,72.73,100.0,8,8,3,3,0,0,0,13.9,4.68,4.19,1.138962645030894
10,20,60,62,38,0.8,24,9,9,8,8,6,75.0,88.89,88.89,8,8,2,1,1,0,3,11.53,4.7,3.67,1.1152893033671176
7,20,60,62,38,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,6.43,2.52,3.4,1.0642561649883477
7,20,52,66,42,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,3.08,0.3,2.72,1.0307778809723536
7,20,52,66,42,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,3.08,0.3,2.72,1.0307778809723536
7,20,52,66,42,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,3.08,0.3,2.72,1.0307778809723536
