ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
7,30,60,58,42,1.2,24,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,2,16.09,5.11,9.96,1.160930174373285
7,30,60,58,42,1.2,48,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,1,16.09,5.11,9.96,1.160930174373285
7,30,60,58,42,1.2,96,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,1,16.09,5.11,9.96,1.160930174373285
7,30,60,58,38,1.2,96,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,0,15.26,5.11,9.13,1.1525761632246698
10,30,60,58,42,1.2,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,2,17.46,5.11,8.83,1.1745941385668737
10,30,60,58,42,1.2,48,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,1,17.46,5.11,8.83,1.1745941385668737
10,30,60,58,42,1.2,96,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,1,17.46,5.11,8.83,1.1745941385668737
7,30,60,58,38,1.2,48,5,6,5,5,4,80.0,100.0,83.33,5,5,1,0,1,0,3,15.26,5.11,8.29,1.1525761632246698
10,30,60,58,38,0.8,24,15,15,11,11,9,81.82,73.33,73.33,11,11,8,4,4,3,11,20.67,6.08,8.05,1.2067478196541854
10,30,60,58,38,1.2,96,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,0,16.61,5.11,7.98,1.1661418020307999
7,30,60,58,38,1.2,24,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,1,13.99,5.11,7.86,1.1399273335240094
10,30,60,58,38,1.2,48,6,6,5,5,4,80.0,83.33,83.33,5,5,2,1,1,0,3,16.61,5.11,7.15,1.1661418020307999
7,30,60,62,42,1.2,24,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,2,13.24,5.11,7.1,1.1323664338082453
7,30,60,62,42,1.2,48,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,1,13.24,5.11,7.1,1.1323664338082453
7,30,60,62,42,1.2,96,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,1,13.24,5.11,7.1,1.1323664338082453
