ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,funding_bars,funding_carry_pct,return_pct,max_dd_pct,score,equity_multiple
10,30,52,58,46,0.8,24,10,10,10,10,8,80.0,100.0,100.0,10,10,0,0,0,0,0,112,-0.5584,16.27,4.69,10.64,1.162705305999359
7,20,60,58,38,0.8,24,12,13,12,12,9,75.0,100.0,92.31,12,12,1,0,1,0,3,281,-1.3952,22.01,9.3,10.47,1.22009577463757
7,30,52,58,46,0.8,24,11,10,10,10,8,80.0,90.91,100.0,10,10,1,1,0,0,0,109,-0.5435,17.24,4.69,10.25,1.1723778617584424
10,30,52,58,38,0.8,24,10,10,10,10,8,80.0,100.0,100.0,10,10,0,0,0,0,0,231,-1.1484,16.0,4.81,10.23,1.159984196978853
7,30,52,58,38,0.8,24,11,10,10,10,8,80.0,90.91,100.0,10,10,1,1,0,0,0,228,-1.1336,16.95,4.8,9.83,1.1695417792857592
7,30,60,58,46,0.8,24,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,102,-0.5087,14.37,4.69,8.75,1.1437298013298127
7,30,60,58,38,0.8,24,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,1,204,-1.0148,14.01,4.69,8.38,1.140124760436627
7,20,60,62,38,0.8,24,8,9,8,8,6,75.0,100.0,88.89,8,8,1,0,1,0,3,188,-0.9356,14.16,4.8,7.84,1.1416198528243116
10,30,52,58,42,0.8,24,10,10,10,10,8,80.0,100.0,100.0,10,10,0,0,0,0,0,192,-0.9554,13.06,4.69,7.44,1.130634616481239
7,30,52,58,42,0.8,24,11,10,10,10,8,80.0,90.91,100.0,10,10,1,1,0,0,0,189,-0.9406,14.0,4.69,7.01,1.1400317116913725
10,20,60,58,38,0.8,24,13,12,11,11,10,90.91,84.62,91.67,11,11,3,2,1,0,3,262,-1.3015,20.32,9.3,6.44,1.203240327973528
7,30,60,58,42,0.8,24,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,163,-0.8117,11.73,4.69,6.11,1.117328757695884
7,30,60,58,46,0.8,48,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,119,-0.5932,14.41,7.81,5.04,1.1441228447965455
7,30,60,58,46,0.8,96,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,119,-0.5932,14.41,7.81,5.04,1.1441228447965455
10,30,52,58,46,0.8,96,10,10,10,10,8,80.0,100.0,100.0,10,10,0,0,0,0,0,138,-0.6876,14.63,8.36,4.6,1.1463444191034184
7,20,60,58,42,0.8,24,12,13,12,12,9,75.0,100.0,92.31,12,12,1,0,1,0,3,223,-1.1088,15.76,9.3,4.21,1.157554717240527
7,30,52,58,46,0.8,96,11,10,10,10,8,80.0,90.91,100.0,10,10,1,1,0,0,0,135,-0.6727,15.59,8.36,4.19,1.1558808684992177
10,30,60,58,38,0.8,24,11,8,8,8,5,62.5,72.73,100.0,8,8,3,3,0,0,0,173,-0.8613,13.6,4.69,3.88,1.1360063155351363
10,30,60,58,46,0.8,24,11,8,8,8,6,75.0,72.73,100.0,8,8,3,3,0,0,0,95,-0.4739,13.36,4.69,3.64,1.1335652664539755
7,20,60,62,46,0.8,24,8,8,8,8,6,75.0,100.0,100.0,8,8,0,0,0,0,0,107,-0.5336,8.95,4.45,3.61,1.089471723073194
7,20,60,62,42,0.8,24,8,9,8,8,6,75.0,100.0,88.89,8,8,1,0,1,0,3,156,-0.777,9.23,4.45,3.34,1.092340076150649
