ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,funding_bars,funding_carry_pct,return_pct,max_dd_pct,score,equity_multiple
7,30,60,58,42,1.2,24,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,2,78,-0.3893,15.64,5.17,9.44,1.1564112513469906
7,30,60,58,42,1.2,48,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,1,78,-0.3893,15.64,5.17,9.44,1.1564112513469906
7,30,60,58,42,1.2,96,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,1,78,-0.3893,15.64,5.17,9.44,1.1564112513469906
7,30,60,58,38,1.2,96,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,0,121,-0.6032,14.56,5.17,8.36,1.1456239552657892
10,30,60,58,42,1.2,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,2,76,-0.3793,17.01,5.17,8.31,1.1701390395112239
10,30,60,58,42,1.2,48,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,1,76,-0.3793,17.01,5.17,8.31,1.1701390395112239
10,30,60,58,42,1.2,96,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,1,76,-0.3793,17.01,5.17,8.31,1.1701390395112239
10,30,60,58,42,0.8,24,15,16,11,11,9,81.82,73.33,68.75,11,11,9,4,5,3,14,214,-1.0643,19.79,5.55,7.57,1.1978703225404284
7,30,60,58,38,1.2,48,5,6,5,5,4,80.0,100.0,83.33,5,5,1,0,1,0,3,121,-0.6032,14.56,5.17,7.53,1.1456239552657892
7,30,60,58,38,1.2,24,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,1,94,-0.4689,13.46,5.17,7.26,1.1345821125340396
10,30,60,58,38,1.2,96,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,0,119,-0.5932,15.92,5.17,7.22,1.1592236871565351
7,30,60,62,42,1.2,24,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,2,73,-0.3643,12.82,5.17,6.62,1.1282407271764305
7,30,60,62,42,1.2,48,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,1,73,-0.3643,12.82,5.17,6.62,1.1282407271764305
7,30,60,62,42,1.2,96,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,1,73,-0.3643,12.82,5.17,6.62,1.1282407271764305
7,30,60,58,46,1.2,48,5,6,5,5,4,80.0,100.0,83.33,5,5,1,0,1,0,2,67,-0.3344,13.55,5.17,6.52,1.1355482048292347
7,30,60,58,46,1.2,96,5,6,5,5,4,80.0,100.0,83.33,5,5,1,0,1,0,2,67,-0.3344,13.55,5.17,6.52,1.1355482048292347
10,30,60,58,38,0.8,24,15,15,11,11,9,81.82,73.33,73.33,11,11,8,4,4,3,11,248,-1.2324,19.19,6.13,6.49,1.1918761696856193
10,30,60,58,38,1.2,48,6,6,5,5,4,80.0,83.33,83.33,5,5,2,1,1,0,3,119,-0.5932,15.92,5.17,6.39,1.1592236871565351
10,30,60,58,38,1.2,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,1,92,-0.459,14.81,5.17,6.1,1.1480507664213593
10,30,60,58,46,0.8,24,15,19,11,11,9,81.82,73.33,57.89,11,11,12,4,8,3,19,200,-0.995,18.56,5.55,5.8,1.1856322656885674
7,30,60,62,38,1.2,96,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,0,116,-0.5783,11.77,5.17,5.57,1.117716212856161
