ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,funding_bars,funding_carry_pct,return_pct,max_dd_pct,score,equity_multiple
10,30,60,58,38,1.2,96,22,20,7,7,5,71.43,31.82,35.0,7,7,31,15,16,18,33,289,-1.4346,25.15,10.73,-1.21,1.2514616894780188
10,30,60,62,38,1.2,96,14,19,6,6,4,66.67,42.86,31.58,6,6,24,8,16,10,33,284,-1.41,18.42,10.73,-6.46,1.184152158301537
7,30,52,58,42,1.2,96,24,17,6,6,5,83.33,25.0,35.29,6,6,31,18,13,26,27,215,-1.0693,19.42,10.74,-7.95,1.1942330443090998
7,30,60,58,42,1.2,96,20,18,9,9,6,66.67,45.0,50.0,9,9,22,11,11,16,24,316,-1.5676,16.83,12.68,-9.14,1.1682607530910043
7,30,60,58,38,1.2,96,20,21,7,7,5,71.43,35.0,33.33,7,7,29,13,16,19,33,313,-1.5529,16.8,10.73,-9.16,1.1680206220863485
10,20,52,62,38,1.2,48,10,6,4,4,3,75.0,40.0,66.67,4,4,9,6,3,7,6,118,-0.5883,8.94,6.62,-9.67,1.0893887345680628
10,30,52,58,38,1.2,96,23,21,7,7,5,71.43,30.43,33.33,7,7,32,16,16,21,33,313,-1.5529,16.8,10.73,-9.85,1.1680206220863485
10,30,60,58,38,1.2,48,24,17,7,7,5,71.43,29.17,41.18,7,7,28,17,11,21,24,226,-1.1237,16.08,10.74,-10.38,1.16079646375879
10,20,60,66,38,1.2,48,7,4,3,3,2,66.67,42.86,75.0,3,3,6,4,2,5,4,76,-0.3793,7.04,6.47,-10.55,1.0703944908781409
10,20,60,66,38,1.2,96,7,2,3,3,2,66.67,42.86,150.0,3,3,5,4,1,5,2,105,-0.5236,7.88,10.73,-11.07,1.0787675554624643
7,30,52,58,38,1.2,96,24,20,5,5,4,80.0,20.83,25.0,5,5,36,19,17,27,35,241,-1.1978,17.19,10.73,-11.31,1.171903540946896
7,30,52,58,42,1.2,48,24,21,6,6,5,83.33,25.0,28.57,6,6,34,18,16,26,33,191,-0.9505,15.99,10.74,-11.72,1.159880046121632
10,20,52,62,38,1.2,96,10,4,4,4,3,75.0,40.0,100.0,4,4,8,6,2,7,4,147,-0.7323,9.79,10.73,-12.09,1.097910379914433
10,20,52,62,38,1.2,24,10,22,4,4,3,75.0,40.0,18.18,4,4,25,6,19,7,38,118,-0.5883,8.94,6.62,-12.1,1.0893887345680628
10,30,52,58,38,1.2,24,21,51,8,8,6,75.0,38.1,15.69,8,8,57,13,44,18,90,250,-1.2423,14.25,10.74,-12.14,1.142509374514952
7,30,52,58,42,1.2,24,24,45,6,6,5,83.33,25.0,13.33,6,6,58,18,40,26,81,191,-0.9505,15.99,10.74,-12.49,1.159880046121632
10,20,52,62,42,1.2,48,10,10,4,4,3,75.0,40.0,40.0,4,4,13,6,7,7,14,117,-0.5833,7.42,6.62,-12.53,1.0741514882561825
10,20,52,58,38,1.2,48,25,9,5,5,4,80.0,20.0,55.56,5,5,24,20,4,29,9,144,-0.7174,11.38,8.41,-12.93,1.113791520624289
7,30,60,58,42,1.2,48,20,22,9,9,6,66.67,45.0,40.91,9,9,25,11,14,16,30,292,-1.4494,13.47,12.68,-12.96,1.1346548671002652
10,30,52,58,46,1.2,24,21,49,8,8,6,75.0,38.1,16.33,8,8,55,13,42,18,87,229,-1.1385,13.08,10.74,-13.28,1.1308093739600196
10,20,60,66,38,1.2,24,7,16,3,3,2,66.67,42.86,18.75,3,3,18,4,14,5,28,76,-0.3793,7.04,6.47,-13.36,1.0703944908781409
10,20,52,62,42,1.2,24,10,23,4,4,3,75.0,40.0,17.39,4,4,26,6,20,7,40,117,-0.5833,7.42,6.62,-13.66,1.0741514882561825
10,30,60,62,38,1.2,48,14,14,6,6,4,66.67,42.86,42.86,6,6,17,8,9,10,19,216,-1.0742,10.31,10.54,-13.77,1.1031103335695422
10,20,52,62,46,1.2,48,10,14,4,4,3,75.0,40.0,28.57,4,4,17,6,11,7,23,97,-0.4838,8.33,8.19,-14.07,1.0832703235333196
10,20,52,62,46,1.2,24,10,21,4,4,3,75.0,40.0,19.05,4,4,24,6,18,7,37,97,-0.4838,8.33,8.19,-14.55,1.0832703235333196
7,20,52,58,38,1.2,48,20,9,5,5,4,80.0,25.0,55.56,5,5,19,15,4,23,9,150,-0.7472,9.0,8.41,-14.57,1.089954376722957
7,30,60,58,38,1.2,48,22,16,7,7,5,71.43,31.82,43.75,7,7,24,15,9,23,19,245,-1.2176,10.68,10.17,-14.57,1.1068302583894032
10,20,52,58,38,1.2,24,25,31,5,5,4,80.0,20.0,16.13,5,5,46,20,26,29,53,144,-0.7174,11.38,8.41,-14.9,1.113791520624289
10,20,60,58,38,1.2,48,23,9,5,5,4,80.0,21.74,55.56,5,5,22,18,4,23,9,151,-0.7522,8.99,8.41,-15.06,1.0898998790041206
10,30,52,58,38,1.2,48,25,16,7,7,5,71.43,28.0,43.75,7,7,27,18,9,25,19,245,-1.2176,10.68,10.17,-15.14,1.1068302583894032
10,20,52,58,38,1.2,96,25,7,5,5,4,80.0,20.0,71.43,5,5,23,20,3,29,7,173,-0.8613,12.25,12.58,-16.28,1.122504054568674
10,20,52,62,42,1.2,96,10,9,4,4,3,75.0,40.0,44.44,4,4,13,6,7,7,14,146,-0.7274,8.26,10.73,-16.4,1.0825539416144183
7,20,52,58,38,1.2,24,20,31,5,5,4,80.0,25.0,16.13,5,5,41,15,26,23,53,150,-0.7472,9.0,8.41,-16.54,1.089954376722957
7,30,52,58,38,1.2,48,26,15,5,5,4,80.0,19.23,33.33,5,5,31,21,10,31,21,173,-0.8613,11.05,10.17,-16.61,1.110509758566418
10,20,52,58,38,0.8,48,28,16,7,7,6,85.71,25.0,43.75,7,7,31,21,10,32,22,216,-1.0742,16.06,15.52,-16.63,1.160632188650305
7,20,60,58,38,1.2,48,21,9,6,6,4,66.67,28.57,66.67,6,6,18,15,3,24,7,187,-0.9307,6.03,8.87,-17.0,1.0602804015919807
10,20,60,58,38,1.2,24,23,31,5,5,4,80.0,21.74,16.13,5,5,44,18,26,23,53,151,-0.7522,8.99,8.41,-17.03,1.0898998790041206
7,30,52,58,38,1.2,24,26,42,5,5,4,80.0,19.23,11.9,5,5,58,21,37,31,75,173,-0.8613,11.05,10.17,-17.68,1.110509758566418
7,20,52,58,38,1.2,96,20,7,5,5,4,80.0,25.0,71.43,5,5,18,15,3,23,7,179,-0.891,9.85,12.58,-17.93,1.0984804467541842
10,20,52,58,38,0.8,24,28,49,7,7,6,85.71,25.0,14.29,7,7,64,21,43,32,88,216,-1.0742,16.06,15.52,-18.1,1.160632188650305
10,20,52,62,46,1.2,96,10,14,4,4,3,75.0,40.0,28.57,4,4,18,6,12,7,25,126,-0.628,9.17,12.37,-18.25,1.0917441081599424
10,20,60,58,38,1.2,96,23,7,5,5,4,80.0,21.74,71.43,5,5,21,18,3,23,7,180,-0.896,9.84,12.58,-18.42,1.0984255227318462
