ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
7,30,60,58,38,0.8,24,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,1,14.23,4.69,8.6,1.1423029767767192
7,30,60,58,46,0.8,24,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,14.01,4.69,8.38,1.1400821722575907
7,20,60,62,38,0.8,24,8,9,8,8,6,75.0,100.0,88.89,8,8,1,0,1,0,3,14.4,4.8,8.08,1.1439738131605903
10,20,60,58,38,0.8,24,13,12,11,11,10,90.91,84.62,91.67,11,11,3,2,1,0,3,20.69,9.28,6.83,1.2068732626793963
10,30,52,58,46,0.8,24,10,9,9,9,7,77.78,90.0,100.0,9,9,1,1,0,0,0,13.81,4.69,6.68,1.1380976428497973
7,30,52,58,46,0.8,24,11,9,9,9,7,77.78,81.82,100.0,9,9,2,2,0,0,0,14.74,4.69,6.39,1.1474107286419282
7,30,60,58,42,0.8,24,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,11.71,4.69,6.09,1.1171250151855514
7,20,60,58,38,0.8,24,12,12,11,11,8,72.73,91.67,91.67,11,11,2,1,1,0,3,18.05,9.28,5.25,1.1805262522734303
7,30,60,58,46,0.8,48,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,14.14,7.69,4.92,1.1414464440934817
7,30,60,58,46,0.8,96,9,9,9,9,7,77.78,100.0,100.0,9,9,0,0,0,0,0,14.14,7.69,4.92,1.1414464440934817
10,30,52,58,38,0.8,24,10,9,9,9,7,77.78,90.0,100.0,9,9,1,1,0,0,0,12.16,4.8,4.9,1.1215816345069642
7,30,52,58,38,0.8,24,11,9,9,9,7,77.78,81.82,100.0,9,9,2,2,0,0,0,13.07,4.79,4.59,1.1306700550801074
7,20,60,62,42,0.8,24,8,9,8,8,6,75.0,100.0,88.89,8,8,1,0,1,0,3,9.27,4.4,3.44,1.0927496889201205
7,20,60,62,46,0.8,24,8,8,8,8,6,75.0,100.0,100.0,8,8,0,0,0,0,0,8.72,4.4,3.44,1.0872031553920256
10,20,52,58,38,0.8,24,11,11,10,10,8,80.0,90.91,90.91,10,10,2,1,1,0,3,16.26,9.28,3.31,1.1626264979175913
7,20,60,62,38,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,6.24,2.62,3.1,1.0623584709952982
10,30,52,58,42,0.8,24,10,9,9,9,7,77.78,90.0,100.0,9,9,1,1,0,0,0,10.2,4.69,3.07,1.1020075491393595
7,30,52,58,42,0.8,24,11,9,9,9,7,77.78,81.82,100.0,9,9,2,2,0,0,0,11.1,4.69,2.75,1.111016841568318
10,20,60,62,38,0.8,24,9,9,8,8,6,75.0,88.89,88.89,8,8,2,1,1,0,3,10.71,4.8,2.72,1.1070655203478184
7,20,52,66,42,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.99,0.32,2.6,1.0298569741745232
7,20,52,66,42,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.99,0.32,2.6,1.0298569741745232
7,20,52,66,42,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.99,0.32,2.6,1.0298569741745232
7,20,60,66,42,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.99,0.32,2.6,1.0298569741745232
7,20,60,66,42,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.99,0.32,2.6,1.0298569741745232
7,20,60,66,42,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.99,0.32,2.6,1.0298569741745232
10,20,60,62,38,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,5.79,3.03,2.16,1.0578951641161132
7,20,52,66,46,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.03,0.32,1.64,1.0202895310189692
7,20,52,66,46,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.03,0.32,1.64,1.0202895310189692
