fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_ma_fast,best_ma_mid,best_ma_slow,best_rsi_short,best_rsi_cover,best_vol_min_pct,best_max_hold_bars,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,oos_equity_after_fold
0,1745236800000,1755302400000,1755316800000,1757030400000,7,20,52,58,38,0.4,24,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
1,1746964800000,1757030400000,1757044800000,1758758400000,7,20,52,58,38,0.4,24,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
2,1748692800000,1758758400000,1758772800000,1760486400000,7,20,52,58,38,0.4,24,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
3,1750420800000,1760486400000,1760500800000,1762214400000,7,30,52,58,38,0.4,96,-18.75,-6.67,-0.51,7.0,1,0.0,100.0,100.0,0,0,0,0.994935
4,1752148800000,1762214400000,1762228800000,1763942400000,7,20,52,58,46,0.4,24,-3.24,2.39,0.1,2.81,1,100.0,100.0,100.0,0,0,0,0.995886
5,1753876800000,1763942400000,1763956800000,1765670400000,7,20,52,66,38,0.4,24,1.82,4.19,2.33,2.34,1,100.0,100.0,100.0,0,0,0,1.019116
6,1755604800000,1765670400000,1765684800000,1767398400000,10,20,60,66,42,0.4,48,7.41,9.07,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.019116
7,1757332800000,1767398400000,1767412800000,1769126400000,7,20,60,62,38,0.4,24,9.65,13.91,-3.65,5.94,1,0.0,100.0,33.33,2,0,5,0.98192
8,1759060800000,1769126400000,1769140800000,1770854400000,7,20,60,62,38,0.8,24,7.2,11.58,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.98192
9,1760788800000,1770854400000,1770868800000,1772582400000,7,20,60,58,38,0.8,24,7.2,11.58,4.07,2.62,2,100.0,100.0,200.0,0,0,0,1.02185
10,1762516800000,1772582400000,1772596800000,1774310400000,10,20,60,58,38,0.8,24,8.65,13.73,-2.11,4.4,1,0.0,100.0,100.0,0,0,0,1.000315
11,1764244800000,1774310400000,1774324800000,1776038400000,7,30,52,58,46,0.8,24,3.18,8.46,2.89,0.53,1,100.0,100.0,100.0,0,0,0,1.029185
