ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
7,30,60,58,42,1.2,24,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,2,15.57,5.21,9.32,1.1557441529056114
7,30,60,58,42,1.2,48,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,1,15.57,5.21,9.32,1.1557441529056114
7,30,60,58,42,1.2,96,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,1,15.57,5.21,9.32,1.1557441529056114
7,30,60,58,38,1.2,96,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,0,14.74,5.21,8.49,1.1474124657528726
7,30,60,58,38,1.2,48,5,6,5,5,4,80.0,100.0,83.33,5,5,1,0,1,0,3,14.74,5.21,7.66,1.1474124657528726
7,30,60,58,38,1.2,24,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,1,13.48,5.21,7.23,1.1347974368716096
7,30,60,62,42,1.2,24,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,2,12.83,5.21,6.58,1.1283273355137546
7,30,60,62,42,1.2,48,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,1,12.83,5.21,6.58,1.1283273355137546
7,30,60,62,42,1.2,96,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,1,12.83,5.21,6.58,1.1283273355137546
7,30,60,58,46,1.2,48,5,6,5,5,4,80.0,100.0,83.33,5,5,1,0,1,0,2,13.42,5.21,6.34,1.1342303168403256
7,30,60,58,46,1.2,96,5,6,5,5,4,80.0,100.0,83.33,5,5,1,0,1,0,2,13.42,5.21,6.34,1.1342303168403256
7,30,60,62,38,1.2,96,4,4,4,4,3,75.0,100.0,100.0,4,4,0,0,0,0,0,12.02,5.21,5.77,1.120193294479024
10,30,52,62,42,0.8,24,14,19,11,11,8,72.73,78.57,57.89,11,11,11,3,8,1,18,18.92,6.74,5.52,1.1892450050293948
7,30,52,62,38,0.8,24,12,16,12,12,8,66.67,100.0,75.0,12,12,4,0,4,0,13,16.76,8.37,5.47,1.1675956359720152
10,20,52,62,42,0.8,24,11,15,10,10,7,70.0,90.91,66.67,10,10,6,1,5,0,13,16.46,6.74,5.34,1.1646033033683665
