ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
10,30,60,58,38,1.2,96,22,19,7,7,5,71.43,31.82,36.84,7,7,30,15,15,18,31,25.99,10.6,-0.12,1.2598500117824543
10,30,60,62,38,1.2,96,14,19,6,6,4,66.67,42.86,31.58,6,6,24,8,16,9,33,19.28,10.6,-5.43,1.1928022168554135
7,30,52,58,42,1.2,96,24,17,6,6,5,83.33,25.0,35.29,6,6,31,18,13,25,27,19.9,10.61,-7.32,1.1989783465863362
7,30,60,58,38,1.2,96,20,20,7,7,5,71.43,35.0,35.0,7,7,28,13,15,19,31,17.73,10.6,-7.99,1.177263598682254
7,30,60,58,42,1.2,96,20,18,9,9,6,66.67,45.0,50.0,9,9,22,11,11,16,24,17.54,12.64,-8.37,1.1754396596397427
10,30,52,58,38,1.2,96,23,20,7,7,5,71.43,30.43,35.0,7,7,31,16,15,21,31,17.73,10.6,-8.67,1.177263598682254
10,20,52,62,38,1.2,48,10,6,4,4,3,75.0,40.0,66.67,4,4,9,6,3,7,6,9.17,6.6,-9.42,1.091716388613142
10,30,60,58,38,1.2,48,24,17,7,7,5,71.43,29.17,41.18,7,7,28,17,11,21,24,16.64,10.61,-9.66,1.1663882475840712
10,20,60,66,38,1.2,48,7,4,3,3,2,66.67,42.86,75.0,3,3,6,4,2,5,4,7.14,6.33,-10.27,1.0714095681944917
7,30,52,58,38,1.2,96,24,19,5,5,4,80.0,20.83,26.32,5,5,35,19,16,26,33,17.92,10.6,-10.36,1.1791705676527902
10,20,60,66,38,1.2,96,7,2,3,3,2,66.67,42.86,150.0,3,3,5,4,1,5,2,8.0,10.6,-10.79,1.0799736731502692
7,30,52,58,42,1.2,48,24,21,6,6,5,83.33,25.0,28.57,6,6,34,18,16,25,33,16.45,10.61,-11.1,1.1645320456909334
10,30,52,58,38,1.2,24,21,51,8,8,6,75.0,38.1,15.69,8,8,57,13,44,18,90,14.83,10.61,-11.4,1.1482637728783893
10,20,52,62,38,1.2,96,10,4,4,4,3,75.0,40.0,100.0,4,4,8,6,2,7,4,10.04,10.6,-11.67,1.1004428122064847
10,20,52,62,38,1.2,24,10,22,4,4,3,75.0,40.0,18.18,4,4,25,6,19,7,38,9.17,6.6,-11.84,1.091716388613142
7,30,52,58,42,1.2,24,24,45,6,6,5,83.33,25.0,13.33,6,6,58,18,40,25,81,16.45,10.61,-11.86,1.1645320456909334
7,30,60,58,42,1.2,48,20,22,9,9,6,66.67,45.0,40.91,9,9,25,11,14,16,30,14.17,12.64,-12.2,1.1416696184078725
10,20,52,62,42,1.2,48,10,10,4,4,3,75.0,40.0,40.0,4,4,13,6,7,7,14,7.64,6.6,-12.28,1.0763641684293592
10,20,52,58,38,1.2,48,25,9,5,5,4,80.0,20.0,55.56,5,5,24,20,4,29,9,11.68,8.15,-12.33,1.1167507577645168
10,30,52,58,46,1.2,24,21,49,8,8,6,75.0,38.1,16.33,8,8,55,13,42,18,87,13.53,10.61,-12.67,1.1352887135998595
10,20,60,66,38,1.2,24,7,16,3,3,2,66.67,42.86,18.75,3,3,18,4,14,5,28,7.14,6.33,-13.08,1.0714095681944917
10,30,60,62,38,1.2,48,14,14,6,6,4,66.67,42.86,42.86,6,6,17,8,9,9,19,10.88,10.5,-13.15,1.1088232180729076
10,20,52,62,42,1.2,24,10,23,4,4,3,75.0,40.0,17.39,4,4,26,6,20,7,40,7.64,6.6,-13.41,1.0763641684293592
10,20,52,62,46,1.2,48,10,14,4,4,3,75.0,40.0,28.57,4,4,17,6,11,7,23,8.44,8.06,-13.8,1.084431474953412
7,30,60,58,38,1.2,48,22,16,7,7,5,71.43,31.82,43.75,7,7,24,15,9,23,19,11.33,10.13,-13.87,1.113269354308137
7,20,52,58,38,1.2,48,20,9,5,5,4,80.0,25.0,55.56,5,5,19,15,4,23,9,9.31,8.15,-13.94,1.0931351358359913
10,20,52,62,46,1.2,24,10,21,4,4,3,75.0,40.0,19.05,4,4,24,6,18,7,37,8.44,8.06,-14.28,1.084431474953412
10,20,52,58,38,1.2,24,25,31,5,5,4,80.0,20.0,16.13,5,5,46,20,26,29,53,11.68,8.15,-14.3,1.1167507577645168
10,20,60,58,38,1.2,48,23,9,5,5,4,80.0,21.74,55.56,5,5,22,18,4,23,9,9.31,8.15,-14.43,1.0931351358359913
10,30,52,58,38,1.2,48,25,16,7,7,5,71.43,28.0,43.75,7,7,27,18,9,24,19,11.33,10.13,-14.44,1.113269354308137
10,20,52,58,38,1.2,96,25,7,5,5,4,80.0,20.0,71.43,5,5,23,20,3,29,7,12.57,12.34,-15.67,1.125677288740954
10,20,52,58,38,0.8,48,28,16,7,7,6,85.71,25.0,43.75,7,7,31,21,10,32,22,16.56,15.33,-15.89,1.1656282040125059
7,20,52,58,38,1.2,24,20,31,5,5,4,80.0,25.0,16.13,5,5,41,15,26,23,53,9.31,8.15,-15.91,1.0931351358359913
10,20,52,62,42,1.2,96,10,9,4,4,3,75.0,40.0,44.44,4,4,13,6,7,7,14,8.5,10.6,-16.0,1.084967877022891
7,30,52,58,38,1.2,48,26,15,5,5,4,80.0,19.23,33.33,5,5,31,21,10,30,21,11.51,10.13,-16.1,1.1150726633689887
10,20,60,58,38,1.2,24,23,31,5,5,4,80.0,21.74,16.13,5,5,44,18,26,23,53,9.31,8.15,-16.4,1.0931351358359913
7,20,60,58,38,1.2,48,21,9,6,6,4,66.67,28.57,66.67,6,6,18,15,3,24,7,6.43,8.87,-16.6,1.0642809492235517
7,30,52,58,38,1.2,24,26,42,5,5,4,80.0,19.23,11.9,5,5,58,21,37,30,75,11.51,10.13,-17.17,1.1150726633689887
7,20,52,58,38,1.2,96,20,7,5,5,4,80.0,25.0,71.43,5,5,18,15,3,23,7,10.19,12.34,-17.3,1.1018728999105867
10,20,52,58,38,0.8,24,28,49,7,7,6,85.71,25.0,14.29,7,7,64,21,43,32,88,16.56,15.33,-17.36,1.1656282040125059
10,20,60,58,38,1.2,96,23,7,5,5,4,80.0,21.74,71.43,5,5,21,18,3,23,7,10.19,12.34,-17.78,1.1018728999105867
10,20,52,62,46,1.2,96,10,14,4,4,3,75.0,40.0,28.57,4,4,18,6,12,7,25,9.31,12.25,-17.97,1.093099667999793
7,30,52,58,46,1.2,96,26,25,5,5,4,80.0,19.23,20.0,5,5,42,21,21,30,44,10.08,10.61,-18.77,1.10076457080224
10,20,52,58,46,1.2,48,23,19,5,5,4,80.0,21.74,26.32,5,5,32,18,14,24,30,6.18,8.02,-18.86,1.061838617889587
7,20,60,58,38,1.2,96,21,7,6,6,4,66.67,28.57,85.71,6,6,17,15,2,24,5,7.28,12.34,-18.95,1.0727880729437034
7,20,52,58,46,1.2,48,20,19,5,5,4,80.0,25.0,26.32,5,5,29,15,14,23,30,5.55,8.02,-19.0,1.0554967041101933
7,30,52,58,46,1.2,48,26,26,5,5,4,80.0,19.23,19.23,5,5,42,21,21,30,43,9.2,10.13,-19.11,1.0920355956889365
10,20,52,58,42,1.2,48,23,13,5,5,4,80.0,21.74,38.46,5,5,26,18,8,24,17,5.39,8.15,-19.2,1.053939384228963
10,20,52,58,46,1.2,24,23,28,5,5,4,80.0,21.74,17.86,5,5,41,18,23,24,47,6.18,8.02,-19.28,1.061838617889587
7,20,52,58,42,1.2,48,20,13,5,5,4,80.0,25.0,38.46,5,5,23,15,8,23,17,4.76,8.15,-19.34,1.0476446492373392
7,20,52,58,46,1.2,24,20,28,5,5,4,80.0,25.0,17.86,5,5,38,15,23,23,47,5.55,8.02,-19.43,1.0554967041101933
7,30,52,58,46,1.2,24,26,39,5,5,4,80.0,19.23,12.82,5,5,55,21,34,30,69,9.2,10.13,-19.43,1.0920355956889365
10,20,60,58,46,1.2,48,23,19,5,5,4,80.0,21.74,26.32,5,5,32,18,14,23,30,5.55,8.02,-19.49,1.0554967041101933
