fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,best_ma_fast,best_ma_mid,best_ma_slow,best_rsi_short,best_rsi_cover,best_vol_min_pct,best_max_hold_bars,train_score,train_return_pct,test_return_pct,test_max_dd_pct,test_trades,test_win_rate,test_entry_fill_rate,test_exit_fill_rate,test_limit_expired,test_capacity_reject_entries,test_capacity_reject_exits,oos_equity_after_fold
0,1745236800000,1755302400000,1755316800000,1757030400000,7,20,52,58,38,0.4,24,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
1,1746964800000,1757030400000,1757044800000,1758758400000,7,20,52,58,38,0.4,24,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
2,1748692800000,1758758400000,1758772800000,1760486400000,7,20,52,58,38,0.4,24,-20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.0
3,1750420800000,1760486400000,1760500800000,1762214400000,7,20,60,58,38,0.4,48,-11.87,-1.23,0.0,0.0,0,0.0,0.0,0.0,2,4,0,1.0
4,1752148800000,1762214400000,1762228800000,1763942400000,7,20,60,62,38,0.4,48,-11.87,-1.23,5.6,4.79,1,100.0,100.0,50.0,1,0,2,1.056011
5,1753876800000,1763942400000,1763956800000,1765670400000,7,20,52,58,38,0.4,24,-5.65,7.15,3.41,6.84,2,100.0,100.0,100.0,0,1,0,1.092037
6,1755604800000,1765670400000,1765684800000,1767398400000,7,20,52,62,38,0.4,48,2.76,5.68,-6.25,7.69,1,0.0,100.0,0.0,0,0,0,1.023815
7,1757332800000,1767398400000,1767412800000,1769126400000,7,20,52,66,38,1.2,24,1.1,4.23,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.023815
8,1759060800000,1769126400000,1769140800000,1770854400000,10,30,52,58,38,1.2,48,2.11,16.69,0.0,0.0,0,0.0,0.0,0.0,1,2,0,1.023815
9,1760788800000,1770854400000,1770868800000,1772582400000,7,30,60,58,38,1.2,48,4.11,16.69,-3.06,11.47,1,0.0,100.0,100.0,1,0,2,0.992487
10,1762516800000,1772582400000,1772596800000,1774310400000,7,30,60,58,38,1.2,48,2.74,20.21,4.6,10.13,1,100.0,50.0,14.29,7,1,12,1.038171
11,1764244800000,1774310400000,1774324800000,1776038400000,7,20,60,62,46,1.2,24,2.15,18.56,-0.54,5.58,1,0.0,100.0,25.0,3,0,7,1.032525
