ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
7,20,60,62,38,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,6.13,2.67,2.92,1.0612597846257439
7,20,52,66,42,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.93,0.38,2.48,1.02932343134908
7,20,52,66,42,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.93,0.38,2.48,1.02932343134908
7,20,52,66,42,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.93,0.38,2.48,1.02932343134908
7,20,60,66,42,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.93,0.38,2.48,1.02932343134908
7,20,60,66,42,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.93,0.38,2.48,1.02932343134908
7,20,60,66,42,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.93,0.38,2.48,1.02932343134908
10,20,60,62,38,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,5.68,3.08,1.98,1.0567963733494783
7,20,52,66,46,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,1.98,0.38,1.52,1.0197507264532284
7,20,52,66,46,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,1.98,0.38,1.52,1.0197507264532284
7,20,52,66,46,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,1.98,0.38,1.52,1.0197507264532284
7,20,60,66,46,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,1.98,0.38,1.52,1.0197507264532284
7,20,60,66,46,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,1.98,0.38,1.52,1.0197507264532284
7,20,60,66,46,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,1.98,0.38,1.52,1.0197507264532284
7,20,60,62,42,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,4.23,2.67,1.02,1.0422913214897802
7,20,60,62,42,1.2,48,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,4.23,2.67,1.02,1.0422913214897802
7,20,60,62,42,1.2,96,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,4.23,2.67,1.02,1.0422913214897802
10,20,60,62,42,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,4.23,2.67,1.02,1.0422913214897802
10,20,60,62,42,1.2,48,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,4.23,2.67,1.02,1.0422913214897802
10,20,60,62,42,1.2,96,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,0,4.23,2.67,1.02,1.0422913214897802
7,20,60,62,38,0.8,24,9,18,8,8,6,75.0,88.89,44.44,8,8,11,1,10,1,20,11.76,5.7,0.47,1.117551730724792
7,30,52,58,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,2.15,1.45,0.4,1.021464075075241
