ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
7,30,60,66,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,4.19,3.11,0.45,1.04187611555627
7,30,60,66,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,4.19,3.11,0.45,1.04187611555627
7,30,60,66,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,4.19,3.11,0.45,1.04187611555627
7,30,60,66,42,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,1,4.19,3.11,0.45,1.04187611555627
7,30,60,66,42,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,1,4.19,3.11,0.45,1.04187611555627
7,30,60,66,42,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,1,4.19,3.11,0.45,1.04187611555627
7,30,52,66,46,1.2,24,2,4,2,2,2,100.0,100.0,50.0,2,2,2,0,2,0,4,5.63,4.28,-2.01,1.0562580149277638
7,30,52,66,46,1.2,48,2,4,2,2,2,100.0,100.0,50.0,2,2,2,0,2,0,4,5.63,4.28,-2.01,1.0562580149277638
7,30,52,66,46,1.2,96,2,4,2,2,2,100.0,100.0,50.0,2,2,2,0,2,0,4,5.63,4.28,-2.01,1.0562580149277638
10,30,52,66,46,1.2,24,2,4,2,2,2,100.0,100.0,50.0,2,2,2,0,2,0,4,5.63,4.28,-2.01,1.0562580149277638
10,30,52,66,46,1.2,48,2,4,2,2,2,100.0,100.0,50.0,2,2,2,0,2,0,4,5.63,4.28,-2.01,1.0562580149277638
10,30,52,66,46,1.2,96,2,4,2,2,2,100.0,100.0,50.0,2,2,2,0,2,0,4,5.63,4.28,-2.01,1.0562580149277638
7,30,60,66,46,1.2,24,1,2,1,1,1,100.0,100.0,50.0,1,1,1,0,1,0,2,4.19,3.11,-2.05,1.04187611555627
7,30,60,66,46,1.2,48,1,2,1,1,1,100.0,100.0,50.0,1,1,1,0,1,0,2,4.19,3.11,-2.05,1.04187611555627
7,30,60,66,46,1.2,96,1,2,1,1,1,100.0,100.0,50.0,1,1,1,0,1,0,2,4.19,3.11,-2.05,1.04187611555627
7,20,52,66,46,1.2,24,2,7,2,2,2,100.0,100.0,28.57,2,2,5,0,5,0,10,5.63,4.28,-3.09,1.0562580149277638
7,20,52,66,46,1.2,48,2,7,2,2,2,100.0,100.0,28.57,2,2,5,0,5,0,10,5.63,4.28,-3.09,1.0562580149277638
7,20,52,66,46,1.2,96,2,7,2,2,2,100.0,100.0,28.57,2,2,5,0,5,0,10,5.63,4.28,-3.09,1.0562580149277638
7,20,60,66,46,1.2,24,2,7,2,2,2,100.0,100.0,28.57,2,2,5,0,5,0,10,5.63,4.28,-3.09,1.0562580149277638
7,20,60,66,46,1.2,48,2,7,2,2,2,100.0,100.0,28.57,2,2,5,0,5,0,10,5.63,4.28,-3.09,1.0562580149277638
7,20,60,66,46,1.2,96,2,7,2,2,2,100.0,100.0,28.57,2,2,5,0,5,0,10,5.63,4.28,-3.09,1.0562580149277638
10,20,52,66,46,1.2,24,2,7,2,2,2,100.0,100.0,28.57,2,2,5,0,5,0,10,5.63,4.28,-3.09,1.0562580149277638
10,20,52,66,46,1.2,48,2,7,2,2,2,100.0,100.0,28.57,2,2,5,0,5,0,10,5.63,4.28,-3.09,1.0562580149277638
10,20,52,66,46,1.2,96,2,7,2,2,2,100.0,100.0,28.57,2,2,5,0,5,0,10,5.63,4.28,-3.09,1.0562580149277638
10,20,60,66,46,1.2,24,2,7,2,2,2,100.0,100.0,28.57,2,2,5,0,5,0,10,5.63,4.28,-3.09,1.0562580149277638
