ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
7,20,52,62,38,1.2,48,17,2,1,1,1,100.0,5.88,50.0,1,1,18,16,2,23,4,9.68,6.61,-14.87,1.096755243243243
7,20,52,62,38,1.2,96,17,2,1,1,1,100.0,5.88,50.0,1,1,18,16,2,23,4,9.68,6.61,-14.87,1.096755243243243
10,20,52,62,38,1.2,48,17,2,1,1,1,100.0,5.88,50.0,1,1,18,16,2,25,4,9.68,6.61,-14.87,1.096755243243243
10,20,52,62,38,1.2,96,17,2,1,1,1,100.0,5.88,50.0,1,1,18,16,2,25,4,9.68,6.61,-14.87,1.096755243243243
7,20,60,62,38,1.2,48,19,2,1,1,1,100.0,5.26,50.0,1,1,20,18,2,28,4,9.68,6.61,-14.96,1.096755243243243
7,20,60,62,38,1.2,96,19,2,1,1,1,100.0,5.26,50.0,1,1,20,18,2,28,4,9.68,6.61,-14.96,1.096755243243243
10,20,60,62,38,1.2,48,19,2,1,1,1,100.0,5.26,50.0,1,1,20,18,2,26,4,9.68,6.61,-14.96,1.096755243243243
10,20,60,62,38,1.2,96,19,2,1,1,1,100.0,5.26,50.0,1,1,20,18,2,26,4,9.68,6.61,-14.96,1.096755243243243
7,20,52,62,38,0.4,48,20,2,1,1,1,100.0,5.0,50.0,1,1,21,19,2,29,4,9.68,6.61,-15.0,1.096755243243243
7,20,52,62,38,0.4,96,20,2,1,1,1,100.0,5.0,50.0,1,1,21,19,2,29,4,9.68,6.61,-15.0,1.096755243243243
7,20,52,62,38,0.8,48,20,2,1,1,1,100.0,5.0,50.0,1,1,21,19,2,29,4,9.68,6.61,-15.0,1.096755243243243
7,20,52,62,38,0.8,96,20,2,1,1,1,100.0,5.0,50.0,1,1,21,19,2,29,4,9.68,6.61,-15.0,1.096755243243243
10,20,52,62,38,0.4,48,20,2,1,1,1,100.0,5.0,50.0,1,1,21,19,2,30,4,9.68,6.61,-15.0,1.096755243243243
10,20,52,62,38,0.4,96,20,2,1,1,1,100.0,5.0,50.0,1,1,21,19,2,30,4,9.68,6.61,-15.0,1.096755243243243
