fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,return_pct,max_dd_pct,score,equity_multiple
15,50,52,48,8,7,8,8,7,87.5,100.0,114.29,8,8,0,0,0,0,0,18.26,6.39,11.31,1.1825625928402987
10,60,58,48,6,5,6,6,5,83.33,100.0,120.0,6,6,0,0,0,0,0,15.91,6.39,9.25,1.1591405236432508
15,50,58,48,6,5,6,6,5,83.33,100.0,120.0,6,6,0,0,0,0,0,15.91,6.39,9.25,1.1591405236432508
10,60,52,48,8,7,8,8,6,75.0,100.0,114.29,8,8,0,0,0,0,0,16.15,6.39,9.2,1.1614949213654637
12,50,52,48,8,7,8,8,6,75.0,100.0,114.29,8,8,0,0,0,0,0,16.15,6.39,9.2,1.1614949213654637
8,60,52,48,9,7,8,8,6,75.0,88.89,114.29,8,8,1,1,0,0,0,17.48,6.62,8.59,1.1748081248848907
15,60,52,48,8,6,7,7,6,85.71,87.5,116.67,7,7,1,1,0,0,0,17.05,6.39,8.35,1.1705250164006025
12,20,52,48,14,13,14,14,7,50.0,100.0,107.69,14,14,0,0,0,0,0,15.13,6.39,7.85,1.1512894889778533
5,60,52,48,11,9,10,10,6,60.0,90.91,111.11,10,10,1,1,0,0,0,16.15,6.39,7.68,1.1615456534502997
10,60,58,45,6,5,6,6,5,83.33,100.0,120.0,6,6,0,0,0,0,0,14.25,6.39,7.59,1.1425333237413848
12,50,58,45,6,5,6,6,5,83.33,100.0,120.0,6,6,0,0,0,0,0,14.25,6.39,7.59,1.1425333237413848
15,50,58,45,6,5,6,6,5,83.33,100.0,120.0,6,6,0,0,0,0,0,14.25,6.39,7.59,1.1425333237413848
5,20,52,48,20,14,15,15,10,66.67,75.0,107.14,15,15,5,5,0,1,1,18.05,6.39,6.99,1.1804548600214395
12,20,58,48,11,11,11,11,5,45.45,100.0,100.0,11,11,0,0,0,0,0,14.29,6.39,6.63,1.1429383147014252
8,60,55,48,9,7,8,8,5,62.5,88.89,114.29,8,8,1,1,0,0,0,15.15,6.62,6.25,1.1514671742479483
8,60,58,48,9,7,8,8,5,62.5,88.89,114.29,8,8,1,1,0,0,0,15.15,6.62,6.25,1.1514671742479483
10,20,52,48,19,12,13,13,10,76.92,68.42,108.33,13,13,6,6,0,5,0,18.38,6.62,6.12,1.1837833932769413
12,30,58,48,10,9,10,10,5,50.0,100.0,111.11,10,10,0,0,0,0,0,13.19,6.39,6.07,1.1318518300018545
12,60,55,48,9,7,8,8,6,75.0,88.89,114.29,8,8,1,1,0,0,0,14.68,6.39,6.07,1.146832086216513
10,40,58,48,10,9,10,10,5,50.0,100.0,111.11,10,10,0,0,0,0,0,13.15,6.39,6.04,1.1315138188278846
15,60,55,48,8,6,7,7,5,71.43,87.5,116.67,7,7,1,1,0,0,0,14.73,6.39,6.02,1.1472691620628654
