fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
15,50,52,48,7,6,7,7,6,85.71,100.0,116.67,7,7,0,0,0,17.02,6.4,10.18,1.1702452800551535
15,60,52,48,7,6,7,7,6,85.71,100.0,116.67,6,8,0,0,0,15.71,6.4,8.87,1.157108758818199
10,60,55,48,7,6,7,7,6,85.71,100.0,116.67,7,7,0,0,0,15.06,6.4,8.22,1.1506150609835926
12,50,52,48,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,14.95,6.4,8.11,1.1494897947031768
15,40,52,48,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,14.95,6.4,8.11,1.1494897947031768
12,20,52,48,11,10,11,11,6,54.55,100.0,110.0,11,11,0,0,0,15.27,6.4,8.09,1.1527188856629145
8,60,52,48,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,15.37,6.79,8.05,1.1536935267724484
10,20,52,48,11,10,11,11,8,72.73,100.0,110.0,7,15,0,0,0,15.36,6.79,7.71,1.1535979363511335
12,40,55,48,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,14.46,6.4,7.61,1.1445884840527916
5,20,52,48,11,10,11,11,7,63.64,100.0,110.0,7,15,0,0,0,14.78,6.52,7.45,1.1477690129838125
8,20,52,48,11,10,11,11,7,63.64,100.0,110.0,8,14,0,0,0,14.95,6.79,7.3,1.149504841837149
10,50,52,48,7,6,7,7,5,71.43,100.0,116.67,5,9,0,0,0,14.11,6.4,7.26,1.1410809609848902
15,40,55,48,7,6,7,7,6,85.71,100.0,116.67,6,8,0,0,0,14.1,6.4,7.26,1.140991322941918
10,40,52,48,9,8,9,9,5,55.56,100.0,112.5,9,9,0,0,0,14.24,6.4,7.18,1.1423596971611154
5,20,58,48,9,9,9,9,5,55.56,100.0,100.0,6,12,0,0,0,15.13,6.79,6.97,1.151267642560758
12,50,58,48,4,4,4,4,4,100.0,100.0,100.0,4,4,0,0,0,14.62,6.4,6.94,1.1461851365597868
15,40,58,48,4,4,4,4,4,100.0,100.0,100.0,4,4,0,0,0,14.62,6.4,6.94,1.1461851365597868
15,50,58,48,4,4,4,4,4,100.0,100.0,100.0,4,4,0,0,0,14.62,6.4,6.94,1.1461851365597868
12,60,55,48,7,6,7,7,6,85.71,100.0,116.67,6,8,0,0,0,13.53,6.4,6.68,1.135257427769233
15,60,55,48,7,6,7,7,6,85.71,100.0,116.67,6,8,0,0,0,13.42,6.4,6.58,1.1342010100003068
10,60,52,48,7,6,7,7,4,57.14,100.0,116.67,6,8,0,0,0,13.15,6.4,6.31,1.1314937537893734
12,40,52,48,9,8,9,9,5,55.56,100.0,112.5,9,9,0,0,0,13.31,6.4,6.25,1.1330633191925525
12,30,58,48,7,7,7,7,5,71.43,100.0,100.0,6,8,0,0,0,13.7,6.4,6.02,1.1370116678067372
10,40,58,48,7,7,7,7,5,71.43,100.0,100.0,6,8,0,0,0,13.67,6.4,5.99,1.1367088503600924
8,50,52,48,9,8,9,9,5,55.56,100.0,112.5,8,10,0,0,0,13.41,6.79,5.88,1.1341322711987507
8,60,55,48,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,13.09,6.79,5.76,1.1308533906808993
5,20,55,48,9,9,9,9,6,66.67,100.0,100.0,4,14,0,0,0,13.53,6.52,5.7,1.135316346383725
15,30,55,48,8,7,8,8,5,62.5,100.0,114.29,8,8,0,0,0,12.99,6.67,5.7,1.129885793070359
15,60,58,48,4,4,4,4,4,100.0,100.0,100.0,3,5,0,0,0,13.35,6.4,5.67,1.1334645839475523
10,40,55,48,8,7,8,8,5,62.5,100.0,114.29,8,8,0,0,0,12.59,6.4,5.62,1.125878223922617
10,50,58,48,5,5,5,5,4,80.0,100.0,100.0,4,6,0,0,0,13.27,6.4,5.6,1.1327316069844329
8,50,58,48,6,6,6,6,4,66.67,100.0,100.0,5,7,0,0,0,13.73,6.79,5.57,1.1372859929058694
12,20,58,48,9,9,9,9,4,44.44,100.0,100.0,9,9,0,0,0,13.13,6.4,5.46,1.1313477088059523
8,60,58,48,6,6,6,6,4,66.67,100.0,100.0,5,7,0,0,0,13.57,6.79,5.42,1.135731210935228
10,60,58,45,4,4,4,4,4,100.0,100.0,100.0,4,4,0,0,0,12.97,6.4,5.29,1.1296509186589865
12,50,58,45,4,4,4,4,4,100.0,100.0,100.0,4,4,0,0,0,12.97,6.4,5.29,1.1296509186589865
15,40,58,45,4,4,4,4,4,100.0,100.0,100.0,4,4,0,0,0,12.97,6.4,5.29,1.1296509186589865
15,50,58,45,4,4,4,4,4,100.0,100.0,100.0,4,4,0,0,0,12.97,6.4,5.29,1.1296509186589865
15,30,58,48,6,6,6,6,4,66.67,100.0,100.0,6,6,0,0,0,12.92,6.67,4.91,1.1291562353739866
12,50,55,48,7,6,7,7,6,85.71,100.0,116.67,6,8,0,0,0,13.38,7.77,4.9,1.1338041589974146
15,50,55,48,7,6,7,7,6,85.71,100.0,116.67,6,8,0,0,0,13.21,7.77,4.72,1.1320820047985023
15,50,52,45,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,11.34,6.4,4.49,1.1133876805965033
12,30,55,48,8,7,8,8,5,62.5,100.0,114.29,7,9,0,0,0,11.3,6.4,4.33,1.1129537961158387
8,20,58,48,9,9,9,9,5,55.56,100.0,100.0,6,12,0,0,0,12.47,6.79,4.32,1.124737165080472
10,20,58,48,9,9,9,9,4,44.44,100.0,100.0,6,12,0,0,0,12.42,6.79,4.26,1.1241817156969665
8,40,52,48,9,8,9,9,5,55.56,100.0,112.5,7,11,0,0,0,11.77,6.79,4.24,1.1177233919272238
10,30,52,48,10,9,10,10,6,60.0,100.0,111.11,9,11,0,0,0,11.27,6.4,4.15,1.1126870875310222
10,50,55,48,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,12.63,7.77,4.15,1.1263237291240251
12,30,52,48,9,8,9,9,4,44.44,100.0,112.5,7,11,0,0,0,11.16,6.4,4.1,1.1115669598939169
15,60,58,45,4,4,4,4,4,100.0,100.0,100.0,3,5,0,0,0,11.71,6.4,4.03,1.117113865537367
12,20,55,48,9,9,9,9,4,44.44,100.0,100.0,8,10,0,0,0,11.62,6.4,3.94,1.11616640173515
10,20,55,48,9,9,9,9,5,55.56,100.0,100.0,6,12,0,0,0,12.01,6.79,3.86,1.1201125275115078
10,30,55,48,9,8,9,9,5,55.56,100.0,112.5,7,11,0,0,0,10.91,6.4,3.86,1.109089017976585
5,60,52,48,10,9,10,10,4,40.0,100.0,111.11,8,12,0,0,0,11.13,6.52,3.85,1.1112798354073388
10,60,58,48,4,4,4,4,4,100.0,100.0,100.0,3,5,0,0,0,12.94,7.77,3.63,1.1294389573708499
10,30,58,48,8,8,8,8,4,50.0,100.0,100.0,7,9,0,0,0,11.18,6.4,3.5,1.1118151416831674
8,40,58,48,8,8,8,8,4,50.0,100.0,100.0,6,10,0,0,0,11.59,6.79,3.44,1.1159160159421213
12,40,58,48,5,5,5,5,4,80.0,100.0,100.0,4,6,0,0,0,12.71,7.77,3.4,1.1271373792383617
5,50,52,48,11,10,11,11,6,54.55,100.0,110.0,9,13,0,0,0,10.53,6.52,3.2,1.1053067989689749
15,60,52,45,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,10.13,6.5,3.16,1.1013091103135446
8,20,55,48,9,9,9,9,5,55.56,100.0,100.0,5,13,0,0,0,11.11,6.79,2.95,1.111072857800765
15,20,52,48,10,9,10,10,7,70.0,100.0,111.11,9,11,0,0,0,10.01,6.4,2.89,1.1001126315345617
10,50,52,45,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,9.71,6.4,2.87,1.0971104857035783
10,60,55,45,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,9.47,6.4,2.63,1.094711216393498
12,50,55,45,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,9.47,6.4,2.63,1.094711216393498
10,60,52,45,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,9.36,6.4,2.52,1.0936406223604704
12,50,52,45,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,9.36,6.4,2.52,1.0936406223604704
15,50,55,45,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,9.3,6.4,2.46,1.0930484411223478
8,60,52,45,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,9.76,6.79,2.44,1.097640111679697
12,40,58,45,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,10.1,6.4,2.43,1.1010245401162353
10,50,58,45,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,9.95,6.4,2.27,1.099519331123172
15,20,58,48,8,8,8,8,4,50.0,100.0,100.0,8,8,0,0,0,9.82,6.4,2.15,1.0982345915939258
5,60,58,48,8,8,8,8,4,50.0,100.0,100.0,7,9,0,0,0,10.27,6.79,2.12,1.1026997171210948
12,60,58,48,4,4,4,4,4,100.0,100.0,100.0,2,6,0,0,0,11.44,7.77,2.12,1.114363968494481
8,40,55,48,9,8,9,9,5,55.56,100.0,112.5,7,11,0,0,0,9.56,6.79,2.03,1.0955953711037518
8,50,55,48,7,6,7,7,5,71.43,100.0,116.67,5,9,0,0,0,9.21,6.79,1.89,1.0921220865871322
12,40,55,45,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,8.71,6.4,1.87,1.0870912794874228
5,40,58,48,9,9,9,9,5,55.56,100.0,100.0,8,10,0,0,0,9.83,6.79,1.67,1.0982543264102156
15,20,55,48,9,8,9,9,5,55.56,100.0,112.5,8,10,0,0,0,8.69,6.4,1.64,1.0868859764110572
5,30,58,48,9,9,9,9,5,55.56,100.0,100.0,8,10,0,0,0,9.32,6.79,1.17,1.093220906998305
15,30,52,45,9,8,9,9,5,55.56,100.0,112.5,6,12,0,0,0,8.51,6.67,1.13,1.0850797181971847
12,60,55,45,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,8.01,6.5,1.04,1.0800997499638436
15,60,55,45,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,7.95,6.5,0.98,1.0795060496438755
12,60,52,45,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,8.97,7.54,0.75,1.0896561527379742
5,30,55,48,10,9,10,10,5,50.0,100.0,111.11,7,13,0,0,0,7.99,6.52,0.72,1.079918379508849
15,30,58,45,6,6,6,6,4,66.67,100.0,100.0,6,6,0,0,0,8.69,6.67,0.69,1.086881445193521
5,50,55,48,10,9,10,10,5,50.0,100.0,111.11,8,12,0,0,0,7.87,6.55,0.56,1.0786795830773126
12,60,52,48,7,6,7,7,6,85.71,100.0,116.67,4,10,0,0,0,9.03,7.77,0.54,1.0902851233614175
5,50,58,48,9,9,9,9,4,44.44,100.0,100.0,8,10,0,0,0,8.68,6.79,0.52,1.086785437558557
10,60,58,42,3,3,3,3,2,66.67,100.0,100.0,3,3,0,0,0,10.95,8.69,0.52,1.1094881562206735
12,50,58,42,3,3,3,3,2,66.67,100.0,100.0,3,3,0,0,0,10.95,8.69,0.52,1.1094881562206735
