fast,slow,rsi_buy,rsi_sell,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,return_pct,max_dd_pct,score,equity_multiple
15,50,52,48,7,6,7,7,6,85.71,100.0,116.67,7,7,0,0,0,16.8,6.4,9.95,1.1680023154103023
15,60,52,48,6,5,6,6,5,83.33,100.0,120.0,5,7,0,0,0,15.48,6.4,8.79,1.1547844843381831
8,60,52,48,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,15.88,6.76,8.6,1.1587780549344517
8,20,52,48,13,12,13,13,9,69.23,100.0,108.33,11,15,0,0,0,15.93,6.76,8.23,1.1592682701966193
15,50,58,48,5,4,5,5,4,80.0,100.0,125.0,5,5,0,0,0,14.53,6.4,8.1,1.145326989926473
10,60,55,48,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,14.83,6.4,7.98,1.1483171770296647
10,60,52,48,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,14.72,6.4,7.87,1.1471940392041278
12,50,52,48,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,14.72,6.4,7.87,1.1471940392041278
12,50,58,48,5,4,5,5,4,80.0,100.0,125.0,4,6,0,0,0,14.19,6.4,7.76,1.141908877267332
12,20,52,48,12,11,12,12,6,50.0,100.0,109.09,12,12,0,0,0,14.71,6.4,7.48,1.147103027926918
10,50,52,48,7,6,7,7,5,71.43,100.0,116.67,5,9,0,0,0,13.87,6.4,7.02,1.138742383947598
15,60,58,48,5,4,5,5,4,80.0,100.0,125.0,4,6,0,0,0,13.26,6.4,6.83,1.1326474218642906
5,20,58,48,10,10,10,10,5,50.0,100.0,100.0,7,13,0,0,0,14.86,6.76,6.75,1.148593055646833
10,50,58,48,6,5,6,6,4,66.67,100.0,120.0,5,7,0,0,0,13.2,6.4,6.52,1.1320439347662161
15,60,55,48,6,5,6,6,4,66.67,100.0,120.0,5,7,0,0,0,13.18,6.4,6.5,1.1318413610533615
10,60,58,45,5,4,5,5,4,80.0,100.0,125.0,5,5,0,0,0,12.89,6.4,6.46,1.1289176988295422
12,50,58,45,5,4,5,5,4,80.0,100.0,125.0,5,5,0,0,0,12.89,6.4,6.46,1.1289176988295422
15,50,58,45,5,4,5,5,4,80.0,100.0,125.0,5,5,0,0,0,12.89,6.4,6.46,1.1289176988295422
8,60,55,48,7,6,7,7,4,57.14,100.0,116.67,6,8,0,0,0,13.58,6.76,6.29,1.135755587855373
8,60,58,48,7,6,7,7,4,57.14,100.0,116.67,6,8,0,0,0,13.58,6.76,6.29,1.135755587855373
12,60,55,48,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,13.12,6.4,6.27,1.131183744862678
12,40,58,48,7,6,7,7,4,57.14,100.0,116.67,6,8,0,0,0,13.11,6.4,6.26,1.1311247718865138
12,40,55,48,8,7,8,8,4,50.0,100.0,114.29,8,8,0,0,0,12.69,6.4,5.72,1.126932526627274
15,60,52,45,6,5,6,6,5,83.33,100.0,120.0,5,7,0,0,0,12.49,6.51,5.67,1.1248540994509821
10,20,52,48,12,11,12,12,7,58.33,100.0,109.09,9,15,0,0,0,13.32,6.76,5.66,1.1331881373918877
5,60,52,48,9,8,9,9,4,44.44,100.0,112.5,7,11,0,0,0,12.71,6.53,5.5,1.1271404149361033
15,60,58,45,5,4,5,5,4,80.0,100.0,125.0,4,6,0,0,0,11.64,6.4,5.21,1.1164197930569466
8,20,58,48,10,10,10,10,5,50.0,100.0,100.0,8,12,0,0,0,13.26,6.76,5.15,1.132648401503729
10,20,58,48,10,10,10,10,5,50.0,100.0,100.0,8,12,0,0,0,13.26,6.76,5.15,1.132648401503729
12,60,58,45,5,4,5,5,4,80.0,100.0,125.0,4,6,0,0,0,11.38,6.4,4.94,1.1137766005371852
15,40,55,48,8,7,8,8,5,62.5,100.0,114.29,8,8,0,0,0,11.89,6.4,4.92,1.1188952623634552
15,40,58,48,6,5,6,6,4,66.67,100.0,120.0,6,6,0,0,0,11.6,6.4,4.91,1.1159816891362435
10,60,58,48,5,4,5,5,4,80.0,100.0,125.0,4,6,0,0,0,12.87,7.76,4.81,1.1287100150859721
15,40,52,48,8,7,8,8,5,62.5,100.0,114.29,8,8,0,0,0,11.78,6.4,4.81,1.1178009013131183
12,30,58,48,9,8,9,9,4,44.44,100.0,112.5,9,9,0,0,0,11.75,6.4,4.69,1.1174685377272688
12,50,55,48,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,13.17,7.76,4.68,1.1316568190642577
10,40,58,48,9,8,9,9,4,44.44,100.0,112.5,9,9,0,0,0,11.71,6.4,4.65,1.1171348219154464
15,50,55,48,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,12.99,7.76,4.51,1.1299265969534025
5,60,58,48,9,8,9,9,4,44.44,100.0,112.5,8,10,0,0,0,11.97,6.76,4.48,1.1197025835471717
12,40,52,48,10,9,10,10,5,50.0,100.0,111.11,10,10,0,0,0,11.56,6.4,4.43,1.1156393872097974
15,30,58,48,8,7,8,8,4,50.0,100.0,114.29,8,8,0,0,0,11.58,6.64,4.34,1.115845153321663
15,50,52,45,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,11.09,6.4,4.24,1.1109175574814618
10,30,58,48,9,8,9,9,4,44.44,100.0,112.5,7,11,0,0,0,11.14,6.4,4.08,1.1114343917075122
5,20,55,48,10,10,10,10,6,60.0,100.0,100.0,5,15,0,0,0,11.89,6.53,4.05,1.1188580408528417
10,20,55,48,10,10,10,10,6,60.0,100.0,100.0,7,13,0,0,0,12.12,6.76,4.01,1.1212301295663347
10,40,55,48,9,8,9,9,4,44.44,100.0,112.5,9,9,0,0,0,11.07,6.4,4.01,1.110718288437903
10,50,55,48,7,6,7,7,4,57.14,100.0,116.67,6,8,0,0,0,12.43,7.76,3.95,1.1242647226184874
12,20,55,48,10,10,10,10,4,40.0,100.0,100.0,9,11,0,0,0,11.28,6.4,3.6,1.112835074163007
8,40,58,48,9,8,9,9,4,44.44,100.0,112.5,8,10,0,0,0,11.05,6.76,3.56,1.1105264085977025
8,50,52,48,9,8,9,9,5,55.56,100.0,112.5,8,10,0,0,0,10.95,6.76,3.47,1.1095475657443443
15,30,55,48,9,8,9,9,4,44.44,100.0,112.5,9,9,0,0,0,10.78,6.64,3.45,1.1078366657399494
12,60,58,48,5,4,5,5,4,80.0,100.0,125.0,3,7,0,0,0,11.36,7.76,3.29,1.1135717022579394
10,50,58,45,6,5,6,6,4,66.67,100.0,120.0,6,6,0,0,0,9.88,6.4,3.19,1.0987541761281936
12,20,58,48,10,10,10,10,4,40.0,100.0,100.0,10,10,0,0,0,10.77,6.4,3.08,1.1076682433601708
15,20,58,48,9,8,9,9,4,44.44,100.0,112.5,9,9,0,0,0,10.1,6.4,3.04,1.101005071640373
15,60,55,45,6,5,6,6,4,66.67,100.0,120.0,4,8,0,0,0,10.04,6.69,3.02,1.1004259678168566
8,60,52,45,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,10.21,6.76,2.93,1.1021441220334296
8,50,55,48,8,7,8,8,4,50.0,100.0,114.29,6,10,0,0,0,10.17,6.76,2.77,1.1016980178296367
10,50,52,45,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,9.48,6.4,2.63,1.0947663499997813
5,40,58,48,10,9,10,10,5,50.0,100.0,111.11,9,11,0,0,0,11.02,7.49,2.59,1.1102129115864565
10,60,55,45,7,6,7,7,4,57.14,100.0,116.67,7,7,0,0,0,9.22,6.4,2.37,1.0921945073984485
12,50,55,45,7,6,7,7,4,57.14,100.0,116.67,7,7,0,0,0,9.22,6.4,2.37,1.0921945073984485
10,60,52,45,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,9.11,6.4,2.26,1.0911262616309543
12,50,52,45,7,6,7,7,5,71.43,100.0,116.67,7,7,0,0,0,9.11,6.4,2.26,1.0911262616309543
5,20,52,48,14,13,14,14,10,71.43,100.0,107.69,9,19,0,0,0,10.44,7.19,2.2,1.104439462275148
15,50,55,45,7,6,7,7,4,57.14,100.0,116.67,7,7,0,0,0,9.05,6.4,2.2,1.0905246203317862
10,60,58,42,4,3,4,4,2,50.0,100.0,133.33,4,4,0,0,0,10.9,8.68,2.15,1.10897205781773
12,50,58,42,4,3,4,4,2,50.0,100.0,133.33,4,4,0,0,0,10.9,8.68,2.15,1.10897205781773
15,50,58,42,4,3,4,4,2,50.0,100.0,133.33,4,4,0,0,0,10.9,8.68,2.15,1.10897205781773
8,40,52,48,10,9,10,10,5,50.0,100.0,111.11,8,12,0,0,0,10.38,7.45,2.0,1.103773720298288
15,40,58,45,6,5,6,6,4,66.67,100.0,120.0,6,6,0,0,0,8.7,6.76,1.6,1.0870450737210327
8,20,55,48,10,10,10,10,5,50.0,100.0,100.0,6,14,0,0,0,9.55,6.76,1.44,1.0955186040754243
10,40,52,48,10,9,10,10,5,50.0,100.0,111.11,9,11,0,0,0,8.87,6.89,1.16,1.088706457354842
5,50,52,48,12,11,12,12,5,41.67,100.0,109.09,9,15,0,0,0,8.89,7.11,0.81,1.0889098797485086
8,60,55,45,7,6,7,7,4,57.14,100.0,116.67,6,8,0,0,0,8.02,6.76,0.74,1.0802468513197983
8,60,58,45,7,6,7,7,4,57.14,100.0,116.67,6,8,0,0,0,8.02,6.76,0.74,1.0802468513197983
12,60,55,45,7,6,7,7,4,57.14,100.0,116.67,6,8,0,0,0,7.64,6.51,0.66,1.076412672688432
5,50,58,48,10,9,10,10,4,40.0,100.0,111.11,9,11,0,0,0,9.02,7.49,0.59,1.0902146495297673
12,60,52,45,7,6,7,7,5,71.43,100.0,116.67,6,8,0,0,0,8.6,7.55,0.38,1.0860414855372076
12,60,58,42,4,3,4,4,2,50.0,100.0,133.33,2,6,0,0,0,9.08,8.68,0.33,1.0908332450961256
12,60,52,48,7,6,7,7,6,85.71,100.0,116.67,4,10,0,0,0,8.66,7.76,0.18,1.086566339561414
8,50,58,48,8,7,8,8,5,62.5,100.0,114.29,5,11,0,0,0,7.42,6.76,0.02,1.0742317172441846
10,30,55,48,10,9,10,10,4,40.0,100.0,111.11,8,12,0,0,0,8.3,7.45,-0.08,1.0830464715228818
8,40,55,48,10,9,10,10,4,40.0,100.0,111.11,8,12,0,0,0,8.18,7.45,-0.2,1.081844072916627
15,20,52,48,11,10,11,11,5,45.45,100.0,110.0,10,12,0,0,0,7.75,7.04,-0.21,1.0774527199177086
5,30,58,48,11,10,11,11,5,45.45,100.0,110.0,10,12,0,0,0,8.97,8.16,-0.32,1.0897088881830188
15,30,52,48,10,9,10,10,5,50.0,100.0,111.11,9,11,0,0,0,7.38,6.89,-0.33,1.073828297114819
5,50,55,48,10,9,10,10,4,40.0,100.0,111.11,8,12,0,0,0,8.0,7.49,-0.43,1.0799970581258893
