ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,funding_bars,funding_carry_pct,return_pct,max_dd_pct,score,equity_multiple
7,30,60,58,38,0.8,24,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,0,108,-0.5386,8.13,3.96,3.38,1.0813436575689965
7,30,60,58,46,0.4,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,0,63,-0.3145,9.56,3.96,2.31,1.0956344348539788
7,30,60,58,46,0.8,24,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,0,56,-0.2796,6.82,3.96,2.06,1.068223286515568
7,30,52,58,46,0.4,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,0,64,-0.3195,9.78,4.45,1.94,1.0978388645591237
10,30,52,58,46,0.4,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,0,64,-0.3195,9.78,4.45,1.94,1.0978388645591237
7,30,60,58,42,0.8,24,5,5,5,5,4,80.0,100.0,100.0,5,5,0,0,0,0,0,74,-0.3693,6.64,3.96,1.88,1.0663684113397978
7,30,60,58,42,0.4,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,0,70,-0.3494,8.54,3.96,1.28,1.0854029943364916
7,30,52,58,42,0.4,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,0,71,-0.3544,8.76,4.45,0.92,1.0875868382598413
10,30,52,58,42,0.4,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,0,71,-0.3544,8.76,4.45,0.92,1.0875868382598413
7,30,52,58,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,58,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,58,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,62,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,62,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,62,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,14,-0.07,2.22,1.31,0.65,1.0222144825189676
7,30,52,58,42,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,58,42,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,58,42,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,62,42,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,62,42,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,62,42,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,11,-0.055,1.79,1.31,0.22,1.0179453596927923
7,30,52,58,46,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,30,52,58,46,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,30,52,58,46,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,30,52,62,46,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,30,52,62,46,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,30,52,62,46,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,10,-0.05,1.75,1.31,0.18,1.0175273930601596
7,30,60,58,38,0.4,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,1,104,-0.5187,7.3,3.96,0.04,1.0730066712931392
7,30,52,58,38,0.4,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,0,103,-0.5137,8.08,4.81,-0.18,1.0808437479494533
10,30,52,58,38,0.4,24,6,5,5,5,4,80.0,83.33,100.0,5,5,1,1,0,0,0,103,-0.5137,8.08,4.81,-0.18,1.0808437479494533
7,20,60,62,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
7,20,60,62,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
7,20,60,62,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
7,30,60,58,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
7,30,60,58,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
7,30,60,58,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
7,30,60,62,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
7,30,60,62,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
7,30,60,62,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
10,20,60,62,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
10,20,60,62,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
10,20,60,62,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
10,30,52,58,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
10,30,52,58,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
10,30,52,58,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
10,30,52,62,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
10,30,52,62,38,1.2,48,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
10,30,52,62,38,1.2,96,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
10,30,60,58,38,1.2,24,1,1,1,1,1,100.0,100.0,100.0,1,1,0,0,0,0,0,15,-0.075,2.22,2.52,-0.81,1.0221633717948417
