ma_fast,ma_mid,ma_slow,rsi_short,rsi_cover,vol_min_pct,max_hold_bars,entry_signals,exit_signals,entries,trades,wins,win_rate,entry_fill_rate,exit_fill_rate,maker_fills,taker_fills,limit_expired,missed_entries,missed_exits,capacity_reject_entries,capacity_reject_exits,funding_bars,funding_carry_pct,return_pct,max_dd_pct,score,equity_multiple
7,30,60,58,42,1.2,24,3,3,3,3,3,100.0,100.0,100.0,3,3,0,0,0,0,1,29,-0.1449,12.67,2.96,9.12,1.1267213127010642
7,30,60,58,42,1.2,48,3,3,3,3,3,100.0,100.0,100.0,3,3,0,0,0,0,1,29,-0.1449,12.67,2.96,9.12,1.1267213127010642
7,30,60,58,42,1.2,96,3,3,3,3,3,100.0,100.0,100.0,3,3,0,0,0,0,1,29,-0.1449,12.67,2.96,9.12,1.1267213127010642
7,30,60,58,46,1.2,24,3,4,3,3,3,100.0,100.0,75.0,3,3,1,0,1,0,2,29,-0.1449,12.67,2.96,7.87,1.1267213127010642
7,30,60,58,46,1.2,48,3,4,3,3,3,100.0,100.0,75.0,3,3,1,0,1,0,2,29,-0.1449,12.67,2.96,7.87,1.1267213127010642
7,30,60,58,46,1.2,96,3,4,3,3,3,100.0,100.0,75.0,3,3,1,0,1,0,2,29,-0.1449,12.67,2.96,7.87,1.1267213127010642
10,30,52,58,42,1.2,24,3,3,3,3,3,100.0,100.0,100.0,3,3,0,0,0,0,1,32,-0.1599,11.55,3.31,7.58,1.1155018658408926
10,30,52,58,42,1.2,48,3,3,3,3,3,100.0,100.0,100.0,3,3,0,0,0,0,1,32,-0.1599,11.55,3.31,7.58,1.1155018658408926
10,30,52,58,42,1.2,96,3,3,3,3,3,100.0,100.0,100.0,3,3,0,0,0,0,1,32,-0.1599,11.55,3.31,7.58,1.1155018658408926
7,30,52,62,42,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,1,23,-0.1149,9.93,2.96,6.38,1.0993290107719853
7,30,52,62,42,1.2,48,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,1,23,-0.1149,9.93,2.96,6.38,1.0993290107719853
7,30,52,62,42,1.2,96,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,1,23,-0.1149,9.93,2.96,6.38,1.0993290107719853
7,30,60,62,42,1.2,24,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,1,24,-0.1199,9.93,2.96,6.37,1.0992740443214468
7,30,60,62,42,1.2,48,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,1,24,-0.1199,9.93,2.96,6.37,1.0992740443214468
7,30,60,62,42,1.2,96,2,2,2,2,2,100.0,100.0,100.0,2,2,0,0,0,0,1,24,-0.1199,9.93,2.96,6.37,1.0992740443214468
